#code	score
4ivb_142	-2.3730164
4ivb_253	-2.6910663
4ivb_423	4.3830953
4ivb_425	6.1749187
4ivb_428	11.967029
4ivb_429	12.1657295
4ivb_436	13.656259
4ivb_439	4.1670203
4ivb_441	22.956198
4ivb_442	4.1893325
4ivb_460	5.456565
4ivb_468	7.9132237
4ivb_477	7.8244443
4ivb_479	15.96031
4ivb_511	7.9715676
4ivb_525	8.28805
4ivb_527	15.494057
4ivb_539	9.77495
4ivb_547	10.189775
4ivb_552	1.9813399
4ivb_561	14.237186
4ivb_563	7.926172
4ivb_565	11.697906
4ivb_566	6.568065
4ivb_577	12.579053
4ivb_585	17.840916
4ivb_586	12.172838
4ivb_587	5.6884594
4ivb_590	6.5864124
4ivb_594	5.4744945
4ivb_598	19.950914
4ivb_615	17.548248
4ivb_61	8.751495
4ivb_620	17.60236
4ivb_625	14.07311
4ivb_637	5.463049
4ivb_649	10.019441
4ivb_661	7.4373693
4ivb_664	15.785492
4ivb_666	14.755638
4ivb_671	15.803369
4ivb_674	14.843157
4ivb_734	1.184943
4ivb_741	6.0700684
4ivb_747	8.9244175
4ivb_748	5.746537
4ivb_750	8.362343
4ivb_752	-1.2053642
4ivb_761	5.919819
4ivb_764	9.867517
4ivb_768	11.131491
4ivb_769	3.651877
4ivb_771	8.309941
4ivb_772	12.267237
4ivb_773	2.7881584
4ivb_776	12.416972
4ivb_779	9.607472
4ivb_781	6.3130975
4ivb_783	13.513921
4ivb_784	8.971571
4ivb_785	6.4205832
4ivb_787	20.363697
4ivb_788	13.827781
4ivb_791	10.171814
4ivb_794	14.815551
4ivb_795	14.787717
4ivb_797	13.164448
4ivb_845	-1.509843
4ivb_85	-2.8688684
4ivb_875	0.8581229
4ivb_884	5.5075684
4ivb_887	3.1853483
4ivb_896	6.2395377
4ivb_897	5.717349
4ivb_947	-0.4064665
4ivb_962	-2.5950403
