#code	score
4qac_109	-7.468733
4qac_114	-5.384369
4qac_115	-7.0331764
4qac_116	-4.60946
4qac_136	-4.191234
4qac_144	-7.2635064
4qac_194	-5.3943024
4qac_232	-2.1439352
4qac_353	-1.6367084
4qac_372	-4.343115
4qac_406	19.35902
4qac_410	28.160452
4qac_411	18.042698
4qac_419	19.81566
4qac_424	24.80483
4qac_441	22.555485
4qac_444	26.410366
4qac_447	27.679083
4qac_450	23.752075
4qac_456	16.122713
4qac_466	32.097046
4qac_471	27.752335
4qac_476	25.19482
4qac_481	9.297267
4qac_484	36.40465
4qac_486	22.126135
4qac_489	19.866428
4qac_497	18.040033
4qac_499	22.94918
4qac_501	6.8873568
4qac_502	10.633248
4qac_507	8.467578
4qac_509	11.747409
4qac_50	-6.069522
4qac_512	10.885221
4qac_513	16.509575
4qac_518	11.601659
4qac_538	12.941899
4qac_539	15.66186
4qac_550	18.631449
4qac_553	15.6020565
4qac_557	21.530993
4qac_563	28.30828
4qac_565	12.899564
4qac_567	16.296051
4qac_569	13.909058
4qac_581	27.39865
4qac_588	18.795534
4qac_593	20.443192
4qac_600	23.025019
4qac_634	16.312222
4qac_635	17.332603
4qac_659	20.277803
4qac_673	25.209007
4qac_683	22.05308
4qac_689	14.089318
4qac_692	25.340397
4qac_702	-4.6308503
4qac_711	10.336779
4qac_718	10.641805
4qac_722	6.9889383
4qac_739	8.451972
4qac_745	11.01232
4qac_755	10.752771
4qac_764	11.650077
4qac_769	15.277218
4qac_770	11.827223
4qac_772	22.433882
4qac_773	15.0015335
4qac_777	17.200867
4qac_780	17.849081
4qac_781	15.294924
4qac_782	15.224954
4qac_786	17.715555
4qac_787	14.737486
4qac_789	14.198363
4qac_791	16.304558
4qac_793	39.248447
4qac_795	27.741297
4qac_800	6.3124337
4qac_813	4.6923213
4qac_824	4.8447695
4qac_828	10.653884
4qac_849	9.905662
4qac_871	9.724726
4qac_875	6.8119426
4qac_883	8.242106
4qac_888	10.906101
4qac_893	7.243097
4qac_945	-5.4697275
4qac_962	8.191909
4qac_969	4.603727
4qac_975	5.2884827
