#code	score
5c2h_119	6.245671
5c2h_160	3.8429456
5c2h_204	0.3329841
5c2h_216	-1.9701654
5c2h_240	-8.079797
5c2h_244	-7.270871
5c2h_247	-7.8145766
5c2h_251	8.17267
5c2h_252	3.918766
5c2h_256	4.1486735
5c2h_259	3.7387877
5c2h_274	-0.124875605
5c2h_292	-0.6851502
5c2h_295	5.0683975
5c2h_308	5.80676
5c2h_352	4.3538666
5c2h_394	8.737333
5c2h_405	30.313364
5c2h_406	22.078024
5c2h_421	13.609856
5c2h_424	20.718397
5c2h_427	28.782663
5c2h_431	40.618263
5c2h_432	19.468523
5c2h_444	60.66142
5c2h_457	35.157246
5c2h_462	13.335403
5c2h_467	55.673325
5c2h_471	13.23287
5c2h_475	17.66405
5c2h_481	36.91351
5c2h_482	31.402102
5c2h_484	12.346677
5c2h_486	31.415201
5c2h_48	7.2853475
5c2h_496	45.15781
5c2h_500	25.32976
5c2h_507	16.007452
5c2h_509	11.992133
5c2h_513	11.505931
5c2h_516	14.268741
5c2h_517	28.96644
5c2h_519	28.1599
5c2h_520	18.120197
5c2h_524	17.45807
5c2h_533	21.428127
5c2h_536	22.325014
5c2h_537	15.872865
5c2h_544	12.507142
5c2h_545	7.13585
5c2h_547	11.298772
5c2h_548	18.53116
5c2h_553	27.220238
5c2h_561	7.92347
5c2h_565	23.915373
5c2h_566	14.435718
5c2h_572	31.265
5c2h_575	34.35975
5c2h_576	10.991458
5c2h_579	19.259888
5c2h_585	34.696915
5c2h_597	16.896387
5c2h_599	23.290028
5c2h_602	20.994362
5c2h_608	21.020504
5c2h_611	15.032059
5c2h_613	14.467434
5c2h_624	13.889556
5c2h_627	11.684537
5c2h_640	27.223694
5c2h_641	29.19104
5c2h_644	14.533201
5c2h_646	14.796745
5c2h_649	23.458778
5c2h_651	19.84773
5c2h_653	12.2739
5c2h_657	9.725624
5c2h_663	22.201212
5c2h_666	20.085125
5c2h_682	19.08329
5c2h_686	24.79382
5c2h_696	11.457203
5c2h_697	5.6030126
5c2h_698	7.870833
5c2h_700	11.017937
5c2h_756	7.643207
5c2h_758	6.721105
5c2h_764	9.516119
5c2h_775	10.706168
5c2h_816	9.445311
5c2h_831	11.050499
5c2h_848	7.973042
5c2h_860	9.282362
5c2h_89	6.8930984
5c2h_910	5.4568057
5c2h_922	5.255079
5c2h_940	7.6593003
