#Target	enrichment
5c2h	0.0
3uri	20.0
4rfm	0.0
4ty7	40.0
4agq	0.0
5dwr	0.0
4twp	0.0
3u8n	16.666666666666668
3o9i	0.0
3p5o	20.0
3ejr	0.0
3ebp	0.0
2vvn	0.0
3arp	40.0
3gnw	0.0
1e66	20.0
3f3e	40.0
2cet	0.0
4gid	0.0
4pcs	0.0
3ge7	40.0
3e93	20.0
3qqs	0.0
2r9w	0.0
2qbp	0.0
3ag9	0.0
4tmn	0.0
3coy	0.0
2fvd	0.0
4ivc	11.11111111111111
4jia	0.0
1nvq	0.0
2zcq	0.0
3utu	10.0
2p4y	11.11111111111111
3myg	0.0
1sqa	16.666666666666668
3dd0	0.0
2yki	0.0
3g0w	16.666666666666668
2al5	20.0
4de1	0.0
3fv1	0.0
2p15	20.0
1mq6	0.0
4f3c	0.0
1o3f	20.0
2vw5	0.0
3kr8	20.0
2x00	0.0
3nw9	40.0
3zso	0.0
2xb8	20.0
4w9h	20.0
3uex	0.0
4gr0	20.0
1u1b	0.0
