#code_ligand_num	score
3gc5_ligand_295	14.2493105
3gc5_ligand_296	5.2428217
3gc5_ligand_297	13.826505
3gc5_ligand_299	9.247321
3gc5_ligand_300	12.783123
3gc5_ligand_301	10.881676
3gc5_ligand_303	15.637362
3gc5_ligand_304	10.475384
3gc5_ligand_305	7.9590373
3gc5_ligand_311	8.019975
3gc5_ligand_312	9.835091
3gc5_ligand_313	8.148082
3gc5_ligand_315	7.7608943
3gc5_ligand_320	6.2142725
3gc5_ligand_323	23.500975
3gc5_ligand_325	8.975859
3gc5_ligand_326	14.849936
3gc5_ligand_327	14.688081
3gc5_ligand_328	11.193411
3gc5_ligand_329	11.568532
3gc5_ligand_334	11.738578
3gc5_ligand_337	14.162425
3gc5_ligand_339	12.628452
3gc5_ligand_341	13.533831
3gc5_ligand_343	15.090215
3gc5_ligand_344	4.5978584
3gc5_ligand_347	11.6030445
3gc5_ligand_348	6.7979107
3gc5_ligand_350	14.403396
3gc5_ligand_351	8.864494
3gc5_ligand_368	4.2482553
3gc5_ligand_369	6.361089
3gc5_ligand_370	6.8894796
3gc5_ligand_371	6.502622
3gc5_ligand_372	8.603519
3gc5_ligand_376	7.445954
3gc5_ligand_380	-2.6223888
3gc5_ligand_381	6.3392987
3gc5_ligand_385	8.641679
3gc5_ligand_392	8.237345
3gc5_ligand_394	8.973442
3gc5_ligand_395	6.521748
3gc5_ligand_397	16.25799
3gc5_ligand_398	4.3127418
3gc5_ligand_402	9.559332
3gc5_ligand_437	6.417209
3gc5_ligand_443	7.968352
3gc5_ligand_446	6.667104
3gc5_ligand_479	4.7060933
3gc5_ligand_491	6.9894757
3ge7_ligand_105	4.987724
3ge7_ligand_110	5.1522694
3ge7_ligand_11	5.1081333
3ge7_ligand_125	3.4715276
3ge7_ligand_13	4.143193
3ge7_ligand_152	25.970201
3ge7_ligand_154	18.079914
3ge7_ligand_155	16.309853
3ge7_ligand_165	20.515865
3ge7_ligand_169	4.1109047
3ge7_ligand_170	32.88448
3ge7_ligand_171	17.06437
3ge7_ligand_175	29.722174
3ge7_ligand_176	21.96523
3ge7_ligand_183	17.718763
3ge7_ligand_189	26.007051
3ge7_ligand_190	19.072601
3ge7_ligand_191	12.786023
3ge7_ligand_196	13.41078
3ge7_ligand_199	14.960089
3ge7_ligand_200	25.235651
3ge7_ligand_201	12.014529
3ge7_ligand_202	9.349525
3ge7_ligand_203	7.226033
3ge7_ligand_204	7.7314005
3ge7_ligand_206	6.092964
3ge7_ligand_207	10.289955
3ge7_ligand_208	8.081598
3ge7_ligand_209	10.809455
3ge7_ligand_210	8.6210375
3ge7_ligand_212	12.845739
3ge7_ligand_213	14.623763
3ge7_ligand_214	9.912278
3ge7_ligand_216	7.0245175
3ge7_ligand_217	6.38108
3ge7_ligand_218	8.108518
3ge7_ligand_221	6.6478744
3ge7_ligand_222	11.0757265
3ge7_ligand_226	10.448568
3ge7_ligand_228	6.694735
3ge7_ligand_229	8.813847
3ge7_ligand_231	7.7296147
3ge7_ligand_232	4.327675
3ge7_ligand_234	7.086321
3ge7_ligand_237	6.080987
3ge7_ligand_238	6.1007624
3ge7_ligand_241	7.5300856
3ge7_ligand_243	9.533752
3ge7_ligand_245	7.9708676
3ge7_ligand_247	10.529737
3ge7_ligand_253	16.168018
3ge7_ligand_25	4.934512
3ge7_ligand_260	24.43141
3ge7_ligand_262	16.013378
3ge7_ligand_265	15.406428
3ge7_ligand_276	15.539172
3ge7_ligand_278	11.439127
3ge7_ligand_281	25.95046
3ge7_ligand_282	15.774821
3ge7_ligand_286	9.321446
3ge7_ligand_287	9.019085
3ge7_ligand_28	5.1267343
3ge7_ligand_295	18.418543
3ge7_ligand_296	9.481377
3ge7_ligand_297	8.923029
3ge7_ligand_298	6.3069654
3ge7_ligand_299	16.94125
3ge7_ligand_304	11.821613
3ge7_ligand_308	23.73646
3ge7_ligand_310	30.225498
3ge7_ligand_312	19.231443
3ge7_ligand_315	18.806547
3ge7_ligand_316	13.576877
3ge7_ligand_318	9.588862
3ge7_ligand_319	15.87945
3ge7_ligand_320	13.645875
3ge7_ligand_322	13.439399
3ge7_ligand_323	12.074639
3ge7_ligand_326	11.878576
3ge7_ligand_327	14.1238575
3ge7_ligand_334	13.513444
3ge7_ligand_338	10.721567
3ge7_ligand_340	5.597401
3ge7_ligand_346	8.889431
3ge7_ligand_348	13.553613
3ge7_ligand_349	14.827214
3ge7_ligand_380	6.5727544
3ge7_ligand_384	2.630252
3ge7_ligand_413	7.3870783
3ge7_ligand_42	3.430999
3ge7_ligand_442	4.2470865
3ge7_ligand_499	8.104948
3ge7_ligand_55	6.651127
3ge7_ligand_61	9.636103
3ge7_ligand_64	2.3458781
3ge7_ligand_76	9.9319935
3ge7_ligand_91	6.006782
3ge7_ligand_97	9.190286
3ge7_ligand_98	3.928857
3ge7_ligand_99	6.511222
3gnw_ligand_104	9.911616
3gnw_ligand_105	8.157886
3gnw_ligand_107	10.840574
3gnw_ligand_109	6.8475857
3gnw_ligand_10	12.581203
3gnw_ligand_110	14.323627
3gnw_ligand_114	8.384447
3gnw_ligand_118	7.8486714
3gnw_ligand_11	11.634671
3gnw_ligand_124	8.92069
3gnw_ligand_126	7.7254395
3gnw_ligand_127	18.26189
3gnw_ligand_12	10.369364
3gnw_ligand_132	6.626893
3gnw_ligand_136	16.730759
3gnw_ligand_138	8.495435
3gnw_ligand_140	11.501582
3gnw_ligand_147	6.779363
3gnw_ligand_148	7.8908353
3gnw_ligand_149	10.917891
3gnw_ligand_158	96.71772
3gnw_ligand_162	89.74148
3gnw_ligand_165	94.893036
3gnw_ligand_167	83.5152
3gnw_ligand_178	113.41733
3gnw_ligand_186	117.225204
3gnw_ligand_187	43.969242
3gnw_ligand_188	98.176094
3gnw_ligand_196	149.8617
3gnw_ligand_198	96.28711
3gnw_ligand_204	12.571289
3gnw_ligand_208	7.6353164
3gnw_ligand_20	10.769669
3gnw_ligand_210	16.594713
3gnw_ligand_211	17.433702
3gnw_ligand_215	16.813633
3gnw_ligand_216	11.646028
3gnw_ligand_221	20.94932
3gnw_ligand_231	18.16733
3gnw_ligand_234	17.615517
3gnw_ligand_236	11.656908
3gnw_ligand_238	15.778755
3gnw_ligand_239	12.673152
3gnw_ligand_240	8.766171
3gnw_ligand_242	30.17472
3gnw_ligand_243	17.915792
3gnw_ligand_244	30.282074
3gnw_ligand_247	18.153944
3gnw_ligand_248	19.28923
3gnw_ligand_251	22.199722
3gnw_ligand_25	7.6599984
3gnw_ligand_260	36.86459
3gnw_ligand_267	20.192505
3gnw_ligand_269	35.001106
3gnw_ligand_289	23.034712
3gnw_ligand_297	49.59047
3gnw_ligand_30	8.503414
3gnw_ligand_32	8.772634
3gnw_ligand_333	34.98357
3gnw_ligand_33	8.986685
3gnw_ligand_342	24.221188
3gnw_ligand_344	32.295864
3gnw_ligand_34	11.463071
3gnw_ligand_363	9.53903
3gnw_ligand_365	10.483714
3gnw_ligand_389	9.781846
3gnw_ligand_398	16.912981
3gnw_ligand_399	16.153809
3gnw_ligand_400	16.400175
3gnw_ligand_410	11.147122
3gnw_ligand_415	9.423848
3gnw_ligand_41	10.316853
3gnw_ligand_423	10.218501
3gnw_ligand_424	2.610312
3gnw_ligand_444	10.719782
3gnw_ligand_44	3.5801778
3gnw_ligand_46	10.786206
3gnw_ligand_48	7.144913
3gnw_ligand_497	7.953301
3gnw_ligand_50	23.048225
3gnw_ligand_52	7.348744
3gnw_ligand_56	37.36345
3gnw_ligand_60	9.240185
3gnw_ligand_61	10.496889
3gnw_ligand_63	8.587738
3gnw_ligand_65	8.001822
3gnw_ligand_72	14.157897
3gnw_ligand_74	10.093262
3gnw_ligand_75	6.306893
3gnw_ligand_76	7.4789476
3gnw_ligand_78	9.746937
3gnw_ligand_79	8.702803
3gnw_ligand_80	9.265365
3gnw_ligand_85	4.907791
3gnw_ligand_86	8.293581
3gnw_ligand_88	11.00073
3gnw_ligand_93	9.55238
3gnw_ligand_94	9.761925
3gnw_ligand_97	30.435093
3gnw_ligand_9	9.2910385
3gr2_ligand_103	8.104368
3gr2_ligand_117	6.1913586
3gr2_ligand_125	8.225555
3gr2_ligand_129	6.4191766
3gr2_ligand_137	4.7391276
3gr2_ligand_148	5.571144
3gr2_ligand_151	11.544901
3gr2_ligand_154	7.505357
3gr2_ligand_163	8.326367
3gr2_ligand_164	7.7306924
3gr2_ligand_166	9.928951
3gr2_ligand_168	5.3772964
3gr2_ligand_170	7.274669
3gr2_ligand_172	18.570553
3gr2_ligand_173	8.880101
3gr2_ligand_176	6.0089517
3gr2_ligand_182	9.131991
3gr2_ligand_184	7.0318623
3gr2_ligand_185	18.412546
3gr2_ligand_187	6.8162913
3gr2_ligand_194	6.0245104
3gr2_ligand_198	8.914066
3gr2_ligand_199	11.627543
3gr2_ligand_201	8.341728
3gr2_ligand_202	9.381463
3gr2_ligand_203	8.639325
3gr2_ligand_206	7.2177105
3gr2_ligand_207	5.5141115
3gr2_ligand_208	6.6329865
3gr2_ligand_209	10.462964
3gr2_ligand_221	12.931768
3gr2_ligand_222	8.028463
3gr2_ligand_225	18.644882
3gr2_ligand_227	7.5806217
3gr2_ligand_230	7.822267
3gr2_ligand_231	10.054632
3gr2_ligand_232	11.113557
3gr2_ligand_233	9.844085
3gr2_ligand_235	8.182706
3gr2_ligand_238	7.053193
3gr2_ligand_239	10.936129
3gr2_ligand_242	9.316595
3gr2_ligand_245	12.3405695
3gr2_ligand_263	11.481779
3gr2_ligand_269	11.019584
3gr2_ligand_270	19.628267
3gr2_ligand_273	15.517345
3gr2_ligand_275	10.115873
3gr2_ligand_277	5.798183
3gr2_ligand_282	10.554789
3gr2_ligand_28	5.448777
3gr2_ligand_290	4.1059127
3gr2_ligand_296	6.6621804
3gr2_ligand_297	25.795458
3gr2_ligand_323	13.513072
3gr2_ligand_324	19.12503
3gr2_ligand_332	24.697245
3gr2_ligand_337	12.327137
