#code_ligand_num	score
3cj4_ligand_126	41.426388
3cj4_ligand_143	41.144295
3cj4_ligand_154	69.42522
3cj4_ligand_158	83.14313
3cj4_ligand_162	89.88194
3cj4_ligand_163	109.16379
3cj4_ligand_164	126.16016
3cj4_ligand_169	100.32392
3cj4_ligand_171	131.91998
3cj4_ligand_172	182.82915
3cj4_ligand_173	104.751434
3cj4_ligand_174	112.54247
3cj4_ligand_175	102.28996
3cj4_ligand_183	63.235176
3cj4_ligand_185	64.18965
3cj4_ligand_188	129.72931
3cj4_ligand_191	87.102745
3cj4_ligand_193	113.891426
3cj4_ligand_194	87.94893
3cj4_ligand_202	65.01178
3cj4_ligand_206	53.931942
3cj4_ligand_213	71.70555
3cj4_ligand_215	107.946686
3cj4_ligand_218	77.90161
3cj4_ligand_223	82.612335
3cj4_ligand_225	96.3946
3cj4_ligand_227	79.21502
3cj4_ligand_229	82.09568
3cj4_ligand_22	50.532024
3cj4_ligand_230	82.38836
3cj4_ligand_231	119.096886
3cj4_ligand_238	131.53386
3cj4_ligand_240	65.20565
3cj4_ligand_243	91.14569
3cj4_ligand_246	111.36991
3cj4_ligand_247	142.39946
3cj4_ligand_249	102.832344
3cj4_ligand_250	68.44085
3cj4_ligand_252	85.17094
3cj4_ligand_258	78.20099
3cj4_ligand_262	168.6244
3cj4_ligand_267	65.32087
3cj4_ligand_269	90.58131
3cj4_ligand_270	124.09601
3cj4_ligand_271	115.97218
3cj4_ligand_277	172.4506
3cj4_ligand_281	116.996414
3cj4_ligand_286	113.29039
3cj4_ligand_288	144.56696
3cj4_ligand_289	95.61292
3cj4_ligand_290	120.06958
3cj4_ligand_292	177.17639
3cj4_ligand_293	109.20386
3cj4_ligand_297	116.92204
3cj4_ligand_298	153.15195
3cj4_ligand_300	100.20192
3cj4_ligand_309	103.698524
3cj4_ligand_323	142.33302
3cj4_ligand_328	74.734215
3cj4_ligand_329	150.87376
3cj4_ligand_332	80.27416
3cj4_ligand_339	114.62084
3cj4_ligand_344	87.68184
3cj4_ligand_349	122.6431
3cj4_ligand_350	61.491913
3cj4_ligand_351	31.503706
3cj4_ligand_357	45.584232
3cj4_ligand_35	46.474865
3cj4_ligand_366	60.349678
3cj4_ligand_36	28.906044
3cj4_ligand_377	56.812794
3cj4_ligand_379	66.25535
3cj4_ligand_380	57.50884
3cj4_ligand_381	56.914486
3cj4_ligand_384	74.01395
3cj4_ligand_386	48.377575
3cj4_ligand_390	61.27556
3cj4_ligand_393	65.52292
3cj4_ligand_397	56.21597
3cj4_ligand_399	70.0032
3cj4_ligand_400	54.80993
3cj4_ligand_405	34.56044
3cj4_ligand_406	35.61138
3cj4_ligand_409	32.142986
3cj4_ligand_40	42.99149
3cj4_ligand_410	47.121635
3cj4_ligand_414	56.204407
3cj4_ligand_421	33.86634
3cj4_ligand_435	88.832054
3cj4_ligand_436	49.39576
3cj4_ligand_442	47.92912
3cj4_ligand_44	46.987183
3cj4_ligand_464	36.996918
3cj4_ligand_466	42.072353
3cj4_ligand_492	66.96939
3cj4_ligand_54	37.425465
3cj4_ligand_59	42.78348
3cj4_ligand_77	39.626747
3cj4_ligand_88	42.25877
3cj4_ligand_99	51.75148
3coy_ligand_101	20.425714
3coy_ligand_110	34.683018
3coy_ligand_115	32.1342
3coy_ligand_121	25.025463
3coy_ligand_123	17.742311
3coy_ligand_12	37.573715
3coy_ligand_131	22.718515
3coy_ligand_145	49.179276
3coy_ligand_147	54.747894
3coy_ligand_14	30.137697
3coy_ligand_167	111.30833
3coy_ligand_170	98.81222
3coy_ligand_177	119.08844
3coy_ligand_182	90.122635
3coy_ligand_186	115.16997
3coy_ligand_188	115.19777
3coy_ligand_193	117.55837
3coy_ligand_195	106.02976
3coy_ligand_196	128.50058
3coy_ligand_19	36.893925
3coy_ligand_200	85.65016
3coy_ligand_204	44.47899
3coy_ligand_214	42.05035
3coy_ligand_215	37.774487
3coy_ligand_221	84.533356
3coy_ligand_223	53.252117
3coy_ligand_226	72.561104
3coy_ligand_228	51.019768
3coy_ligand_230	71.73676
3coy_ligand_234	64.0871
3coy_ligand_235	40.494904
3coy_ligand_237	75.51021
3coy_ligand_238	71.766174
3coy_ligand_239	71.56624
3coy_ligand_240	76.009094
3coy_ligand_241	61.150066
3coy_ligand_242	79.7757
3coy_ligand_245	88.00582
3coy_ligand_248	90.511375
3coy_ligand_249	55.331867
3coy_ligand_24	48.713818
3coy_ligand_258	134.91412
3coy_ligand_264	73.021515
3coy_ligand_270	78.032036
3coy_ligand_278	68.479866
3coy_ligand_279	64.79753
3coy_ligand_282	61.415474
3coy_ligand_288	57.841534
3coy_ligand_289	56.60146
3coy_ligand_292	80.4136
3coy_ligand_294	72.478264
3coy_ligand_295	125.81984
3coy_ligand_297	81.54073
3coy_ligand_304	58.54974
3coy_ligand_30	40.439404
3coy_ligand_318	71.666
3coy_ligand_323	132.21388
3coy_ligand_326	99.7649
3coy_ligand_333	112.503944
3coy_ligand_335	109.91048
3coy_ligand_339	99.7562
3coy_ligand_341	49.159313
3coy_ligand_349	71.562065
3coy_ligand_358	46.723495
3coy_ligand_365	37.4814
3coy_ligand_366	37.688187
3coy_ligand_369	50.306946
3coy_ligand_374	91.77741
3coy_ligand_37	33.251865
3coy_ligand_382	58.154823
3coy_ligand_383	64.36986
3coy_ligand_385	69.09668
3coy_ligand_387	62.458584
3coy_ligand_390	112.94485
3coy_ligand_392	64.94518
3coy_ligand_393	63.191296
3coy_ligand_394	108.48008
3coy_ligand_398	50.381767
3coy_ligand_41	42.28166
3coy_ligand_434	46.87942
3coy_ligand_437	45.89696
3coy_ligand_443	59.564526
3coy_ligand_445	33.954075
3coy_ligand_454	24.39801
3coy_ligand_48	41.623035
3coy_ligand_57	48.04219
3coy_ligand_61	32.339523
3coy_ligand_62	29.277868
3coy_ligand_63	38.36376
3coy_ligand_64	101.99866
3coy_ligand_68	47.527386
3coy_ligand_69	25.549637
3coy_ligand_6	23.662622
3coy_ligand_70	21.508434
3coy_ligand_88	45.32524
3coy_ligand_89	22.408806
3coy_ligand_91	29.218523
3coy_ligand_92	62.76684
3coy_ligand_93	35.236988
3coy_ligand_95	25.94211
3coz_ligand_101	28.680832
3coz_ligand_109	49.80114
3coz_ligand_10	27.770117
3coz_ligand_111	33.7907
3coz_ligand_116	21.874165
3coz_ligand_123	30.33721
3coz_ligand_129	29.06551
3coz_ligand_130	29.988363
3coz_ligand_133	47.015976
3coz_ligand_136	58.852283
3coz_ligand_138	55.87752
3coz_ligand_142	52.462734
3coz_ligand_143	36.07918
3coz_ligand_145	28.078241
3coz_ligand_150	23.670364
3coz_ligand_158	105.66841
3coz_ligand_166	111.67615
3coz_ligand_175	95.662476
3coz_ligand_180	41.927155
3coz_ligand_183	103.6364
3coz_ligand_18	23.756735
3coz_ligand_193	120.748276
3coz_ligand_197	119.92624
3coz_ligand_200	93.71323
3coz_ligand_206	38.783195
3coz_ligand_210	31.1404
3coz_ligand_214	64.78207
3coz_ligand_216	93.35594
3coz_ligand_220	59.74809
3coz_ligand_225	51.814724
3coz_ligand_227	54.632587
3coz_ligand_232	85.17757
3coz_ligand_235	78.30706
3coz_ligand_241	74.66145
3coz_ligand_242	92.68536
3coz_ligand_244	121.652794
3coz_ligand_248	43.52754
3coz_ligand_249	63.713398
3coz_ligand_250	48.459072
3coz_ligand_254	106.68163
3coz_ligand_259	102.17862
3coz_ligand_261	53.571064
3coz_ligand_264	104.62576
3coz_ligand_26	46.60539
3coz_ligand_271	51.717537
3coz_ligand_279	90.85925
3coz_ligand_285	73.25356
3coz_ligand_292	141.80286
3coz_ligand_294	76.2045
3coz_ligand_295	64.16767
3coz_ligand_307	53.766922
3coz_ligand_313	109.879074
3coz_ligand_315	81.35104
3coz_ligand_322	74.29045
3coz_ligand_325	108.3936
3coz_ligand_326	88.62757
3coz_ligand_336	86.92451
3coz_ligand_338	97.64459
3coz_ligand_342	78.317276
3coz_ligand_344	65.43024
3coz_ligand_349	89.990265
3coz_ligand_34	16.205397
3coz_ligand_358	31.95965
3coz_ligand_362	42.17829
3coz_ligand_367	36.103657
3coz_ligand_371	49.28091
3coz_ligand_373	35.50973
