#code_ligand_num	score
3gc5_ligand_284	14.602275
3gc5_ligand_285	8.440191
3gc5_ligand_287	26.188673
3gc5_ligand_290	21.0895
3gc5_ligand_293	16.055508
3gc5_ligand_295	8.611269
3gc5_ligand_296	13.899649
3gc5_ligand_305	19.918053
3gc5_ligand_308	12.136979
3gc5_ligand_309	14.6579
3gc5_ligand_314	11.181138
3gc5_ligand_318	22.089148
3gc5_ligand_322	18.85494
3gc5_ligand_325	16.16622
3gc5_ligand_326	23.701582
3gc5_ligand_328	13.321466
3gc5_ligand_330	11.152918
3gc5_ligand_331	25.73815
3gc5_ligand_334	27.1607
3gc5_ligand_336	13.155779
3gc5_ligand_337	13.467639
3gc5_ligand_340	27.168041
3gc5_ligand_343	11.221907
3gc5_ligand_344	14.305941
3gc5_ligand_345	28.927437
3gc5_ligand_346	19.154375
3gc5_ligand_347	21.121807
3gc5_ligand_348	9.58977
3gc5_ligand_349	11.8924885
3gc5_ligand_358	7.535607
3gc5_ligand_359	5.5733356
3gc5_ligand_367	11.228928
3gc5_ligand_377	6.0914683
3gc5_ligand_381	15.03174
3gc5_ligand_385	7.62886
3gc5_ligand_387	12.053579
3gc5_ligand_388	11.44909
3gc5_ligand_390	11.412473
3gc5_ligand_391	8.341793
3gc5_ligand_392	8.866557
3gc5_ligand_393	10.985575
3gc5_ligand_396	8.210659
3gc5_ligand_398	7.36922
3gc5_ligand_403	6.0279064
3gc5_ligand_414	4.4427013
3gc5_ligand_55	8.786158
3gc5_ligand_56	9.201215
3gc5_ligand_83	8.797557
3gc5_ligand_84	7.6133366
3gc5_ligand_92	7.0834265
3ge7_ligand_105	5.2648797
3ge7_ligand_114	6.771559
3ge7_ligand_118	9.78392
3ge7_ligand_121	7.462187
3ge7_ligand_124	6.61545
3ge7_ligand_126	6.2530923
3ge7_ligand_130	6.1305513
3ge7_ligand_13	5.9036403
3ge7_ligand_147	6.8206124
3ge7_ligand_153	16.274897
3ge7_ligand_155	21.688246
3ge7_ligand_159	19.151865
3ge7_ligand_169	28.024288
3ge7_ligand_172	16.97698
3ge7_ligand_174	28.185266
3ge7_ligand_177	18.81356
3ge7_ligand_182	14.564089
3ge7_ligand_183	9.674224
3ge7_ligand_187	30.605999
3ge7_ligand_188	16.229322
3ge7_ligand_189	26.10817
3ge7_ligand_190	13.503379
3ge7_ligand_194	9.76577
3ge7_ligand_197	26.37971
3ge7_ligand_198	17.898058
3ge7_ligand_1	10.5796585
3ge7_ligand_202	8.996168
3ge7_ligand_203	10.281978
3ge7_ligand_204	13.464011
3ge7_ligand_206	9.273058
3ge7_ligand_207	10.467414
3ge7_ligand_210	22.93846
3ge7_ligand_211	10.08795
3ge7_ligand_212	7.3046403
3ge7_ligand_217	8.483987
3ge7_ligand_225	9.876469
3ge7_ligand_226	7.65021
3ge7_ligand_228	13.950776
3ge7_ligand_229	12.633407
3ge7_ligand_233	14.514279
3ge7_ligand_234	11.968048
3ge7_ligand_235	9.29434
3ge7_ligand_236	11.709845
3ge7_ligand_239	11.352096
3ge7_ligand_240	9.088731
3ge7_ligand_241	11.980691
3ge7_ligand_245	13.266037
3ge7_ligand_246	11.183386
3ge7_ligand_248	11.21076
3ge7_ligand_249	12.176535
3ge7_ligand_250	6.7347608
3ge7_ligand_253	17.589834
3ge7_ligand_254	14.824438
3ge7_ligand_255	16.589117
3ge7_ligand_260	17.054602
3ge7_ligand_262	11.596685
3ge7_ligand_264	13.1766815
3ge7_ligand_274	18.389624
3ge7_ligand_275	19.43873
3ge7_ligand_27	8.083589
3ge7_ligand_281	26.830904
3ge7_ligand_282	20.042517
3ge7_ligand_287	33.37138
3ge7_ligand_290	30.068876
3ge7_ligand_291	13.5564785
3ge7_ligand_292	15.032414
3ge7_ligand_295	16.806257
3ge7_ligand_297	12.367088
3ge7_ligand_299	20.751429
3ge7_ligand_29	6.327523
3ge7_ligand_304	23.242754
3ge7_ligand_305	47.582146
3ge7_ligand_309	14.574724
3ge7_ligand_316	14.3283825
3ge7_ligand_317	16.719845
3ge7_ligand_326	24.06276
3ge7_ligand_334	20.86552
3ge7_ligand_336	22.804472
3ge7_ligand_337	15.786357
3ge7_ligand_340	13.1766815
3ge7_ligand_342	19.892225
3ge7_ligand_343	17.538836
3ge7_ligand_347	16.787416
3ge7_ligand_349	18.046116
3ge7_ligand_34	8.061601
3ge7_ligand_37	5.5192533
3ge7_ligand_387	6.7750583
3ge7_ligand_39	6.4794765
