#code_ligand_num	score
1a30_ligand_103	6.001297
1a30_ligand_106	4.831927
1a30_ligand_107	3.8181567
1a30_ligand_10	6.0206237
1a30_ligand_111	3.5431573
1a30_ligand_119	7.7405148
1a30_ligand_121	2.2207701
1a30_ligand_123	2.0336409
1a30_ligand_128	7.054824
1a30_ligand_130	2.808448
1a30_ligand_159	18.85653
1a30_ligand_163	6.7040443
1a30_ligand_167	21.154861
1a30_ligand_173	12.306449
1a30_ligand_176	9.465732
1a30_ligand_179	17.238142
1a30_ligand_181	11.50733
1a30_ligand_182	13.065703
1a30_ligand_195	7.6818104
1a30_ligand_209	13.326767
1a30_ligand_214	7.660695
1a30_ligand_217	11.320015
1a30_ligand_220	10.697057
1a30_ligand_221	8.17649
1a30_ligand_222	9.532317
1a30_ligand_223	7.3495674
1a30_ligand_224	4.158178
1a30_ligand_228	14.430257
1a30_ligand_22	8.739577
1a30_ligand_230	8.768078
1a30_ligand_232	10.803581
1a30_ligand_235	12.333221
1a30_ligand_236	7.3038983
1a30_ligand_238	7.565783
1a30_ligand_239	7.016744
1a30_ligand_247	14.301315
1a30_ligand_257	11.288551
1a30_ligand_258	16.73809
1a30_ligand_259	9.758623
1a30_ligand_264	13.422342
1a30_ligand_266	16.852089
1a30_ligand_279	18.926826
1a30_ligand_284	14.876773
1a30_ligand_288	19.287247
1a30_ligand_291	22.95462
1a30_ligand_292	18.461056
1a30_ligand_294	6.716894
1a30_ligand_29	2.966331
1a30_ligand_300	15.463382
1a30_ligand_305	13.202215
1a30_ligand_306	15.090676
1a30_ligand_313	7.7916875
1a30_ligand_315	10.39117
1a30_ligand_321	18.317326
1a30_ligand_324	18.57144
1a30_ligand_325	12.180019
1a30_ligand_326	11.756335
1a30_ligand_330	14.812161
1a30_ligand_336	18.412966
1a30_ligand_33	4.742804
1a30_ligand_340	23.646072
1a30_ligand_342	9.366567
1a30_ligand_349	8.031112
1a30_ligand_34	2.5937617
1a30_ligand_352	6.09808
1a30_ligand_364	4.5759554
1a30_ligand_365	1.6912775
1a30_ligand_366	6.2324176
1a30_ligand_36	8.594522
1a30_ligand_370	2.9518635
1a30_ligand_371	5.412503
1a30_ligand_382	4.6483374
1a30_ligand_383	2.4876547
1a30_ligand_387	8.493203
1a30_ligand_38	5.5999165
1a30_ligand_394	5.2429237
1a30_ligand_397	5.1232557
1a30_ligand_399	2.6407747
1a30_ligand_408	10.121887
1a30_ligand_417	4.8855424
1a30_ligand_41	5.7486777
1a30_ligand_429	-0.93080175
1a30_ligand_448	3.1885505
1a30_ligand_449	5.0231504
1a30_ligand_45	7.3367763
1a30_ligand_483	6.1007094
1a30_ligand_48	5.573095
1a30_ligand_49	8.711054
1a30_ligand_4	4.1342573
1a30_ligand_50	5.9606547
1a30_ligand_56	4.8579907
1a30_ligand_58	5.9456816
1a30_ligand_61	8.456993
1a30_ligand_71	6.747436
1a30_ligand_74	6.35963
1a30_ligand_78	7.802021
1a30_ligand_81	3.8753865
1a30_ligand_83	7.641654
1a30_ligand_96	10.676015
1a30_ligand_9	6.0925283
1bcu_ligand_152	10.476201
