#code_ligand_num	score
3cj4_ligand_100	7.602709
3cj4_ligand_103	8.346939
3cj4_ligand_111	6.1029286
3cj4_ligand_122	7.047985
3cj4_ligand_12	9.267257
3cj4_ligand_131	9.178068
3cj4_ligand_132	8.758648
3cj4_ligand_133	12.440849
3cj4_ligand_140	15.870984
3cj4_ligand_153	28.87973
3cj4_ligand_154	12.413816
3cj4_ligand_161	24.571646
3cj4_ligand_162	51.862255
3cj4_ligand_168	16.557198
3cj4_ligand_169	56.093597
3cj4_ligand_170	22.87625
3cj4_ligand_173	25.445395
3cj4_ligand_177	20.389677
3cj4_ligand_179	21.338238
3cj4_ligand_186	28.08816
3cj4_ligand_190	25.78151
3cj4_ligand_195	29.249018
3cj4_ligand_1	9.220497
3cj4_ligand_201	10.364142
3cj4_ligand_208	7.9432607
3cj4_ligand_210	10.315081
3cj4_ligand_211	7.1912336
3cj4_ligand_212	13.72328
3cj4_ligand_213	12.208928
3cj4_ligand_214	21.8443
3cj4_ligand_215	13.357048
3cj4_ligand_216	8.144776
3cj4_ligand_217	17.284302
3cj4_ligand_218	13.299362
3cj4_ligand_219	7.7817497
3cj4_ligand_21	8.424586
3cj4_ligand_220	12.100894
3cj4_ligand_221	15.352859
3cj4_ligand_225	15.217829
3cj4_ligand_226	12.8670025
3cj4_ligand_227	13.03038
3cj4_ligand_229	8.930244
3cj4_ligand_230	11.825273
3cj4_ligand_233	12.978263
3cj4_ligand_234	15.608948
3cj4_ligand_235	18.470877
3cj4_ligand_236	13.310919
3cj4_ligand_238	8.17159
3cj4_ligand_239	12.542732
3cj4_ligand_240	13.119054
3cj4_ligand_242	16.82553
3cj4_ligand_243	11.47142
3cj4_ligand_244	11.342387
3cj4_ligand_245	15.019205
3cj4_ligand_246	13.509074
3cj4_ligand_247	16.302591
3cj4_ligand_248	11.892033
3cj4_ligand_249	19.751173
3cj4_ligand_25	5.108138
3cj4_ligand_270	16.726562
3cj4_ligand_277	22.36449
3cj4_ligand_280	16.625177
3cj4_ligand_283	16.438585
3cj4_ligand_292	15.113027
3cj4_ligand_293	20.219324
3cj4_ligand_297	9.961429
3cj4_ligand_298	20.827093
3cj4_ligand_306	26.284197
3cj4_ligand_307	16.31715
3cj4_ligand_308	23.116982
3cj4_ligand_309	27.865688
3cj4_ligand_30	5.8256273
3cj4_ligand_314	20.141464
3cj4_ligand_316	17.403826
3cj4_ligand_317	16.76061
3cj4_ligand_319	23.410313
3cj4_ligand_324	12.435453
3cj4_ligand_327	24.55034
3cj4_ligand_328	32.687187
3cj4_ligand_330	15.094349
3cj4_ligand_331	20.259836
3cj4_ligand_336	15.8484745
3cj4_ligand_339	16.686213
3cj4_ligand_33	8.715295
3cj4_ligand_348	18.117659
3cj4_ligand_34	9.835663
3cj4_ligand_359	9.139444
3cj4_ligand_362	6.01082
3cj4_ligand_365	9.667294
3cj4_ligand_374	8.948575
3cj4_ligand_381	11.368024
3cj4_ligand_390	13.978256
3cj4_ligand_400	15.947218
3cj4_ligand_434	3.9736853
3cj4_ligand_437	5.747313
3cj4_ligand_468	9.482986
3cj4_ligand_491	9.496503
3cj4_ligand_49	8.417981
3cj4_ligand_75	6.859643
3cj4_ligand_93	15.919908
3coy_ligand_100	9.054197
3coy_ligand_101	8.155162
3coy_ligand_107	9.768032
3coy_ligand_108	12.418541
3coy_ligand_109	11.28649
3coy_ligand_10	11.56183
3coy_ligand_114	10.87806
3coy_ligand_115	9.156355
3coy_ligand_12	9.518668
3coy_ligand_132	0.4341422
3coy_ligand_144	9.581362
3coy_ligand_150	9.387157
3coy_ligand_15	3.892407
3coy_ligand_160	20.420244
3coy_ligand_164	46.6302
