#code_ligand_num	score
3p5o_ligand_110	8.704097
3p5o_ligand_126	5.2942576
3p5o_ligand_150	4.660632
3p5o_ligand_154	34.1746
3p5o_ligand_155	52.481747
3p5o_ligand_157	42.859615
3p5o_ligand_160	29.582144
3p5o_ligand_162	40.523678
3p5o_ligand_163	27.479263
3p5o_ligand_165	43.782
3p5o_ligand_167	54.59209
3p5o_ligand_169	38.688663
3p5o_ligand_171	32.752274
3p5o_ligand_172	70.0678
3p5o_ligand_174	24.062275
3p5o_ligand_178	19.972692
3p5o_ligand_183	37.844
3p5o_ligand_184	93.19322
3p5o_ligand_185	40.50692
3p5o_ligand_186	27.314236
3p5o_ligand_190	20.821892
3p5o_ligand_192	65.30592
3p5o_ligand_193	38.208076
3p5o_ligand_194	33.80291
3p5o_ligand_195	22.35846
3p5o_ligand_201	11.422939
3p5o_ligand_203	8.015057
3p5o_ligand_205	10.721446
3p5o_ligand_209	11.242771
3p5o_ligand_211	7.67047
3p5o_ligand_212	6.9180512
3p5o_ligand_215	11.154865
3p5o_ligand_216	5.781269
3p5o_ligand_218	8.536968
3p5o_ligand_220	10.830511
3p5o_ligand_221	11.820517
3p5o_ligand_222	6.938016
3p5o_ligand_223	7.944402
3p5o_ligand_227	9.394592
3p5o_ligand_228	11.484358
3p5o_ligand_229	14.142035
3p5o_ligand_230	9.656069
3p5o_ligand_232	12.308823
3p5o_ligand_233	12.584209
3p5o_ligand_236	6.052181
3p5o_ligand_237	10.46165
3p5o_ligand_239	14.038835
3p5o_ligand_240	8.08233
3p5o_ligand_241	9.6191635
3p5o_ligand_242	14.008614
3p5o_ligand_244	12.775691
3p5o_ligand_245	14.12874
3p5o_ligand_246	16.751774
3p5o_ligand_247	13.802699
3p5o_ligand_249	9.317216
3p5o_ligand_258	13.069218
3p5o_ligand_260	16.547096
3p5o_ligand_264	15.156876
3p5o_ligand_266	21.928616
3p5o_ligand_273	17.808443
3p5o_ligand_274	19.831652
3p5o_ligand_276	29.220255
3p5o_ligand_278	17.609068
3p5o_ligand_280	13.549356
3p5o_ligand_281	59.614414
3p5o_ligand_288	17.28755
3p5o_ligand_289	9.824087
