#code_ligand_num	score
3p5o_ligand_100	8.485843
3p5o_ligand_107	7.2624607
3p5o_ligand_108	8.845528
3p5o_ligand_116	5.3579125
3p5o_ligand_123	7.997931
3p5o_ligand_126	8.10221
3p5o_ligand_128	4.538687
3p5o_ligand_138	12.346378
3p5o_ligand_140	10.272793
3p5o_ligand_144	7.7992225
3p5o_ligand_145	6.441672
3p5o_ligand_165	82.12372
3p5o_ligand_171	53.7905
3p5o_ligand_172	24.8418
3p5o_ligand_174	51.794018
3p5o_ligand_183	67.284706
3p5o_ligand_185	16.165958
3p5o_ligand_187	22.322039
3p5o_ligand_188	40.99664
3p5o_ligand_189	17.462093
3p5o_ligand_191	14.880096
3p5o_ligand_194	15.543076
3p5o_ligand_195	69.43327
3p5o_ligand_200	59.71401
3p5o_ligand_202	8.54408
3p5o_ligand_204	7.761667
3p5o_ligand_208	9.900123
3p5o_ligand_20	9.406635
3p5o_ligand_211	12.753295
3p5o_ligand_212	9.160925
3p5o_ligand_213	11.192405
3p5o_ligand_216	8.959139
3p5o_ligand_217	8.372018
3p5o_ligand_218	13.464221
3p5o_ligand_219	12.660868
3p5o_ligand_220	14.621141
3p5o_ligand_222	7.3726387
3p5o_ligand_223	16.4977
3p5o_ligand_224	8.841897
3p5o_ligand_225	8.720242
3p5o_ligand_226	12.376736
3p5o_ligand_227	8.08509
3p5o_ligand_229	11.521507
3p5o_ligand_230	9.392657
3p5o_ligand_232	10.039153
3p5o_ligand_233	10.182236
3p5o_ligand_236	23.114273
3p5o_ligand_239	10.214645
3p5o_ligand_242	8.725572
3p5o_ligand_243	13.273703
3p5o_ligand_244	8.1137905
3p5o_ligand_247	9.948624
3p5o_ligand_249	17.632149
3p5o_ligand_24	9.268468
3p5o_ligand_250	9.385543
3p5o_ligand_254	75.70057
3p5o_ligand_260	25.039648
3p5o_ligand_263	15.577597
3p5o_ligand_266	15.545662
3p5o_ligand_268	15.520881
3p5o_ligand_270	16.136742
3p5o_ligand_281	14.733423
3p5o_ligand_284	21.980194
3p5o_ligand_286	13.374326
3p5o_ligand_287	14.063778
3p5o_ligand_288	22.83329
