#code_ligand_num	score
3utu_ligand_344	453.16147
3utu_ligand_348	529.8732
3utu_ligand_351	125.32751
3utu_ligand_355	218.52892
3utu_ligand_357	220.23845
3utu_ligand_359	219.76929
3utu_ligand_364	403.04016
3utu_ligand_365	362.84448
3utu_ligand_372	214.13988
3utu_ligand_375	456.32562
3utu_ligand_384	380.2242
3utu_ligand_386	376.76508
3utu_ligand_391	295.98056
3utu_ligand_396	505.86374
3utu_ligand_400	564.865
3utu_ligand_401	313.27188
3utu_ligand_402	227.02954
3utu_ligand_404	242.80238
3utu_ligand_405	75.25728
3utu_ligand_409	342.3494
3utu_ligand_412	348.8353
3utu_ligand_413	113.905235
3utu_ligand_415	302.29337
3utu_ligand_419	394.9886
3utu_ligand_424	280.6721
3utu_ligand_437	1091.8627
3utu_ligand_439	234.82158
3utu_ligand_441	874.10516
3utu_ligand_445	928.73285
3utu_ligand_447	384.71362
3utu_ligand_448	226.36052
3utu_ligand_449	832.7416
3utu_ligand_451	91.93081
3utu_ligand_461	31.137302
3utu_ligand_463	205.91722
3utu_ligand_464	120.38023
3utu_ligand_467	396.99625
3utu_ligand_473	107.94753
3utu_ligand_480	312.6258
3utu_ligand_481	141.61551
3utu_ligand_487	194.91508
3utu_ligand_489	155.8723
3utu_ligand_5	95.00615
3utu_ligand_70	353.87625
3utu_ligand_84	330.2086
3utu_ligand_86	361.00024
3utu_ligand_90	293.3172
3utu_ligand_92	287.23282
3utu_ligand_95	184.90242
3utu_ligand_99	323.20996
3uuo_ligand_112	134.56004
3uuo_ligand_115	110.055145
3uuo_ligand_151	130.48384
3uuo_ligand_154	117.483086
3uuo_ligand_161	206.07967
3uuo_ligand_165	151.43239
3uuo_ligand_168	232.83789
3uuo_ligand_169	157.5425
3uuo_ligand_171	242.0053
3uuo_ligand_172	120.18791
3uuo_ligand_174	212.93193
3uuo_ligand_182	151.54985
3uuo_ligand_184	118.11636
3uuo_ligand_186	201.33904
3uuo_ligand_187	203.3824
3uuo_ligand_195	266.7434
3uuo_ligand_197	292.4847
3uuo_ligand_198	187.68742
3uuo_ligand_199	185.66563
3uuo_ligand_200	131.76445
3uuo_ligand_201	101.37919
3uuo_ligand_204	94.481636
3uuo_ligand_205	190.64928
3uuo_ligand_206	148.89465
3uuo_ligand_209	126.195145
3uuo_ligand_213	114.857895
3uuo_ligand_214	157.43073
3uuo_ligand_215	172.11919
3uuo_ligand_216	123.15912
3uuo_ligand_220	166.15211
3uuo_ligand_222	146.09126
3uuo_ligand_223	165.35089
3uuo_ligand_225	156.4849
3uuo_ligand_226	128.82906
3uuo_ligand_229	246.07576
3uuo_ligand_230	231.24434
3uuo_ligand_231	141.67374
3uuo_ligand_233	247.27678
3uuo_ligand_234	166.69159
3uuo_ligand_235	147.39877
3uuo_ligand_236	204.66676
3uuo_ligand_238	149.78035
3uuo_ligand_239	132.36842
3uuo_ligand_240	136.75397
3uuo_ligand_241	168.57089
3uuo_ligand_243	199.43262
3uuo_ligand_249	139.05038
3uuo_ligand_250	164.83965
3uuo_ligand_256	154.91109
3uuo_ligand_259	144.01105
3uuo_ligand_262	124.43397
3uuo_ligand_267	184.79045
3uuo_ligand_269	125.95354
3uuo_ligand_270	130.96315
3uuo_ligand_275	204.39531
3uuo_ligand_277	163.45326
3uuo_ligand_280	133.7342
3uuo_ligand_282	190.54443
3uuo_ligand_284	118.064514
3uuo_ligand_287	163.7628
3uuo_ligand_292	172.29424
3uuo_ligand_295	254.45442
3uuo_ligand_297	242.99614
3uuo_ligand_29	83.170135
3uuo_ligand_302	136.45888
3uuo_ligand_306	192.8283
3uuo_ligand_315	120.23961
3uuo_ligand_318	222.83672
3uuo_ligand_323	156.14438
3uuo_ligand_325	170.26671
3uuo_ligand_326	122.25677
3uuo_ligand_328	168.55742
3uuo_ligand_329	178.19174
3uuo_ligand_331	204.44182
3uuo_ligand_332	204.04214
3uuo_ligand_334	128.56293
3uuo_ligand_335	167.96202
3uuo_ligand_336	188.2635
3uuo_ligand_338	168.33191
3uuo_ligand_342	150.61064
3uuo_ligand_343	195.84328
3uuo_ligand_348	138.62236
3uuo_ligand_349	132.53096
3uuo_ligand_350	185.9369
3uuo_ligand_355	122.91455
3uuo_ligand_374	91.52944
3uuo_ligand_379	79.17282
3uuo_ligand_381	88.33306
3uuo_ligand_388	118.414894
3uuo_ligand_390	82.25649
3uuo_ligand_393	150.16035
3uuo_ligand_397	80.13772
3uuo_ligand_3	120.457275
3uuo_ligand_400	105.92252
3uuo_ligand_414	90.83141
3uuo_ligand_420	85.15708
3uuo_ligand_47	105.49844
3uuo_ligand_493	99.15441
3uuo_ligand_57	161.62573
3uuo_ligand_58	131.10136
3wtj_ligand_10	29.134886
3wtj_ligand_129	26.973436
3wtj_ligand_148	27.94907
3wtj_ligand_151	48.458958
3wtj_ligand_152	52.600704
3wtj_ligand_153	52.456623
3wtj_ligand_156	48.798695
3wtj_ligand_157	63.827103
3wtj_ligand_159	47.632545
3wtj_ligand_161	57.660675
3wtj_ligand_162	81.4247
3wtj_ligand_168	65.18021
3wtj_ligand_169	47.49695
3wtj_ligand_170	88.553955
3wtj_ligand_171	95.36322
3wtj_ligand_172	48.007786
3wtj_ligand_176	45.2811
3wtj_ligand_177	42.829544
3wtj_ligand_178	124.59429
3wtj_ligand_179	65.65442
3wtj_ligand_183	70.98864
3wtj_ligand_184	45.285267
3wtj_ligand_189	81.64869
3wtj_ligand_191	87.88445
3wtj_ligand_192	65.84098
3wtj_ligand_193	115.08909
3wtj_ligand_195	73.72791
3wtj_ligand_198	100.71068
3wtj_ligand_200	108.21191
3wtj_ligand_203	30.447266
3wtj_ligand_205	31.203901
3wtj_ligand_216	43.56918
3wtj_ligand_219	54.5136
3wtj_ligand_220	75.234535
3wtj_ligand_225	56.327694
3wtj_ligand_235	53.814888
3wtj_ligand_240	62.233307
3wtj_ligand_243	67.78294
3wtj_ligand_247	71.09061
3wtj_ligand_249	74.0668
3wtj_ligand_251	32.073635
3wtj_ligand_252	33.411636
3wtj_ligand_255	29.13124
3wtj_ligand_25	25.863272
3wtj_ligand_266	48.361153
3wtj_ligand_269	43.044994
3wtj_ligand_270	50.44371
3wtj_ligand_275	43.623943
3wtj_ligand_278	50.493023
3wtj_ligand_279	54.615
3wtj_ligand_284	45.151524
3wtj_ligand_287	60.20422
3wtj_ligand_291	53.740143
3wtj_ligand_292	92.77519
3wtj_ligand_293	76.96485
3wtj_ligand_295	58.2073
3wtj_ligand_298	83.73883
3wtj_ligand_299	34.992565
3wtj_ligand_301	48.392357
3wtj_ligand_304	35.40337
3wtj_ligand_310	49.945145
3wtj_ligand_311	66.604485
3wtj_ligand_318	41.965557
3wtj_ligand_321	51.574474
3wtj_ligand_322	58.089916
3wtj_ligand_326	64.97483
3wtj_ligand_328	54.540184
3wtj_ligand_329	52.8874
3wtj_ligand_330	77.5047
3wtj_ligand_331	58.474197
3wtj_ligand_332	59.518616
3wtj_ligand_333	64.62158
3wtj_ligand_334	39.52151
3wtj_ligand_336	70.23138
3wtj_ligand_338	77.96024
3wtj_ligand_342	41.661297
3wtj_ligand_343	78.86768
3wtj_ligand_344	73.699486
3wtj_ligand_345	51.49613
3wtj_ligand_346	55.35583
3wtj_ligand_347	70.085175
3wtj_ligand_368	22.704033
3wtj_ligand_373	17.15145
3wtj_ligand_37	24.85497
3wtj_ligand_383	26.143919
3wtj_ligand_387	23.74256
3wtj_ligand_392	24.130621
3wtj_ligand_393	22.22902
3wtj_ligand_394	37.529385
3wtj_ligand_395	26.494755
3wtj_ligand_396	23.313612
3wtj_ligand_416	15.382807
3wtj_ligand_430	21.526499
3wtj_ligand_443	23.680653
3wtj_ligand_446	17.040306
3wtj_ligand_52	27.995144
3wtj_ligand_6	24.543385
3wtj_ligand_76	26.143074
3wtj_ligand_81	29.223211
3wtj_ligand_87	31.565657
3wz8_ligand_12	40.045876
3wz8_ligand_131	88.43114
3wz8_ligand_148	61.46673
3wz8_ligand_151	648.2244
3wz8_ligand_155	492.1324
3wz8_ligand_156	626.10297
3wz8_ligand_157	589.0298
3wz8_ligand_162	375.16953
3wz8_ligand_164	482.732
3wz8_ligand_166	452.85403
3wz8_ligand_168	430.21072
3wz8_ligand_173	597.0201
3wz8_ligand_177	608.0447
3wz8_ligand_183	550.9984
3wz8_ligand_184	550.87695
3wz8_ligand_190	489.93823
3wz8_ligand_191	292.87238
3wz8_ligand_196	371.53622
3wz8_ligand_197	552.3146
3wz8_ligand_198	470.5797
3wz8_ligand_201	380.39542
3wz8_ligand_202	318.92133
3wz8_ligand_208	359.02457
3wz8_ligand_211	516.36005
3wz8_ligand_215	564.7673
3wz8_ligand_221	415.86224
3wz8_ligand_223	518.6835
3wz8_ligand_227	539.62134
3wz8_ligand_228	500.26932
3wz8_ligand_233	505.41928
3wz8_ligand_235	488.98953
3wz8_ligand_238	464.7353
3wz8_ligand_239	471.57318
3wz8_ligand_240	518.2939
3wz8_ligand_247	537.6882
3wz8_ligand_249	488.63928
3wz8_ligand_253	340.43622
3wz8_ligand_254	452.9483
3wz8_ligand_255	379.38086
3wz8_ligand_259	378.03156
3wz8_ligand_262	302.37662
3wz8_ligand_265	468.43658
3wz8_ligand_266	521.3085
3wz8_ligand_267	454.9467
3wz8_ligand_272	486.3358
3wz8_ligand_273	366.45953
3wz8_ligand_274	414.91296
3wz8_ligand_278	551.4254
3wz8_ligand_293	529.0592
3wz8_ligand_297	556.5146
3wz8_ligand_299	534.7736
3wz8_ligand_300	466.71332
3wz8_ligand_308	378.6624
3wz8_ligand_311	358.6701
3wz8_ligand_312	456.84897
3wz8_ligand_314	429.95502
3wz8_ligand_320	472.94827
3wz8_ligand_324	532.956
3wz8_ligand_326	521.18774
3wz8_ligand_327	385.7494
3wz8_ligand_333	459.2883
3wz8_ligand_334	566.96576
3wz8_ligand_335	386.09592
3wz8_ligand_336	387.2546
3wz8_ligand_337	611.99335
3wz8_ligand_339	540.7503
3wz8_ligand_33	102.701645
3wz8_ligand_341	556.151
3wz8_ligand_342	499.19122
3wz8_ligand_346	547.6276
3wz8_ligand_349	501.13828
3wz8_ligand_358	115.57531
3wz8_ligand_360	206.40822
3wz8_ligand_363	281.00043
3wz8_ligand_367	234.43037
3wz8_ligand_381	181.94974
3wz8_ligand_382	312.85648
3wz8_ligand_383	297.29166
3wz8_ligand_387	233.25197
3wz8_ligand_391	173.64983
3wz8_ligand_393	339.86163
3wz8_ligand_394	189.73615
3wz8_ligand_397	292.4523
3wz8_ligand_398	358.61908
3wz8_ligand_400	287.10394
3wz8_ligand_405	177.50523
3wz8_ligand_413	171.60257
3wz8_ligand_416	79.99191
3wz8_ligand_420	164.07745
3wz8_ligand_437	138.39891
3wz8_ligand_438	184.85854
3wz8_ligand_439	154.9006
3wz8_ligand_468	146.29065
3wz8_ligand_478	104.13688
3wz8_ligand_48	54.626465
3wz8_ligand_493	115.45186
3wz8_ligand_54	205.0365
3wz8_ligand_66	62.44428
3wz8_ligand_69	115.79062
3wz8_ligand_75	113.64339
3zdg_ligand_100	15.282087
3zdg_ligand_101	18.733713
3zdg_ligand_104	18.821283
3zdg_ligand_107	16.247698
3zdg_ligand_134	19.261288
3zdg_ligand_151	16.904484
3zdg_ligand_152	18.571606
3zdg_ligand_156	17.845755
3zdg_ligand_157	22.720806
3zdg_ligand_158	16.925213
3zdg_ligand_159	23.276285
3zdg_ligand_15	15.36916
3zdg_ligand_162	17.53752
3zdg_ligand_165	29.277431
3zdg_ligand_166	20.19258
3zdg_ligand_168	21.30981
3zdg_ligand_172	19.400496
3zdg_ligand_173	21.443817
3zdg_ligand_176	18.336182
3zdg_ligand_178	17.698498
3zdg_ligand_181	19.936857
3zdg_ligand_184	31.607462
3zdg_ligand_185	16.392563
3zdg_ligand_186	22.251827
3zdg_ligand_188	13.947413
3zdg_ligand_193	14.201242
3zdg_ligand_194	22.926867
3zdg_ligand_196	29.650875
3zdg_ligand_198	20.42796
3zdg_ligand_199	13.752209
3zdg_ligand_202	10.678894
3zdg_ligand_203	17.89106
3zdg_ligand_213	18.609497
3zdg_ligand_216	19.923506
3zdg_ligand_217	17.516665
3zdg_ligand_218	25.01149
3zdg_ligand_220	21.816673
3zdg_ligand_221	21.421791
3zdg_ligand_223	22.023046
3zdg_ligand_224	29.981176
3zdg_ligand_227	17.605507
3zdg_ligand_228	19.838213
3zdg_ligand_230	21.466845
3zdg_ligand_231	21.796951
3zdg_ligand_233	21.506584
3zdg_ligand_234	14.347613
3zdg_ligand_236	24.898254
3zdg_ligand_237	19.76595
3zdg_ligand_238	18.198156
3zdg_ligand_240	16.175295
3zdg_ligand_241	19.196117
3zdg_ligand_243	29.404747
3zdg_ligand_245	20.741596
3zdg_ligand_248	17.742817
3zdg_ligand_250	19.962692
3zdg_ligand_259	25.795023
3zdg_ligand_262	26.5666
3zdg_ligand_264	21.759624
3zdg_ligand_266	20.91132
3zdg_ligand_273	25.590315
3zdg_ligand_276	29.344448
3zdg_ligand_279	19.512472
3zdg_ligand_283	21.332924
3zdg_ligand_284	42.79902
3zdg_ligand_285	19.634512
3zdg_ligand_291	46.112343
3zdg_ligand_293	26.963144
3zdg_ligand_298	33.830444
3zdg_ligand_299	21.002817
3zdg_ligand_300	42.19071
3zdg_ligand_307	22.223148
3zdg_ligand_311	19.428959
3zdg_ligand_313	20.1433
3zdg_ligand_315	20.126078
3zdg_ligand_319	40.313362
3zdg_ligand_324	20.43108
3zdg_ligand_331	27.05443
3zdg_ligand_339	43.278683
3zdg_ligand_340	17.219032
3zdg_ligand_341	39.161114
3zdg_ligand_345	17.135048
3zdg_ligand_348	22.734886
3zdg_ligand_368	15.116996
3zdg_ligand_377	12.618128
3zdg_ligand_379	17.764345
3zdg_ligand_384	14.932805
3zdg_ligand_385	19.010157
3zdg_ligand_386	16.536858
3zdg_ligand_389	18.824118
3zdg_ligand_394	19.649261
3zdg_ligand_398	13.784492
3zdg_ligand_400	12.367339
3zdg_ligand_403	12.963472
3zdg_ligand_418	16.017569
3zdg_ligand_419	17.428131
3zdg_ligand_469	11.243682
3zdg_ligand_477	16.376373
3zdg_ligand_481	16.233652
3zdg_ligand_4	17.971697
3zdg_ligand_77	20.843779
3zso_ligand_101	213.27849
3zso_ligand_114	263.77264
3zso_ligand_119	171.54173
3zso_ligand_124	207.03818
3zso_ligand_135	147.12993
3zso_ligand_146	272.0339
3zso_ligand_151	532.7445
3zso_ligand_154	502.87845
3zso_ligand_155	574.1125
3zso_ligand_156	466.86496
3zso_ligand_159	556.5249
3zso_ligand_160	692.614
3zso_ligand_167	536.7876
3zso_ligand_168	663.8173
3zso_ligand_173	506.5756
3zso_ligand_175	616.7683
3zso_ligand_177	551.84686
3zso_ligand_178	636.1871
3zso_ligand_179	543.91516
3zso_ligand_181	666.71747
3zso_ligand_184	594.7097
3zso_ligand_186	567.6894
3zso_ligand_187	716.1181
3zso_ligand_189	610.40576
3zso_ligand_192	568.3692
3zso_ligand_193	631.1447
3zso_ligand_194	617.5184
3zso_ligand_196	598.08844
3zso_ligand_198	650.5832
3zso_ligand_199	546.00934
3zso_ligand_205	527.89276
3zso_ligand_207	381.50833
3zso_ligand_216	429.28644
3zso_ligand_218	443.5132
3zso_ligand_223	328.05762
3zso_ligand_228	502.3793
3zso_ligand_230	526.9588
3zso_ligand_231	474.8282
3zso_ligand_233	522.9128
3zso_ligand_236	453.55316
3zso_ligand_243	527.04626
3zso_ligand_245	517.88776
3zso_ligand_247	431.0293
3zso_ligand_248	632.17786
3zso_ligand_250	426.05905
3zso_ligand_268	617.20764
3zso_ligand_277	522.61176
3zso_ligand_281	602.3073
3zso_ligand_283	706.3251
3zso_ligand_286	556.42804
3zso_ligand_292	593.30585
3zso_ligand_299	507.82596
3zso_ligand_333	508.47397
3zso_ligand_346	392.35352
3zso_ligand_348	523.6763
3zso_ligand_351	581.0798
3zso_ligand_356	336.79535
3zso_ligand_358	455.81638
3zso_ligand_360	368.6807
3zso_ligand_361	353.81345
3zso_ligand_362	420.86975
3zso_ligand_364	426.88464
3zso_ligand_367	313.3756
3zso_ligand_372	433.67163
3zso_ligand_375	385.11087
3zso_ligand_378	387.93665
3zso_ligand_380	357.6292
3zso_ligand_386	455.56046
3zso_ligand_387	472.3857
3zso_ligand_388	469.80432
3zso_ligand_393	471.16486
3zso_ligand_394	533.8455
3zso_ligand_3	211.35173
3zso_ligand_400	458.02057
3zso_ligand_401	177.71808
3zso_ligand_421	313.46198
3zso_ligand_422	333.4769
3zso_ligand_424	331.35947
3zso_ligand_428	339.02094
3zso_ligand_430	369.30994
3zso_ligand_431	372.4406
3zso_ligand_435	427.60052
3zso_ligand_438	442.2098
3zso_ligand_443	329.44467
3zso_ligand_444	348.57297
3zso_ligand_445	343.60016
3zso_ligand_449	460.8683
3zso_ligand_450	531.43756
3zso_ligand_45	327.09155
3zso_ligand_473	252.44759
3zso_ligand_485	358.56308
3zso_ligand_487	327.4787
3zso_ligand_489	363.76392
3zso_ligand_493	295.67386
3zso_ligand_496	288.23593
3zso_ligand_51	307.18427
3zso_ligand_66	218.57222
3zso_ligand_69	130.03847
3zso_ligand_78	218.51263
3zso_ligand_98	288.40375
3zsx_ligand_115	120.355705
3zsx_ligand_117	117.01938
3zsx_ligand_119	131.48378
3zsx_ligand_127	131.26834
3zsx_ligand_134	207.73668
3zsx_ligand_140	180.75804
3zsx_ligand_144	151.44044
3zsx_ligand_148	101.29522
3zsx_ligand_150	130.69698
3zsx_ligand_154	329.5646
3zsx_ligand_156	341.92468
3zsx_ligand_160	317.3267
3zsx_ligand_169	449.97797
3zsx_ligand_16	163.15831
3zsx_ligand_172	369.54218
3zsx_ligand_177	268.51437
3zsx_ligand_17	145.48335
3zsx_ligand_184	456.60617
3zsx_ligand_187	399.26953
3zsx_ligand_189	352.86786
3zsx_ligand_18	164.13748
3zsx_ligand_190	401.6934
3zsx_ligand_191	314.93015
3zsx_ligand_192	209.66127
3zsx_ligand_193	309.49347
3zsx_ligand_197	454.19302
3zsx_ligand_198	297.4805
3zsx_ligand_200	249.76451
3zsx_ligand_202	235.93929
3zsx_ligand_203	165.38963
3zsx_ligand_210	199.5575
3zsx_ligand_214	233.65486
3zsx_ligand_216	308.71143
3zsx_ligand_218	368.26007
3zsx_ligand_219	367.0269
3zsx_ligand_222	252.66577
3zsx_ligand_223	297.92194
3zsx_ligand_224	354.92346
3zsx_ligand_225	307.3594
3zsx_ligand_228	282.38577
3zsx_ligand_232	255.87051
3zsx_ligand_233	322.54037
3zsx_ligand_236	314.36612
3zsx_ligand_240	329.471
3zsx_ligand_242	218.57938
3zsx_ligand_287	386.5618
3zsx_ligand_288	365.47937
3zsx_ligand_291	364.7732
3zsx_ligand_292	369.9811
3zsx_ligand_293	373.5227
3zsx_ligand_294	286.13513
3zsx_ligand_2	129.0367
3zsx_ligand_326	221.39629
3zsx_ligand_335	319.8297
3zsx_ligand_338	307.6675
3zsx_ligand_344	258.16107
3zsx_ligand_347	252.85904
3zsx_ligand_350	401.78296
3zsx_ligand_351	151.9765
3zsx_ligand_360	206.18233
3zsx_ligand_361	211.69156
3zsx_ligand_363	247.7443
3zsx_ligand_368	243.63974
3zsx_ligand_370	216.5842
3zsx_ligand_376	223.16405
3zsx_ligand_380	271.89603
3zsx_ligand_385	238.52235
3zsx_ligand_386	195.95287
3zsx_ligand_387	244.53036
3zsx_ligand_393	243.063
3zsx_ligand_396	252.27768
3zsx_ligand_397	270.71234
3zsx_ligand_399	268.1624
3zsx_ligand_403	148.29439
3zsx_ligand_406	127.23935
3zsx_ligand_40	44.72268
3zsx_ligand_420	126.727135
3zsx_ligand_434	185.34633
3zsx_ligand_438	238.02997
3zsx_ligand_439	218.48567
3zsx_ligand_445	265.9235
3zsx_ligand_446	287.7019
3zsx_ligand_449	254.42476
3zsx_ligand_450	237.06003
3zsx_ligand_451	89.45124
3zsx_ligand_464	248.42117
3zsx_ligand_465	169.14178
