#code_ligand_num	score
2xii_ligand_266	15.948099
2xii_ligand_267	13.848216
2xii_ligand_282	10.987426
2xii_ligand_284	12.819185
2xii_ligand_285	11.883839
2xii_ligand_286	20.12708
2xii_ligand_287	56.108936
2xii_ligand_295	9.041322
2xii_ligand_298	10.102232
2xii_ligand_2	6.333148
2xii_ligand_304	16.305067
2xii_ligand_306	20.103544
2xii_ligand_311	10.884858
2xii_ligand_314	23.066866
2xii_ligand_316	22.333258
2xii_ligand_319	19.687159
2xii_ligand_320	20.482878
2xii_ligand_322	11.1633625
2xii_ligand_323	13.328255
2xii_ligand_325	12.665548
2xii_ligand_329	10.998229
2xii_ligand_333	12.27035
2xii_ligand_334	11.567217
2xii_ligand_336	19.286503
2xii_ligand_338	8.000327
2xii_ligand_339	18.680386
2xii_ligand_343	12.616114
2xii_ligand_359	7.439526
2xii_ligand_381	5.034267
2xii_ligand_38	8.154106
2xii_ligand_391	5.748502
2xii_ligand_398	4.819792
2xii_ligand_399	5.685499
2xii_ligand_39	6.848288
2xii_ligand_400	7.534428
2xii_ligand_40	6.8620415
2xii_ligand_437	3.6670055
2xii_ligand_44	7.0929766
2xii_ligand_487	7.443834
2xii_ligand_51	5.9659486
2xii_ligand_58	4.94887
2xii_ligand_70	7.5824394
2xii_ligand_73	7.522024
2xii_ligand_75	10.293518
2xii_ligand_76	7.8915167
2xii_ligand_7	6.0706897
2xii_ligand_82	5.941412
2xii_ligand_94	7.9450603
2xii_ligand_97	5.455278
2xii_ligand_98	7.929802
2xj7_ligand_103	9.913927
2xj7_ligand_123	7.107793
2xj7_ligand_141	6.193578
2xj7_ligand_153	9.5180235
2xj7_ligand_168	10.3729105
2xj7_ligand_172	8.921982
2xj7_ligand_183	13.898534
2xj7_ligand_185	10.655268
2xj7_ligand_18	6.5503073
2xj7_ligand_191	9.905386
2xj7_ligand_196	9.298479
2xj7_ligand_197	15.402977
2xj7_ligand_205	8.411806
2xj7_ligand_207	10.035952
2xj7_ligand_208	6.898548
2xj7_ligand_211	6.9571
2xj7_ligand_212	8.798832
2xj7_ligand_213	7.777435
2xj7_ligand_216	8.180464
2xj7_ligand_217	10.405678
2xj7_ligand_219	7.166884
2xj7_ligand_223	9.233547
2xj7_ligand_224	6.760053
2xj7_ligand_227	6.8933163
2xj7_ligand_230	9.38439
2xj7_ligand_238	7.8547354
2xj7_ligand_239	8.133873
2xj7_ligand_240	9.552573
2xj7_ligand_241	10.422268
2xj7_ligand_242	13.790885
2xj7_ligand_247	9.352779
2xj7_ligand_248	9.451391
2xj7_ligand_249	7.575648
2xj7_ligand_271	7.774829
2xj7_ligand_275	10.598225
2xj7_ligand_276	28.762297
2xj7_ligand_277	18.285662
2xj7_ligand_280	17.890656
2xj7_ligand_285	12.068556
2xj7_ligand_286	6.711493
2xj7_ligand_288	7.033017
2xj7_ligand_289	8.186385
2xj7_ligand_290	16.797453
2xj7_ligand_291	14.011305
2xj7_ligand_295	10.3636
2xj7_ligand_298	12.62235
2xj7_ligand_307	10.42551
2xj7_ligand_308	7.678073
2xj7_ligand_309	14.212322
2xj7_ligand_310	10.5548935
2xj7_ligand_314	12.488101
2xj7_ligand_316	12.605469
2xj7_ligand_322	9.350703
2xj7_ligand_326	6.759958
2xj7_ligand_330	14.02376
2xj7_ligand_332	11.175003
2xj7_ligand_337	18.993399
2xj7_ligand_339	8.125459
2xj7_ligand_340	6.6555157
2xj7_ligand_341	6.9192114
2xj7_ligand_357	6.2312646
2xj7_ligand_360	6.9854746
2xj7_ligand_364	6.9243355
2xj7_ligand_365	6.0207496
2xj7_ligand_366	5.654328
2xj7_ligand_371	7.6678534
2xj7_ligand_373	8.512146
2xj7_ligand_376	6.3718514
2xj7_ligand_378	5.7189994
2xj7_ligand_381	7.977901
2xj7_ligand_382	9.863098
2xj7_ligand_389	9.181078
2xj7_ligand_390	8.194832
2xj7_ligand_392	7.988362
2xj7_ligand_393	9.635758
2xj7_ligand_398	9.144441
2xj7_ligand_400	6.8360457
2xj7_ligand_412	5.734514
2xj7_ligand_414	3.8487258
2xj7_ligand_418	8.132329
2xj7_ligand_430	7.126055
2xj7_ligand_432	5.784076
2xj7_ligand_437	5.8198266
2xj7_ligand_440	9.657713
2xj7_ligand_445	6.0999765
2xj7_ligand_447	5.052404
2xj7_ligand_448	4.6338625
2xj7_ligand_45	6.835286
2xj7_ligand_478	6.4832315
2xj7_ligand_486	6.9932227
2xj7_ligand_494	7.3425574
2xj7_ligand_497	6.6748633
2xj7_ligand_498	6.1235137
2xj7_ligand_52	7.2241917
2xj7_ligand_62	6.801404
2xj7_ligand_6	8.641852
2xj7_ligand_72	6.2899957
2xj7_ligand_79	10.506372
2xj7_ligand_85	7.632835
2xj7_ligand_97	6.3699107
2xnb_ligand_10	7.7152014
2xnb_ligand_119	9.797364
2xnb_ligand_121	9.059758
2xnb_ligand_123	5.822011
2xnb_ligand_125	6.9061418
2xnb_ligand_127	8.000293
2xnb_ligand_143	8.646331
2xnb_ligand_144	7.6443133
2xnb_ligand_149	7.967571
2xnb_ligand_156	42.73264
2xnb_ligand_174	9.411258
2xnb_ligand_184	12.87845
2xnb_ligand_190	18.876944
2xnb_ligand_206	12.970807
2xnb_ligand_20	8.080958
2xnb_ligand_212	9.777273
2xnb_ligand_226	6.6851883
2xnb_ligand_228	15.284693
2xnb_ligand_232	10.228666
2xnb_ligand_233	16.513847
2xnb_ligand_236	19.16607
2xnb_ligand_239	10.616849
2xnb_ligand_245	12.597118
2xnb_ligand_247	11.038189
2xnb_ligand_248	12.743925
2xnb_ligand_24	6.9676275
2xnb_ligand_250	9.395617
2xnb_ligand_260	15.572018
2xnb_ligand_261	14.761667
2xnb_ligand_262	13.545639
2xnb_ligand_263	9.901042
2xnb_ligand_265	24.612394
2xnb_ligand_272	17.524836
2xnb_ligand_274	11.201039
2xnb_ligand_275	20.637814
2xnb_ligand_279	15.738396
2xnb_ligand_289	14.991332
2xnb_ligand_293	17.90726
2xnb_ligand_2	8.419458
2xnb_ligand_305	24.291056
2xnb_ligand_307	18.933052
2xnb_ligand_308	18.718761
2xnb_ligand_312	21.333559
2xnb_ligand_31	9.31671
2xnb_ligand_324	11.186201
2xnb_ligand_32	9.748219
2xnb_ligand_342	22.505745
2xnb_ligand_343	15.816952
2xnb_ligand_344	26.71989
2xnb_ligand_346	18.11633
2xnb_ligand_356	9.884571
2xnb_ligand_359	7.944711
2xnb_ligand_35	9.431623
2xnb_ligand_361	7.167835
2xnb_ligand_364	10.853172
2xnb_ligand_366	8.330187
2xnb_ligand_369	12.451631
2xnb_ligand_370	9.119613
2xnb_ligand_372	5.583072
2xnb_ligand_373	8.886881
2xnb_ligand_380	30.272144
2xnb_ligand_381	39.83094
2xnb_ligand_383	52.257053
2xnb_ligand_384	25.855433
2xnb_ligand_387	9.638609
2xnb_ligand_388	9.101533
2xnb_ligand_389	5.658286
2xnb_ligand_395	9.623004
2xnb_ligand_407	10.637454
2xnb_ligand_409	6.4203706
2xnb_ligand_418	11.319481
2xnb_ligand_419	6.336887
2xnb_ligand_420	10.647827
2xnb_ligand_425	8.007363
2xnb_ligand_428	10.780354
2xnb_ligand_432	10.024072
2xnb_ligand_434	7.9014955
2xnb_ligand_435	7.097055
2xnb_ligand_437	7.5148807
2xnb_ligand_459	9.555597
2xnb_ligand_463	8.281855
2xnb_ligand_464	11.321417
2xnb_ligand_467	10.488061
2xnb_ligand_470	8.976578
2xnb_ligand_476	7.6059103
2xnb_ligand_478	7.706786
2xnb_ligand_479	5.8052855
2xnb_ligand_480	7.28406
2xnb_ligand_481	6.694199
2xnb_ligand_51	7.347476
2xnb_ligand_60	12.870624
2xnb_ligand_61	6.1322045
2xnb_ligand_68	9.317085
2xnb_ligand_70	5.6765637
2xnb_ligand_71	11.465964
2xnb_ligand_75	13.025688
2xnb_ligand_76	8.246148
2xnb_ligand_7	6.8457484
2xnb_ligand_81	5.2042456
2xnb_ligand_99	7.18686
2xys_ligand_157	25.236782
2xys_ligand_161	7.266085
2xys_ligand_173	10.990698
2xys_ligand_174	11.837024
2xys_ligand_176	15.92327
2xys_ligand_183	15.570294
2xys_ligand_187	21.157028
2xys_ligand_190	11.281248
2xys_ligand_193	24.165928
2xys_ligand_196	16.40137
2xys_ligand_199	17.25607
2xys_ligand_200	19.653
2xys_ligand_203	7.4597898
2xys_ligand_207	7.511023
2xys_ligand_209	6.0132403
2xys_ligand_210	7.850862
2xys_ligand_211	4.018662
2xys_ligand_213	8.989774
2xys_ligand_214	8.58274
2xys_ligand_216	7.3316517
2xys_ligand_218	8.78288
2xys_ligand_219	7.962647
2xys_ligand_225	9.779954
2xys_ligand_226	9.473004
2xys_ligand_228	5.4477005
2xys_ligand_229	9.276264
