#code_ligand_num	score
3gc5_ligand_283	19.442417
3gc5_ligand_286	34.298737
3gc5_ligand_287	24.84691
3gc5_ligand_289	18.51199
3gc5_ligand_292	24.799284
3gc5_ligand_294	14.406957
3gc5_ligand_297	29.00636
3gc5_ligand_299	32.504166
3gc5_ligand_304	32.354427
3gc5_ligand_314	22.242756
3gc5_ligand_316	32.53895
3gc5_ligand_318	22.562525
3gc5_ligand_319	11.877677
3gc5_ligand_320	17.676428
3gc5_ligand_322	27.79324
3gc5_ligand_323	26.577177
3gc5_ligand_324	18.837215
3gc5_ligand_325	22.147963
3gc5_ligand_330	34.211685
3gc5_ligand_337	27.818851
3gc5_ligand_340	39.10836
3gc5_ligand_341	17.665688
3gc5_ligand_342	30.856604
3gc5_ligand_345	37.517406
3gc5_ligand_348	29.01897
3gc5_ligand_350	39.081947
3gc5_ligand_357	12.427035
3gc5_ligand_360	9.80891
3gc5_ligand_361	6.858358
3gc5_ligand_370	7.5688405
3gc5_ligand_372	6.8653097
3gc5_ligand_374	8.132586
3gc5_ligand_375	11.2275095
3gc5_ligand_376	14.095923
3gc5_ligand_377	7.441258
3gc5_ligand_388	13.745086
3gc5_ligand_393	13.4366
3gc5_ligand_396	15.962976
3gc5_ligand_397	9.949411
3gc5_ligand_415	14.75804
3gc5_ligand_420	10.356344
3gc5_ligand_421	5.7840366
3gc5_ligand_424	7.464316
3gc5_ligand_441	7.4098287
3gc5_ligand_444	20.559938
3gc5_ligand_448	9.38266
3gc5_ligand_450	6.175366
3gc5_ligand_474	6.513052
3gc5_ligand_491	8.736647
3gc5_ligand_495	7.2567115
3ge7_ligand_101	7.455716
3ge7_ligand_103	7.2878766
3ge7_ligand_104	5.1189804
3ge7_ligand_114	9.606663
3ge7_ligand_115	8.194303
3ge7_ligand_125	7.2162833
3ge7_ligand_126	8.171567
3ge7_ligand_131	4.7837243
3ge7_ligand_132	7.317473
3ge7_ligand_144	7.586082
3ge7_ligand_153	38.40426
3ge7_ligand_157	35.73711
3ge7_ligand_159	40.169483
3ge7_ligand_160	40.287045
3ge7_ligand_161	40.259537
3ge7_ligand_164	29.513739
3ge7_ligand_166	31.737705
3ge7_ligand_167	39.949112
3ge7_ligand_170	46.2972
3ge7_ligand_185	37.90171
3ge7_ligand_191	24.433239
3ge7_ligand_201	11.592349
3ge7_ligand_204	10.426254
3ge7_ligand_205	11.501894
3ge7_ligand_207	21.451746
3ge7_ligand_209	12.716141
3ge7_ligand_210	12.294869
3ge7_ligand_212	11.486501
3ge7_ligand_213	13.90661
3ge7_ligand_217	12.815508
3ge7_ligand_218	12.7460575
3ge7_ligand_219	20.487698
3ge7_ligand_221	11.814566
3ge7_ligand_224	26.139576
3ge7_ligand_225	15.348791
3ge7_ligand_226	15.386005
3ge7_ligand_227	12.77889
3ge7_ligand_228	20.452213
3ge7_ligand_229	17.018282
3ge7_ligand_230	16.983526
3ge7_ligand_231	21.406393
3ge7_ligand_233	18.60932
3ge7_ligand_235	26.747877
3ge7_ligand_236	18.401577
3ge7_ligand_239	14.314517
3ge7_ligand_240	14.868968
3ge7_ligand_241	17.832222
3ge7_ligand_242	21.223663
3ge7_ligand_243	22.914333
3ge7_ligand_245	19.603619
3ge7_ligand_246	28.824543
3ge7_ligand_247	22.568834
3ge7_ligand_248	26.05317
3ge7_ligand_249	29.113434
3ge7_ligand_250	14.248682
3ge7_ligand_254	21.694437
3ge7_ligand_261	15.982603
3ge7_ligand_26	8.635973
3ge7_ligand_275	36.891785
3ge7_ligand_280	26.443754
3ge7_ligand_282	33.607124
3ge7_ligand_291	26.983213
3ge7_ligand_295	21.678942
3ge7_ligand_298	27.34909
3ge7_ligand_303	19.261845
3ge7_ligand_30	9.135683
3ge7_ligand_311	35.952938
3ge7_ligand_320	61.15916
3ge7_ligand_332	32.59052
3ge7_ligand_337	41.930386
3ge7_ligand_341	25.112864
3ge7_ligand_343	27.69804
3ge7_ligand_345	46.622013
3ge7_ligand_348	40.094265
3ge7_ligand_357	18.349432
3ge7_ligand_361	12.810761
3ge7_ligand_377	30.826859
3ge7_ligand_386	22.302502
3ge7_ligand_391	14.9564495
3ge7_ligand_394	24.752977
3ge7_ligand_397	25.494146
3ge7_ligand_400	25.016666
3ge7_ligand_414	13.092652
3ge7_ligand_433	11.697354
3ge7_ligand_445	22.176825
3ge7_ligand_455	8.930424
3ge7_ligand_458	10.746531
3ge7_ligand_479	10.779854
3ge7_ligand_52	8.271534
3ge7_ligand_54	6.8387613
3ge7_ligand_57	7.3223233
3ge7_ligand_72	7.229005
3ge7_ligand_75	9.063751
3ge7_ligand_77	6.877803
3ge7_ligand_80	6.6910677
3ge7_ligand_81	6.863463
3ge7_ligand_87	8.074028
3ge7_ligand_91	6.6225057
3ge7_ligand_94	5.6072636
3ge7_ligand_97	7.9988313
3gnw_ligand_103	7.1470566
3gnw_ligand_105	6.4970627
3gnw_ligand_107	9.09569
3gnw_ligand_108	20.461329
3gnw_ligand_111	11.712761
3gnw_ligand_116	10.555433
3gnw_ligand_117	11.135818
3gnw_ligand_118	21.399717
3gnw_ligand_120	11.154075
3gnw_ligand_121	10.923353
3gnw_ligand_123	9.326972
3gnw_ligand_125	9.759888
3gnw_ligand_129	13.359059
3gnw_ligand_130	9.57811
3gnw_ligand_133	12.766455
3gnw_ligand_136	13.1863
3gnw_ligand_137	15.307993
3gnw_ligand_139	34.69008
3gnw_ligand_13	18.189552
3gnw_ligand_143	12.064542
3gnw_ligand_146	7.327468
3gnw_ligand_159	180.6525
3gnw_ligand_167	206.30222
3gnw_ligand_169	193.38673
3gnw_ligand_16	14.482131
3gnw_ligand_170	177.69676
3gnw_ligand_173	280.23465
3gnw_ligand_176	212.18498
3gnw_ligand_17	10.073259
3gnw_ligand_188	162.20114
3gnw_ligand_189	274.37527
3gnw_ligand_194	247.46739
3gnw_ligand_199	184.37206
3gnw_ligand_1	16.74755
3gnw_ligand_205	22.584875
3gnw_ligand_212	52.793137
3gnw_ligand_215	48.254505
3gnw_ligand_224	69.275505
3gnw_ligand_228	106.769
3gnw_ligand_229	130.87596
3gnw_ligand_230	35.084946
3gnw_ligand_232	76.68158
3gnw_ligand_233	53.325897
3gnw_ligand_237	59.68728
3gnw_ligand_240	110.94203
3gnw_ligand_241	41.830128
3gnw_ligand_242	59.471634
3gnw_ligand_244	39.259468
3gnw_ligand_246	59.156948
3gnw_ligand_250	109.00044
3gnw_ligand_25	11.955541
3gnw_ligand_279	82.88513
3gnw_ligand_284	103.445496
3gnw_ligand_290	107.597855
3gnw_ligand_293	98.75132
3gnw_ligand_30	11.865654
3gnw_ligand_320	95.54751
3gnw_ligand_326	89.33677
3gnw_ligand_330	124.76931
3gnw_ligand_335	77.17906
3gnw_ligand_337	52.989094
3gnw_ligand_33	9.73151
3gnw_ligand_347	77.794556
3gnw_ligand_350	95.36138
3gnw_ligand_35	8.882716
3gnw_ligand_36	18.251562
3gnw_ligand_382	47.6009
3gnw_ligand_388	71.08275
3gnw_ligand_394	90.340675
3gnw_ligand_395	198.85893
3gnw_ligand_396	209.39317
3gnw_ligand_397	146.36545
3gnw_ligand_42	13.4359665
3gnw_ligand_44	6.574573
3gnw_ligand_459	7.00472
3gnw_ligand_46	16.19425
3gnw_ligand_47	9.404024
3gnw_ligand_49	10.735739
3gnw_ligand_4	8.172257
3gnw_ligand_53	16.0753
3gnw_ligand_55	10.46148
3gnw_ligand_59	9.707145
3gnw_ligand_5	11.978306
3gnw_ligand_60	8.585694
3gnw_ligand_64	16.948404
3gnw_ligand_69	15.828566
3gnw_ligand_73	13.348625
3gnw_ligand_75	7.3871045
3gnw_ligand_77	6.851528
3gnw_ligand_78	11.326297
3gnw_ligand_81	12.645718
3gnw_ligand_84	15.9575405
3gnw_ligand_87	12.4861
3gnw_ligand_8	13.853212
3gnw_ligand_93	16.846598
3gnw_ligand_94	10.159939
3gnw_ligand_96	12.393452
3gnw_ligand_97	16.231749
3gnw_ligand_98	9.600936
3gnw_ligand_99	8.956709
3gr2_ligand_12	7.6879997
3gr2_ligand_140	9.293303
3gr2_ligand_154	8.41009
3gr2_ligand_157	12.053678
3gr2_ligand_159	7.555265
3gr2_ligand_15	3.8202899
3gr2_ligand_162	11.054
3gr2_ligand_164	8.814753
3gr2_ligand_167	8.94404
3gr2_ligand_169	7.8082566
3gr2_ligand_16	8.673574
3gr2_ligand_177	7.6295857
3gr2_ligand_183	5.275248
3gr2_ligand_191	8.723274
3gr2_ligand_193	8.421953
3gr2_ligand_197	9.769499
3gr2_ligand_200	12.638505
3gr2_ligand_210	18.500732
3gr2_ligand_212	13.068352
3gr2_ligand_213	11.604985
3gr2_ligand_215	10.964555
3gr2_ligand_217	11.079557
3gr2_ligand_219	8.023588
3gr2_ligand_220	12.725172
3gr2_ligand_221	12.628996
3gr2_ligand_222	13.69839
3gr2_ligand_226	22.71048
3gr2_ligand_227	6.0119863
3gr2_ligand_228	13.292537
3gr2_ligand_232	13.678158
3gr2_ligand_234	11.616561
3gr2_ligand_237	14.325199
3gr2_ligand_238	13.745258
3gr2_ligand_240	13.847716
3gr2_ligand_242	5.983448
3gr2_ligand_243	14.270919
3gr2_ligand_246	10.48821
3gr2_ligand_247	10.808193
3gr2_ligand_257	11.72749
3gr2_ligand_258	18.233377
3gr2_ligand_260	7.1885543
3gr2_ligand_263	24.09486
3gr2_ligand_265	17.655815
3gr2_ligand_267	7.8172264
3gr2_ligand_273	8.867561
3gr2_ligand_276	14.287497
3gr2_ligand_277	16.095911
3gr2_ligand_279	15.99938
3gr2_ligand_280	22.550415
3gr2_ligand_285	20.158348
3gr2_ligand_287	13.420712
3gr2_ligand_288	12.407835
3gr2_ligand_289	17.837515
3gr2_ligand_290	11.816647
3gr2_ligand_297	13.313623
3gr2_ligand_300	22.775507
3gr2_ligand_304	22.593939
3gr2_ligand_305	16.341995
3gr2_ligand_307	19.80562
3gr2_ligand_310	18.283712
3gr2_ligand_320	16.918299
3gr2_ligand_324	11.723973
3gr2_ligand_325	10.076768
3gr2_ligand_326	7.7417803
3gr2_ligand_328	26.608025
3gr2_ligand_329	7.639593
3gr2_ligand_332	13.412709
3gr2_ligand_338	12.899228
3gr2_ligand_345	7.416575
3gr2_ligand_349	9.63078
3gr2_ligand_350	12.80875
3gr2_ligand_360	6.9445996
3gr2_ligand_373	5.292565
3gr2_ligand_375	6.3689775
3gr2_ligand_378	9.770268
3gr2_ligand_380	6.563931
3gr2_ligand_390	7.234221
3gr2_ligand_393	9.135675
3gr2_ligand_396	11.861062
3gr2_ligand_397	8.147015
