#code_ligand_num	score
2p15_ligand_106	12.4470215
2p15_ligand_108	8.899082
2p15_ligand_109	13.7672825
2p15_ligand_112	6.990028
2p15_ligand_114	9.566183
2p15_ligand_11	13.878328
2p15_ligand_123	9.743983
2p15_ligand_128	10.173609
2p15_ligand_142	10.769262
2p15_ligand_150	11.076152
2p15_ligand_159	36.849277
2p15_ligand_15	11.315052
2p15_ligand_180	29.8752
2p15_ligand_183	24.833601
2p15_ligand_185	38.34598
2p15_ligand_18	9.532655
2p15_ligand_196	49.383656
2p15_ligand_197	45.35746
2p15_ligand_198	32.447002
2p15_ligand_205	9.946511
2p15_ligand_206	12.7713
2p15_ligand_207	9.258953
2p15_ligand_209	10.044763
2p15_ligand_212	10.469046
2p15_ligand_213	9.065596
2p15_ligand_214	13.069963
2p15_ligand_216	8.329042
2p15_ligand_217	10.677956
2p15_ligand_218	10.475643
2p15_ligand_219	13.026948
2p15_ligand_220	10.102862
2p15_ligand_223	11.621538
2p15_ligand_224	12.141793
2p15_ligand_225	16.34166
2p15_ligand_226	12.630503
2p15_ligand_227	15.1299095
2p15_ligand_228	12.67765
2p15_ligand_231	17.05612
2p15_ligand_234	14.771566
2p15_ligand_235	16.218906
2p15_ligand_236	13.567283
2p15_ligand_237	11.877867
2p15_ligand_238	17.990774
2p15_ligand_239	19.04426
2p15_ligand_240	9.132813
2p15_ligand_241	15.069452
2p15_ligand_242	15.123142
2p15_ligand_243	11.798351
2p15_ligand_244	16.537119
2p15_ligand_245	29.460154
2p15_ligand_246	20.600155
2p15_ligand_247	29.862635
2p15_ligand_249	15.1972065
2p15_ligand_263	18.648766
2p15_ligand_264	17.646313
2p15_ligand_265	23.568823
2p15_ligand_271	16.424355
2p15_ligand_273	11.035
2p15_ligand_274	35.575832
2p15_ligand_277	21.008488
2p15_ligand_278	21.602362
2p15_ligand_283	22.459677
2p15_ligand_284	32.131916
2p15_ligand_287	20.802338
2p15_ligand_288	32.006355
2p15_ligand_289	17.928507
2p15_ligand_290	17.216158
2p15_ligand_297	24.680367
2p15_ligand_298	49.856434
2p15_ligand_29	9.051458
2p15_ligand_304	22.606216
2p15_ligand_312	71.56789
2p15_ligand_319	32.210526
2p15_ligand_321	20.41384
2p15_ligand_324	35.962803
2p15_ligand_331	29.333155
2p15_ligand_333	40.047928
2p15_ligand_335	35.096794
2p15_ligand_338	26.553747
2p15_ligand_346	30.495958
2p15_ligand_350	24.185162
2p15_ligand_35	14.068088
2p15_ligand_390	12.765944
2p15_ligand_393	12.874895
2p15_ligand_396	8.8452015
2p15_ligand_39	7.545887
2p15_ligand_40	10.065729
2p15_ligand_42	11.402409
2p15_ligand_47	13.332721
2p15_ligand_50	10.191553
2p15_ligand_54	10.110146
2p15_ligand_59	12.025009
2p15_ligand_60	16.038858
2p15_ligand_67	11.321686
2p15_ligand_6	12.259548
2p15_ligand_70	11.538948
2p15_ligand_83	11.049937
2p15_ligand_8	9.705642
2p15_ligand_94	21.411034
2p15_ligand_9	10.270361
2p4y_ligand_103	7.577121
2p4y_ligand_106	10.081726
2p4y_ligand_108	5.753134
2p4y_ligand_111	10.418408
2p4y_ligand_114	7.007237
2p4y_ligand_115	10.228808
2p4y_ligand_119	7.8778234
2p4y_ligand_121	13.138743
2p4y_ligand_123	7.017287
2p4y_ligand_124	8.3700905
2p4y_ligand_126	11.628352
2p4y_ligand_128	8.128441
2p4y_ligand_130	12.247095
2p4y_ligand_133	11.587975
2p4y_ligand_134	10.1705885
2p4y_ligand_135	6.189168
2p4y_ligand_138	8.06105
2p4y_ligand_139	12.783539
2p4y_ligand_13	9.249233
2p4y_ligand_143	4.8493805
2p4y_ligand_150	9.236251
2p4y_ligand_152	62.20295
2p4y_ligand_162	57.201786
2p4y_ligand_166	27.226713
2p4y_ligand_200	68.200455
2p4y_ligand_206	14.603125
2p4y_ligand_208	12.791141
2p4y_ligand_209	15.1836195
2p4y_ligand_213	14.541973
2p4y_ligand_214	8.8146305
2p4y_ligand_215	9.954651
2p4y_ligand_217	9.3219595
2p4y_ligand_219	18.519938
2p4y_ligand_222	11.091405
2p4y_ligand_223	11.082294
2p4y_ligand_224	14.336871
2p4y_ligand_227	9.350706
2p4y_ligand_228	16.431547
2p4y_ligand_230	12.4248
2p4y_ligand_241	14.925547
2p4y_ligand_242	20.602602
2p4y_ligand_243	17.863396
2p4y_ligand_247	14.143267
2p4y_ligand_248	15.24496
2p4y_ligand_249	13.643041
2p4y_ligand_24	7.0732813
2p4y_ligand_250	14.882559
2p4y_ligand_256	24.244335
2p4y_ligand_274	17.752987
2p4y_ligand_284	37.177162
2p4y_ligand_285	18.067663
