#code_ligand_num	score
3p5o_ligand_10	8.671815
3p5o_ligand_117	13.235079
3p5o_ligand_123	7.3772507
3p5o_ligand_129	10.96796
3p5o_ligand_12	6.8226585
3p5o_ligand_139	10.868143
3p5o_ligand_144	11.321638
3p5o_ligand_156	21.849653
3p5o_ligand_160	112.69226
3p5o_ligand_164	66.726494
3p5o_ligand_166	74.29786
3p5o_ligand_171	55.468964
3p5o_ligand_172	30.888498
3p5o_ligand_173	22.24105
3p5o_ligand_174	24.68819
3p5o_ligand_187	44.065487
3p5o_ligand_18	9.049168
3p5o_ligand_192	44.681614
3p5o_ligand_193	44.582558
3p5o_ligand_196	43.174732
3p5o_ligand_197	52.700207
3p5o_ligand_204	14.101991
3p5o_ligand_208	18.922874
3p5o_ligand_210	13.702981
3p5o_ligand_213	24.00566
3p5o_ligand_218	20.261028
3p5o_ligand_219	16.471516
3p5o_ligand_21	13.296329
3p5o_ligand_220	15.825772
3p5o_ligand_225	15.9427
3p5o_ligand_226	15.984228
3p5o_ligand_227	22.18266
3p5o_ligand_229	17.118296
3p5o_ligand_230	16.440224
3p5o_ligand_236	30.776192
3p5o_ligand_239	38.986073
3p5o_ligand_23	9.542089
3p5o_ligand_240	17.495205
3p5o_ligand_242	17.260984
3p5o_ligand_243	20.754026
3p5o_ligand_244	16.283113
3p5o_ligand_245	13.422046
3p5o_ligand_246	13.438429
3p5o_ligand_247	28.136496
3p5o_ligand_248	15.013218
3p5o_ligand_24	10.157728
3p5o_ligand_253	30.672558
3p5o_ligand_255	34.833557
3p5o_ligand_257	25.05565
3p5o_ligand_258	22.145117
3p5o_ligand_25	8.929405
3p5o_ligand_260	13.358976
3p5o_ligand_264	39.339836
3p5o_ligand_273	53.887882
3p5o_ligand_276	53.712326
3p5o_ligand_27	14.281107
3p5o_ligand_281	16.130455
3p5o_ligand_286	23.310986
3p5o_ligand_293	49.495056
3p5o_ligand_2	10.3557205
3p5o_ligand_300	42.604782
3p5o_ligand_307	27.908272
3p5o_ligand_310	30.445402
3p5o_ligand_312	23.965038
3p5o_ligand_324	49.897297
3p5o_ligand_326	28.331762
3p5o_ligand_32	8.044484
3p5o_ligand_332	19.079865
3p5o_ligand_333	21.38258
3p5o_ligand_337	50.171238
3p5o_ligand_342	17.549
3p5o_ligand_348	28.128908
3p5o_ligand_349	40.614456
3p5o_ligand_36	9.749892
3p5o_ligand_371	6.99558
3p5o_ligand_386	12.73781
3p5o_ligand_39	9.236142
3p5o_ligand_3	9.129631
3p5o_ligand_400	14.146808
3p5o_ligand_402	9.143514
3p5o_ligand_40	9.149613
3p5o_ligand_41	6.630291
3p5o_ligand_431	6.009357
3p5o_ligand_44	8.109174
3p5o_ligand_47	7.3858376
3p5o_ligand_4	9.3063545
3p5o_ligand_53	10.966797
3p5o_ligand_55	9.986121
3p5o_ligand_62	9.858404
3p5o_ligand_65	15.838664
3p5o_ligand_6	10.193394
3p5o_ligand_75	14.073135
3p5o_ligand_78	10.069974
3p5o_ligand_79	13.79195
3p5o_ligand_80	9.203503
3p5o_ligand_81	7.643097
3p5o_ligand_82	7.880662
3p5o_ligand_88	10.283212
3p5o_ligand_90	10.748906
3p5o_ligand_99	11.121094
3prs_ligand_109	4.2064605
3prs_ligand_10	7.714235
3prs_ligand_112	6.740707
3prs_ligand_113	7.629352
3prs_ligand_117	9.393395
3prs_ligand_119	4.348719
3prs_ligand_130	5.7189665
3prs_ligand_131	4.878166
3prs_ligand_132	8.566335
3prs_ligand_133	8.981188
3prs_ligand_135	8.166065
