#code_ligand_num	score
1qf1_ligand_250	12.4253435
1qf1_ligand_260	13.203166
1qf1_ligand_266	17.309881
1qf1_ligand_267	15.736116
1qf1_ligand_268	15.127527
1qf1_ligand_270	10.095846
1qf1_ligand_271	6.8949914
1qf1_ligand_277	16.422894
1qf1_ligand_283	34.97657
1qf1_ligand_284	11.778204
1qf1_ligand_287	26.90594
1qf1_ligand_291	19.20604
1qf1_ligand_292	22.593143
1qf1_ligand_293	11.1984
1qf1_ligand_304	27.216417
1qf1_ligand_306	27.012836
1qf1_ligand_309	35.497547
1qf1_ligand_310	21.469028
1qf1_ligand_312	30.402065
1qf1_ligand_314	18.59433
1qf1_ligand_317	42.652996
1qf1_ligand_318	21.024374
1qf1_ligand_319	27.055054
1qf1_ligand_31	9.724844
1qf1_ligand_320	48.802414
1qf1_ligand_321	35.290844
1qf1_ligand_322	13.59612
1qf1_ligand_323	24.810322
1qf1_ligand_325	15.943345
1qf1_ligand_326	15.800005
1qf1_ligand_327	15.613334
1qf1_ligand_329	12.350752
1qf1_ligand_331	26.69052
1qf1_ligand_335	29.819384
1qf1_ligand_339	20.09193
1qf1_ligand_33	7.8461175
1qf1_ligand_345	26.723394
1qf1_ligand_346	17.11189
1qf1_ligand_347	21.966032
1qf1_ligand_371	5.81113
1qf1_ligand_382	6.2697654
1qf1_ligand_39	4.928063
1qf1_ligand_3	9.73471
1qf1_ligand_42	6.6281953
1qf1_ligand_46	6.321627
1qf1_ligand_59	4.0519814
1qf1_ligand_5	6.105887
1qf1_ligand_78	10.652046
1qf1_ligand_7	8.434425
1qf1_ligand_8	6.6874514
1qkt_ligand_112	45.582275
1qkt_ligand_152	16.63094
1qkt_ligand_153	14.43179
1qkt_ligand_155	19.198233
1qkt_ligand_174	13.569246
1qkt_ligand_176	21.323229
1qkt_ligand_180	29.25768
1qkt_ligand_186	21.312223
1qkt_ligand_190	26.241638
1qkt_ligand_192	18.68207
1qkt_ligand_195	16.54371
1qkt_ligand_197	18.110643
1qkt_ligand_198	16.676567
1qkt_ligand_210	18.640343
1qkt_ligand_214	17.050446
1qkt_ligand_215	15.998953
1qkt_ligand_216	14.189151
1qkt_ligand_217	17.719099
1qkt_ligand_219	7.694736
1qkt_ligand_221	19.21267
1qkt_ligand_223	18.112516
1qkt_ligand_224	14.127437
1qkt_ligand_229	21.214499
1qkt_ligand_232	12.035813
1qkt_ligand_236	18.538303
1qkt_ligand_238	16.648104
1qkt_ligand_240	19.145285
1qkt_ligand_242	17.653997
1qkt_ligand_243	17.856901
1qkt_ligand_244	15.764533
1qkt_ligand_247	13.58307
1qkt_ligand_248	23.540667
1qkt_ligand_249	20.985195
1qkt_ligand_256	10.988036
1qkt_ligand_261	16.72317
1qkt_ligand_263	12.666254
1qkt_ligand_268	19.836048
1qkt_ligand_270	18.270693
1qkt_ligand_274	6.933952
1qkt_ligand_277	18.892231
1qkt_ligand_279	7.9317274
1qkt_ligand_283	19.93896
1qkt_ligand_284	23.316402
1qkt_ligand_287	13.133703
1qkt_ligand_290	17.559721
1qkt_ligand_291	21.802925
1qkt_ligand_293	27.364378
1qkt_ligand_295	23.480383
1qkt_ligand_296	34.05559
1qkt_ligand_300	22.97861
1qkt_ligand_306	16.841146
1qkt_ligand_307	11.050834
1qkt_ligand_313	17.36023
1qkt_ligand_314	14.465811
1qkt_ligand_317	20.702316
1qkt_ligand_319	22.822405
1qkt_ligand_321	16.071613
1qkt_ligand_322	18.430122
1qkt_ligand_323	14.232823
1qkt_ligand_324	19.045599
1qkt_ligand_330	21.404062
1qkt_ligand_333	27.679358
1qkt_ligand_336	20.71187
1qkt_ligand_337	19.910646
1qkt_ligand_338	19.598114
1qkt_ligand_340	23.247446
1qkt_ligand_343	29.170473
1qkt_ligand_344	16.163294
1qkt_ligand_349	22.01346
1qkt_ligand_355	8.156779
1qkt_ligand_358	9.403447
1qkt_ligand_359	6.7784348
1qkt_ligand_364	8.725862
1qkt_ligand_365	7.2576213
1qkt_ligand_366	8.642808
1qkt_ligand_367	9.012765
1qkt_ligand_371	7.3824735
1qkt_ligand_372	8.618726
1qkt_ligand_374	13.102268
1qkt_ligand_375	9.584758
1qkt_ligand_378	9.923491
1qkt_ligand_379	7.9313006
1qkt_ligand_380	8.772425
1qkt_ligand_383	5.8579173
1qkt_ligand_385	6.2941513
1qkt_ligand_389	7.71082
1qkt_ligand_390	12.473232
1qkt_ligand_393	7.0687613
1qkt_ligand_394	9.799527
1qkt_ligand_399	13.854097
1qkt_ligand_400	12.048767
1qkt_ligand_410	6.680221
1qkt_ligand_414	9.81642
1qkt_ligand_417	6.5835
1qkt_ligand_419	8.790523
1qkt_ligand_423	10.238182
1qkt_ligand_468	11.642657
1qkt_ligand_493	7.0469785
1qkt_ligand_66	17.518332
1qkt_ligand_74	10.511135
1r5y_ligand_130	-4.0040097
1r5y_ligand_158	1.9483843
1r5y_ligand_164	10.71803
1r5y_ligand_166	5.4318657
1r5y_ligand_178	6.980895
1r5y_ligand_181	4.109487
1r5y_ligand_183	4.083814
1r5y_ligand_185	5.9735594
1r5y_ligand_187	-3.328027
1r5y_ligand_193	18.324652
1r5y_ligand_200	8.196494
1r5y_ligand_201	8.765957
1r5y_ligand_202	14.620995
1r5y_ligand_203	2.9381256
1r5y_ligand_206	5.3777094
1r5y_ligand_218	-3.9468799
1r5y_ligand_219	7.0917497
1r5y_ligand_227	3.2510674
1r5y_ligand_238	-0.31369495
1r5y_ligand_239	8.873874
1r5y_ligand_247	3.2790139
1r5y_ligand_250	4.745516
1r5y_ligand_251	4.6818748
1r5y_ligand_252	11.499293
1r5y_ligand_258	6.280016
1r5y_ligand_261	-6.016766
1r5y_ligand_270	7.1021285
1r5y_ligand_271	9.318593
1r5y_ligand_278	-1.9129624
1r5y_ligand_279	4.9675937
1r5y_ligand_284	5.998591
1r5y_ligand_285	2.2978475
1r5y_ligand_287	7.300413
1r5y_ligand_290	5.4512405
1r5y_ligand_292	13.085576
1r5y_ligand_299	8.19816
1r5y_ligand_304	14.725797
1r5y_ligand_305	7.6655855
1r5y_ligand_307	6.9429655
1r5y_ligand_308	9.31427
1r5y_ligand_312	7.05587
1r5y_ligand_314	11.3422785
1r5y_ligand_317	16.39132
1r5y_ligand_322	26.345242
1r5y_ligand_327	23.952812
1r5y_ligand_328	12.417255
1r5y_ligand_332	9.40065
1r5y_ligand_333	12.230297
1r5y_ligand_338	16.200426
1r5y_ligand_343	19.390303
1r5y_ligand_344	8.37159
1r5y_ligand_359	9.366849
1r5y_ligand_360	10.663572
1r5y_ligand_362	8.837015
1r5y_ligand_363	9.13786
1r5y_ligand_364	7.2531285
1r5y_ligand_366	9.562993
1r5y_ligand_368	7.541114
1r5y_ligand_369	8.539894
1r5y_ligand_370	11.049407
1r5y_ligand_371	9.826548
1r5y_ligand_372	9.619426
1r5y_ligand_373	8.464406
1r5y_ligand_374	9.220843
1r5y_ligand_375	8.173438
1r5y_ligand_376	8.0171385
1r5y_ligand_378	9.892362
1r5y_ligand_379	10.782717
1r5y_ligand_380	6.3544827
1r5y_ligand_381	10.856562
1r5y_ligand_382	11.668082
1r5y_ligand_383	8.488712
1r5y_ligand_384	10.677134
1r5y_ligand_385	9.684199
1r5y_ligand_386	9.250028
1r5y_ligand_387	7.1171913
1r5y_ligand_388	9.981313
1r5y_ligand_389	9.456193
1r5y_ligand_391	8.131095
1r5y_ligand_392	10.520103
1r5y_ligand_393	11.922018
1r5y_ligand_394	11.058752
1r5y_ligand_395	9.067112
1r5y_ligand_396	8.805192
1r5y_ligand_400	9.18853
1r5y_ligand_416	9.528861
1r5y_ligand_422	8.874581
1r5y_ligand_426	9.022188
1r5y_ligand_433	9.159931
1r5y_ligand_436	9.544321
1r5y_ligand_439	10.036142
1r5y_ligand_443	6.412414
1r5y_ligand_444	8.517479
1r5y_ligand_446	9.0491905
1r5y_ligand_447	11.090772
1r5y_ligand_448	7.109404
1r5y_ligand_449	9.015602
1r5y_ligand_450	9.223345
1r5y_ligand_480	1.1189137
1r5y_ligand_497	10.122203
1s38_ligand_118	8.463045
1s38_ligand_152	6.745754
1s38_ligand_154	8.235916
1s38_ligand_157	5.7792583
1s38_ligand_161	3.719903
1s38_ligand_170	8.309381
1s38_ligand_172	5.3024383
1s38_ligand_180	12.127896
1s38_ligand_190	8.789561
1s38_ligand_198	13.490757
1s38_ligand_202	7.7037024
1s38_ligand_203	1.8800819
1s38_ligand_219	8.249254
1s38_ligand_221	4.555297
1s38_ligand_230	9.842306
1s38_ligand_231	6.432
1s38_ligand_233	9.921401
1s38_ligand_239	9.121799
1s38_ligand_243	5.2615724
1s38_ligand_244	8.380807
1s38_ligand_247	6.590024
1s38_ligand_248	9.900862
1s38_ligand_254	9.154104
1s38_ligand_257	16.73992
1s38_ligand_271	14.43661
1s38_ligand_273	7.62167
1s38_ligand_275	7.130692
1s38_ligand_276	5.7330165
1s38_ligand_277	10.304412
1s38_ligand_278	6.7150784
1s38_ligand_283	9.848511
1s38_ligand_286	8.942747
1s38_ligand_288	4.7630334
1s38_ligand_293	13.500186
1s38_ligand_294	-2.3362858
1s38_ligand_295	6.511291
1s38_ligand_297	4.7759247
1s38_ligand_302	11.029517
1s38_ligand_306	14.194042
1s38_ligand_307	21.0992
1s38_ligand_317	12.203978
1s38_ligand_320	11.42612
1s38_ligand_321	11.849371
1s38_ligand_323	4.4203196
1s38_ligand_329	12.900314
1s38_ligand_330	13.023907
1s38_ligand_332	13.695074
1s38_ligand_337	5.4502
1s38_ligand_340	13.764867
1s38_ligand_341	14.122089
1s38_ligand_346	8.529907
1s38_ligand_352	10.061218
1s38_ligand_355	10.20728
1s38_ligand_356	8.680891
