#code_ligand_num	score
1qf1_ligand_244	15.200973
1qf1_ligand_245	10.055011
1qf1_ligand_246	12.2133
1qf1_ligand_249	14.506108
1qf1_ligand_250	15.080424
1qf1_ligand_265	21.074697
1qf1_ligand_268	14.395927
1qf1_ligand_274	21.165903
1qf1_ligand_276	14.495723
1qf1_ligand_277	20.20585
1qf1_ligand_279	13.968447
1qf1_ligand_281	13.063606
1qf1_ligand_283	13.3194895
1qf1_ligand_285	16.312565
1qf1_ligand_289	18.405018
1qf1_ligand_293	15.115165
1qf1_ligand_296	26.383211
1qf1_ligand_2	8.217856
1qf1_ligand_301	17.783775
1qf1_ligand_302	11.422018
1qf1_ligand_303	21.712858
1qf1_ligand_304	24.538889
1qf1_ligand_306	17.123543
1qf1_ligand_310	19.87211
1qf1_ligand_312	29.281462
1qf1_ligand_314	25.169514
1qf1_ligand_318	19.08494
1qf1_ligand_321	14.464871
1qf1_ligand_324	19.597229
1qf1_ligand_325	17.562502
1qf1_ligand_327	17.537392
1qf1_ligand_330	13.349003
1qf1_ligand_332	24.628326
1qf1_ligand_334	14.757297
1qf1_ligand_341	41.785572
1qf1_ligand_342	13.381727
1qf1_ligand_348	15.776124
1qf1_ligand_366	10.166026
1qf1_ligand_369	8.909783
1qf1_ligand_370	10.347064
1qf1_ligand_376	8.228135
1qf1_ligand_383	13.105665
1qf1_ligand_388	9.709641
1qf1_ligand_395	6.3003054
1qf1_ligand_400	9.469171
1qf1_ligand_406	15.051296
1qf1_ligand_445	6.414844
1qf1_ligand_475	11.128672
1qf1_ligand_47	7.899368
1qf1_ligand_51	9.872244
1qkt_ligand_155	9.76853
1qkt_ligand_156	14.38421
1qkt_ligand_161	13.128992
1qkt_ligand_164	13.176281
1qkt_ligand_166	10.173109
1qkt_ligand_169	12.329239
1qkt_ligand_170	13.180296
1qkt_ligand_171	7.855989
1qkt_ligand_175	10.26339
1qkt_ligand_179	10.291275
1qkt_ligand_180	19.996374
1qkt_ligand_181	20.133446
1qkt_ligand_182	11.029448
1qkt_ligand_184	11.360463
1qkt_ligand_185	11.270705
1qkt_ligand_186	13.922888
1qkt_ligand_187	14.671572
1qkt_ligand_188	11.882594
1qkt_ligand_190	8.015682
1qkt_ligand_191	8.547045
1qkt_ligand_192	8.306542
1qkt_ligand_195	11.080447
1qkt_ligand_197	7.144511
1qkt_ligand_198	9.465923
1qkt_ligand_209	9.9681835
1qkt_ligand_210	7.8562536
1qkt_ligand_212	5.8482966
1qkt_ligand_216	6.1659155
1qkt_ligand_219	10.257517
1qkt_ligand_222	14.583278
1qkt_ligand_223	8.038174
1qkt_ligand_224	7.6986985
1qkt_ligand_226	10.14792
1qkt_ligand_227	12.410337
1qkt_ligand_230	9.256057
1qkt_ligand_232	7.50619
1qkt_ligand_239	6.6379943
1qkt_ligand_240	9.828056
1qkt_ligand_241	13.335171
1qkt_ligand_243	11.109042
1qkt_ligand_244	10.756292
1qkt_ligand_248	6.978543
1qkt_ligand_250	6.477163
