#code	score
1bzc_101	-4.204326
1bzc_111	-4.1582
1bzc_142	-4.345545
1bzc_190	-4.256678
1bzc_217	-4.40672
1bzc_223	-4.5295815
1bzc_225	-4.4088483
1bzc_260	-4.338391
1bzc_265	-4.372339
1bzc_300	-4.2262697
1bzc_323	-4.2830496
1bzc_375	-4.29709
1bzc_409	-6.598593
1bzc_412	-5.02033
1bzc_414	-6.5438294
1bzc_427	-4.083287
1bzc_439	-3.6007595
1bzc_43	-4.2778707
1bzc_440	-4.1756396
1bzc_443	-6.793361
1bzc_449	-5.972393
1bzc_461	-4.483882
1bzc_463	-7.279981
1bzc_464	-4.2517877
1bzc_466	-4.2758765
1bzc_469	-4.6624317
1bzc_473	-4.4580235
1bzc_481	-3.9620697
1bzc_487	-3.855974
1bzc_502	-4.314577
1bzc_504	-4.053759
1bzc_522	-4.0713844
1bzc_524	-4.0514946
1bzc_526	-4.0179806
1bzc_527	-4.1860123
1bzc_530	-4.480521
1bzc_539	-4.5757356
1bzc_546	-5.151487
1bzc_549	-4.568674
1bzc_556	-4.7299
1bzc_558	-4.8986645
1bzc_566	-6.0958376
1bzc_577	-4.3926835
1bzc_579	-5.6075225
1bzc_588	-4.4982753
1bzc_592	-4.420171
1bzc_593	-4.7108655
1bzc_597	-4.348632
1bzc_608	-4.799927
1bzc_611	-4.5043826
1bzc_614	-5.143349
1bzc_615	-4.552073
1bzc_620	-5.9209495
1bzc_622	-6.0535865
1bzc_625	-4.35933
1bzc_629	-4.8535233
1bzc_633	-5.3785086
1bzc_644	-5.937526
1bzc_651	-5.314742
1bzc_652	-6.3189874
1bzc_659	-5.278826
1bzc_660	-5.2299876
1bzc_664	-5.907674
1bzc_666	-6.7708864
1bzc_669	-5.572145
1bzc_670	-6.2086606
1bzc_671	-6.6533356
1bzc_674	-5.6252728
1bzc_677	-4.757956
1bzc_681	-4.6952844
1bzc_682	-5.4350104
1bzc_686	-6.2179317
1bzc_688	-5.742237
1bzc_690	-6.630938
1bzc_694	-5.005879
1bzc_700	-5.7038803
1bzc_709	-4.3043356
1bzc_778	-6.2840652
1bzc_963	-4.3525214
1bzc_ligand	-4.349368
