#code	score
1c5z_247	-5.227489
1c5z_258	-5.263878
1c5z_3	-4.922882
1c5z_402	-4.8450437
1c5z_415	-4.96248
1c5z_425	-5.3725615
1c5z_427	-5.114739
1c5z_431	-4.9509497
1c5z_438	-5.2682624
1c5z_449	-5.0676103
1c5z_452	-5.080006
1c5z_460	-5.2954917
1c5z_465	-4.9980106
1c5z_482	-4.952798
1c5z_509	-3.6359494
1c5z_516	-3.6713395
1c5z_519	-4.6807795
1c5z_520	-3.9592972
1c5z_530	-4.8176346
1c5z_536	-3.7516935
1c5z_537	-4.24784
1c5z_542	-3.7715142
1c5z_544	-3.7541096
1c5z_546	-4.0975904
1c5z_556	-3.9809709
1c5z_558	-4.6627245
1c5z_563	-4.1464477
1c5z_564	-4.7252574
1c5z_577	-4.625494
1c5z_583	-3.5439987
1c5z_586	-4.9648695
1c5z_590	-4.3116994
1c5z_593	-4.12337
1c5z_596	-3.72149
1c5z_607	-5.2169237
1c5z_613	-5.4261312
1c5z_627	-4.549479
1c5z_642	-4.5042963
1c5z_661	-4.6324363
1c5z_665	-4.7653995
1c5z_698	-4.7583823
1c5z_700	-4.664485
1c5z_711	-3.726774
1c5z_715	-4.023691
1c5z_722	-4.242292
1c5z_733	-3.9797826
1c5z_734	-4.0271893
1c5z_738	-3.771126
1c5z_739	-3.9726472
1c5z_741	-3.8022482
1c5z_743	-4.0401278
1c5z_753	-3.6361768
1c5z_754	-3.768825
1c5z_759	-3.8695192
1c5z_761	-3.457738
1c5z_763	-3.8997393
1c5z_765	-3.920755
1c5z_766	-3.8737273
1c5z_776	-4.210654
1c5z_781	-4.317931
1c5z_790	-4.039729
1c5z_804	-4.0309477
1c5z_805	-4.444843
1c5z_811	-4.0735784
1c5z_826	-3.9681785
1c5z_828	-3.9489975
1c5z_829	-3.9504004
1c5z_836	-3.9495432
1c5z_839	-4.0708942
1c5z_840	-4.0150633
1c5z_844	-3.6791618
1c5z_862	-3.9324973
1c5z_892	-3.8286366
1c5z_898	-3.893043
1c5z_8	-5.0234513
1c5z_931	-3.673399
1c5z_937	-3.9198868
1c5z_953	-3.8953488
1c5z_955	-3.6774108
1c5z_959	-4.1117635
1c5z_ligand	-5.1144867
