#code	score
1gpk_159	-7.5997586
1gpk_182	-8.172995
1gpk_194	-7.9061317
1gpk_231	-7.8606195
1gpk_239	-7.9439707
1gpk_267	-8.371102
1gpk_280	-8.215692
1gpk_328	-7.896571
1gpk_364	-7.873252
1gpk_404	-9.496003
1gpk_407	-7.9351373
1gpk_409	-7.92785
1gpk_415	-7.664802
1gpk_419	-7.771768
1gpk_420	-7.5504193
1gpk_427	-7.6419196
1gpk_428	-7.6698565
1gpk_429	-7.542877
1gpk_437	-8.309484
1gpk_450	-7.344778
1gpk_460	-7.726186
1gpk_463	-8.306333
1gpk_465	-7.9621954
1gpk_46	-7.8673053
1gpk_473	-7.9112773
1gpk_477	-7.8666267
1gpk_494	-8.802919
1gpk_496	-7.2471266
1gpk_548	-7.628175
1gpk_560	-7.497043
1gpk_569	-7.90251
1gpk_571	-7.523264
1gpk_577	-7.287905
1gpk_578	-7.3454084
1gpk_583	-8.219263
1gpk_588	-7.8107376
1gpk_590	-7.354078
1gpk_600	-7.4847283
1gpk_609	-7.6868033
1gpk_612	-7.7045712
1gpk_625	-7.722949
1gpk_641	-7.762426
1gpk_660	-8.071043
1gpk_666	-8.4704485
1gpk_668	-7.6535954
1gpk_67	-8.525554
1gpk_683	-8.25626
1gpk_689	-8.284687
1gpk_697	-8.046337
1gpk_700	-8.07855
1gpk_735	-7.9825435
1gpk_764	-7.4360743
1gpk_779	-5.985559
1gpk_782	-7.1697106
1gpk_783	-7.0276504
1gpk_785	-8.50419
1gpk_788	-7.370362
1gpk_793	-8.211275
1gpk_794	-7.3693657
1gpk_850	-8.274016
1gpk_874	-7.5303135
1gpk_95	-8.297718
1gpk_984	-7.7632585
1gpk_988	-8.59929
1gpk_ligand	-7.910711
