#code	score
1oyt_24	-8.776381
1oyt_401	-9.056425
1oyt_405	-9.126458
1oyt_412	-8.890261
1oyt_414	-9.083703
1oyt_423	-8.890374
1oyt_425	-8.604835
1oyt_437	-7.414959
1oyt_448	-9.560076
1oyt_449	-8.583635
1oyt_451	-9.140494
1oyt_454	-8.556921
1oyt_455	-8.950859
1oyt_463	-8.959994
1oyt_468	-8.913726
1oyt_475	-9.368791
1oyt_477	-8.287957
1oyt_481	-9.940648
1oyt_484	-9.0073
1oyt_493	-9.760574
1oyt_505	-9.66309
1oyt_506	-9.605374
1oyt_507	-9.661375
1oyt_513	-9.195645
1oyt_521	-8.692799
1oyt_524	-8.740707
1oyt_527	-9.208036
1oyt_529	-10.331268
1oyt_530	-9.33046
1oyt_542	-8.026539
1oyt_551	-7.564902
1oyt_553	-8.854936
1oyt_558	-8.85566
1oyt_559	-6.832795
1oyt_561	-9.351883
1oyt_564	-7.2449107
1oyt_569	-8.768603
1oyt_572	-8.402568
1oyt_575	-9.964596
1oyt_582	-8.418358
1oyt_586	-8.858623
1oyt_599	-7.9641128
1oyt_59	-10.613414
1oyt_603	-9.1860695
1oyt_612	-8.115512
1oyt_621	-9.516555
1oyt_623	-9.257236
1oyt_627	-9.839351
1oyt_637	-7.8421235
1oyt_639	-9.359143
1oyt_644	-8.7019
1oyt_647	-8.4244795
1oyt_64	-10.426118
1oyt_651	-8.544228
1oyt_658	-8.315325
1oyt_663	-9.042741
1oyt_674	-8.744806
1oyt_675	-8.785823
1oyt_679	-9.53049
1oyt_680	-9.692507
1oyt_684	-8.914214
1oyt_690	-9.220291
1oyt_691	-8.839925
1oyt_692	-8.857807
1oyt_696	-7.8778477
1oyt_711	-9.804197
1oyt_749	-7.164759
1oyt_789	-8.637036
1oyt_800	-9.19375
1oyt_801	-9.055098
1oyt_806	-9.393231
1oyt_838	-8.392103
1oyt_842	-8.855337
1oyt_843	-8.852173
1oyt_853	-7.933987
1oyt_915	-9.593352
1oyt_91	-10.387222
1oyt_947	-9.921883
1oyt_ligand	-9.838115
