#code	score
1pxn_167	-8.866475
1pxn_197	-8.760143
1pxn_211	-8.874495
1pxn_225	-9.164368
1pxn_228	-8.725942
1pxn_236	-8.596995
1pxn_240	-8.833249
1pxn_246	-8.767027
1pxn_256	-8.87571
1pxn_257	-8.545713
1pxn_266	-8.71755
1pxn_269	-7.390161
1pxn_270	-8.832274
1pxn_272	-8.74845
1pxn_285	-8.810993
1pxn_288	-8.721239
1pxn_308	-16.769083
1pxn_402	-7.846634
1pxn_409	-8.291134
1pxn_414	-8.477953
1pxn_416	-8.004799
1pxn_422	-8.082834
1pxn_428	-7.943119
1pxn_437	-8.06313
1pxn_441	-7.818498
1pxn_445	-8.283439
1pxn_458	-7.6934853
1pxn_467	-8.798838
1pxn_468	-7.6340165
1pxn_471	-7.680542
1pxn_472	-7.1719675
1pxn_477	-6.8313518
1pxn_483	-7.7396235
1pxn_488	-6.9503636
1pxn_489	-8.07853
1pxn_490	-7.930633
1pxn_500	-8.802945
1pxn_504	-6.8697433
1pxn_507	-7.6316338
1pxn_509	-6.356
1pxn_513	-7.4887505
1pxn_514	-7.9429097
1pxn_518	-7.5170846
1pxn_523	-7.1701174
1pxn_532	-7.4450197
1pxn_534	-7.618643
1pxn_536	-5.8525486
1pxn_539	-7.1941433
1pxn_545	-7.176144
1pxn_546	-7.924166
1pxn_550	-8.2050085
1pxn_557	-6.694732
1pxn_558	-7.0535884
1pxn_560	-7.72133
1pxn_565	-6.6117907
1pxn_566	-7.786164
1pxn_572	-7.522974
1pxn_578	-7.1552815
1pxn_589	-7.0974946
1pxn_593	-6.2380795
1pxn_594	-6.2091994
1pxn_599	-5.84714
1pxn_600	-7.576693
1pxn_608	-7.0066123
1pxn_609	-6.9264255
1pxn_626	-7.95618
1pxn_632	-7.486339
1pxn_638	-7.5189967
1pxn_645	-6.685605
1pxn_646	-7.248867
1pxn_647	-7.303201
1pxn_649	-6.929778
1pxn_652	-7.8090158
1pxn_653	-7.325746
1pxn_662	-7.1816735
1pxn_665	-7.0369296
1pxn_666	-7.1246343
1pxn_668	-7.2655377
1pxn_671	-8.02045
1pxn_672	-7.5983543
1pxn_678	-7.428047
1pxn_682	-6.665135
1pxn_687	-6.8113937
1pxn_690	-6.827095
1pxn_696	-6.9589195
1pxn_813	-8.730527
1pxn_82	-7.782247
1pxn_830	-8.489586
1pxn_86	-8.814017
1pxn_945	-8.701011
1pxn_96	-8.862437
1pxn_ligand	-8.796981
