#code	score
2cet_108	-9.64656
2cet_123	-10.2589655
2cet_125	-10.270555
2cet_188	-9.848701
2cet_313	-10.120273
2cet_326	-10.002228
2cet_359	-10.055409
2cet_378	-8.317368
2cet_406	-10.603955
2cet_418	-9.265242
2cet_419	-9.786057
2cet_421	-8.6318245
2cet_430	-8.101993
2cet_435	-9.411021
2cet_436	-9.63759
2cet_452	-8.810681
2cet_457	-9.236168
2cet_458	-10.323566
2cet_466	-8.586232
2cet_469	-8.811113
2cet_474	-9.094158
2cet_478	-8.49987
2cet_481	-9.704526
2cet_518	-8.517706
2cet_522	-8.312049
2cet_524	-9.983013
2cet_528	-7.7484093
2cet_529	-8.740636
2cet_533	-8.960393
2cet_540	-7.7151904
2cet_548	-7.671937
2cet_550	-7.687486
2cet_552	-7.8886824
2cet_554	-7.612191
2cet_556	-8.844018
2cet_560	-9.325137
2cet_561	-8.375325
2cet_564	-9.591028
2cet_566	-8.033865
2cet_567	-7.7749853
2cet_568	-7.7448816
2cet_569	-9.262733
2cet_570	-8.47814
2cet_578	-8.0111
2cet_580	-9.133593
2cet_581	-10.001398
2cet_585	-7.644027
2cet_588	-8.312983
2cet_589	-8.355524
2cet_591	-7.732301
2cet_592	-10.171603
2cet_593	-8.315784
2cet_594	-8.98539
2cet_595	-8.038503
2cet_599	-9.30991
2cet_643	-9.282074
2cet_656	-8.880566
2cet_662	-8.635423
2cet_665	-9.790307
2cet_668	-8.93764
2cet_669	-8.377462
2cet_672	-8.368372
2cet_673	-9.515192
2cet_676	-7.942375
2cet_679	-9.350623
2cet_682	-9.094091
2cet_689	-8.666376
2cet_699	-8.917683
2cet_722	-9.847038
2cet_725	-9.924488
2cet_734	-10.122332
2cet_741	-10.008664
2cet_742	-9.879229
2cet_745	-10.11464
2cet_756	-9.973746
2cet_761	-10.275822
2cet_765	-10.146357
2cet_768	-9.043528
2cet_776	-9.689558
2cet_777	-8.921547
2cet_855	-9.953275
2cet_857	-9.792202
2cet_875	-10.426029
2cet_ligand	-10.247466
