#code	score
2fxs_120	-6.3241987
2fxs_142	-7.185275
2fxs_153	-7.203696
2fxs_163	-6.707377
2fxs_241	-8.522573
2fxs_251	-8.358363
2fxs_266	-7.8452334
2fxs_336	-7.8277035
2fxs_345	-7.836271
2fxs_397	-7.084911
2fxs_41	-7.6237526
2fxs_453	-8.851883
2fxs_491	-7.300062
2fxs_49	-7.911041
2fxs_507	-7.3015156
2fxs_521	-7.3698425
2fxs_552	-6.172614
2fxs_559	-7.342481
2fxs_564	-6.85672
2fxs_576	-6.194167
2fxs_584	-7.646403
2fxs_597	-8.044117
2fxs_608	-7.819634
2fxs_632	-7.431962
2fxs_636	-7.3201814
2fxs_643	-5.668051
2fxs_678	-7.845355
2fxs_67	-7.8566456
2fxs_693	-6.026449
2fxs_697	-6.724565
2fxs_701	-7.445709
2fxs_704	-7.761579
2fxs_706	-7.3771405
2fxs_730	-8.903761
2fxs_745	-7.616181
2fxs_747	-8.611608
2fxs_750	-7.28543
2fxs_751	-7.4985433
2fxs_753	-7.5407124
2fxs_754	-8.194033
2fxs_760	-7.7420964
2fxs_763	-7.7068715
2fxs_764	-7.5250545
2fxs_769	-8.141704
2fxs_770	-7.2064257
2fxs_774	-6.7731185
2fxs_775	-7.8831306
2fxs_777	-8.057302
2fxs_779	-7.961879
2fxs_789	-8.618381
2fxs_815	-7.9139686
2fxs_827	-7.8504868
2fxs_861	-7.640243
2fxs_864	-7.46185
2fxs_869	-7.8973575
2fxs_876	-7.29971
2fxs_879	-7.419063
2fxs_889	-7.4604545
2fxs_896	-9.023136
2fxs_905	-8.071276
2fxs_910	-7.9463463
2fxs_921	-7.755528
2fxs_927	-7.983454
2fxs_939	-7.25458
2fxs_941	-7.9873037
2fxs_953	-7.8759375
2fxs_ligand	-7.754685
