#code	score
2r9w_124	-7.210445
2r9w_145	-6.069939
2r9w_202	-8.985284
2r9w_206	-8.850719
2r9w_246	-9.073551
2r9w_247	-8.924078
2r9w_307	-6.5939746
2r9w_393	-7.087651
2r9w_411	-8.682266
2r9w_449	-8.082115
2r9w_460	-6.7967873
2r9w_462	-8.312587
2r9w_478	-8.058229
2r9w_49	-7.9686217
2r9w_505	-7.0306964
2r9w_513	-7.839586
2r9w_517	-6.8747845
2r9w_521	-7.3216753
2r9w_522	-6.567195
2r9w_531	-7.2706013
2r9w_533	-7.8254995
2r9w_538	-7.572532
2r9w_541	-7.065258
2r9w_549	-6.592752
2r9w_558	-6.657961
2r9w_559	-7.4334555
2r9w_566	-6.7983584
2r9w_579	-7.819898
2r9w_580	-7.670759
2r9w_586	-6.8146296
2r9w_592	-6.045302
2r9w_593	-6.837969
2r9w_618	-8.062519
2r9w_640	-7.740211
2r9w_651	-7.0377374
2r9w_670	-8.578623
2r9w_671	-7.8579183
2r9w_679	-8.290679
2r9w_691	-7.7374763
2r9w_708	-7.819366
2r9w_710	-7.7760158
2r9w_713	-7.816977
2r9w_717	-8.024269
2r9w_718	-7.39719
2r9w_725	-7.857177
2r9w_734	-7.5679135
2r9w_740	-6.3840013
2r9w_741	-7.858905
2r9w_744	-7.435383
2r9w_749	-8.496736
2r9w_750	-7.447738
2r9w_759	-6.2842755
2r9w_766	-6.41711
2r9w_769	-8.008016
2r9w_772	-7.6841216
2r9w_774	-7.8970265
2r9w_778	-6.721288
2r9w_779	-6.985816
2r9w_787	-7.3030553
2r9w_791	-7.4860396
2r9w_794	-5.648137
2r9w_795	-7.663414
2r9w_817	-7.7293496
2r9w_828	-7.8654385
2r9w_831	-8.229207
2r9w_834	-6.1876717
2r9w_839	-6.1687565
2r9w_860	-7.372746
2r9w_868	-7.4861307
2r9w_869	-6.5222106
2r9w_872	-6.092588
2r9w_873	-6.657165
2r9w_881	-8.731212
2r9w_886	-8.556059
2r9w_910	-7.7945733
2r9w_911	-7.875109
2r9w_927	-7.878127
2r9w_928	-7.704996
2r9w_949	-7.6485033
2r9w_950	-7.7141495
2r9w_ligand	-7.897976
