#code	score
2vkm_105	-9.85976
2vkm_106	-8.324877
2vkm_152	-9.808814
2vkm_159	-11.24205
2vkm_160	-10.551362
2vkm_192	-7.629342
2vkm_203	-10.030152
2vkm_208	-10.887498
2vkm_215	-11.092857
2vkm_216	-10.590395
2vkm_217	-11.114145
2vkm_226	-10.900078
2vkm_233	-10.826153
2vkm_237	-10.911187
2vkm_241	-11.010199
2vkm_242	-10.352788
2vkm_249	-10.717832
2vkm_257	-11.579893
2vkm_260	-11.298275
2vkm_262	-10.972372
2vkm_263	-11.23436
2vkm_267	-10.683384
2vkm_270	-10.9762335
2vkm_273	-10.718178
2vkm_289	-11.270176
2vkm_291	-11.177315
2vkm_292	-10.806763
2vkm_296	-10.79527
2vkm_308	-8.056717
2vkm_314	-7.3782406
2vkm_324	-11.012011
2vkm_330	-9.017901
2vkm_338	-9.455698
2vkm_341	-10.282871
2vkm_349	-9.937271
2vkm_363	-10.070645
2vkm_370	-7.1910033
2vkm_374	-10.398512
2vkm_381	-8.70234
2vkm_404	-10.352112
2vkm_416	-10.108964
2vkm_424	-10.716195
2vkm_426	-9.485888
2vkm_431	-9.862506
2vkm_433	-10.149519
2vkm_439	-10.534284
2vkm_440	-10.14111
2vkm_441	-10.174656
2vkm_443	-11.046096
2vkm_445	-10.915041
2vkm_453	-9.774853
2vkm_461	-8.876391
2vkm_466	-9.157323
2vkm_471	-10.897361
2vkm_473	-10.302005
2vkm_482	-13.3065815
2vkm_485	-9.970994
2vkm_486	-10.8378105
2vkm_487	-9.55614
2vkm_494	-9.70418
2vkm_496	-10.917888
2vkm_514	-11.021397
2vkm_517	-8.421357
2vkm_520	-9.973585
2vkm_523	-9.263023
2vkm_530	-9.600629
2vkm_538	-9.5788145
2vkm_544	-9.481081
2vkm_554	-9.917106
2vkm_558	-9.863104
2vkm_570	-9.29122
2vkm_573	-9.661801
2vkm_584	-9.892958
2vkm_585	-8.538678
2vkm_589	-9.552898
2vkm_591	-10.375959
2vkm_593	-7.664186
2vkm_594	-9.279325
2vkm_669	-9.036601
2vkm_671	-10.144012
2vkm_672	-9.246724
2vkm_678	-8.412313
2vkm_687	-9.277711
2vkm_691	-8.552528
2vkm_706	-11.0076685
2vkm_707	-11.138408
2vkm_710	-11.165608
2vkm_73	-8.952584
2vkm_790	-10.885584
2vkm_806	-11.176765
2vkm_887	-11.227415
2vkm_890	-11.025785
2vkm_920	-11.1539135
2vkm_929	-11.772284
2vkm_955	-10.941177
2vkm_963	-11.034907
2vkm_986	-10.969114
2vkm_ligand	-11.122265
