#code	score
2y5h_109	-6.077976
2y5h_111	-6.9155617
2y5h_112	-6.1368732
2y5h_116	-6.785229
2y5h_119	-7.5742707
2y5h_125	-6.3744397
2y5h_134	-6.841511
2y5h_137	-6.468578
2y5h_144	-6.818916
2y5h_156	-6.0839057
2y5h_158	-6.4360223
2y5h_162	-5.8403535
2y5h_165	-6.6110487
2y5h_178	-6.373803
2y5h_195	-6.089086
2y5h_196	-7.1300483
2y5h_198	-7.240623
2y5h_284	-9.099662
2y5h_329	-6.8885555
2y5h_342	-6.6903286
2y5h_345	-6.419749
2y5h_355	-6.316034
2y5h_364	-8.4947605
2y5h_387	-7.561304
2y5h_388	-6.4920125
2y5h_389	-7.9008403
2y5h_391	-8.315785
2y5h_394	-6.7820444
2y5h_405	-8.01338
2y5h_406	-8.860364
2y5h_410	-9.666641
2y5h_413	-8.109769
2y5h_414	-8.446758
2y5h_416	-8.715595
2y5h_41	-9.075119
2y5h_420	-6.8456473
2y5h_422	-7.5422544
2y5h_432	-7.8785515
2y5h_436	-6.4044847
2y5h_441	-6.811817
2y5h_446	-7.739717
2y5h_449	-8.2323265
2y5h_450	-8.059649
2y5h_463	-7.0042267
2y5h_468	-7.4128127
2y5h_481	-7.208915
2y5h_483	-7.606838
2y5h_487	-8.600913
2y5h_494	-7.944062
2y5h_498	-8.011296
2y5h_50	-8.721724
2y5h_518	-6.2080717
2y5h_520	-6.4647236
2y5h_521	-5.4738216
2y5h_540	-5.274135
2y5h_549	-5.910933
2y5h_554	-7.7495775
2y5h_56	-9.09598
2y5h_580	-5.913609
2y5h_599	-6.3971715
2y5h_612	-6.607765
2y5h_614	-7.0671387
2y5h_616	-8.468597
2y5h_620	-7.126954
2y5h_624	-7.612855
2y5h_630	-5.539776
2y5h_638	-7.3616133
2y5h_641	-5.9893847
2y5h_644	-6.8707824
2y5h_646	-6.568353
2y5h_658	-6.6565385
2y5h_679	-5.415317
2y5h_694	-5.2308435
2y5h_696	-8.598669
2y5h_703	-8.494983
2y5h_705	-6.810014
2y5h_710	-8.2612095
2y5h_751	-5.2869363
2y5h_757	-6.913458
2y5h_762	-7.31212
2y5h_765	-6.3613667
2y5h_768	-6.1042542
2y5h_777	-5.9793963
2y5h_795	-7.853497
2y5h_803	-7.1858883
2y5h_831	-6.456642
2y5h_85	-8.93475
2y5h_866	-6.9106884
2y5h_870	-7.526508
2y5h_885	-6.581536
2y5h_948	-7.4621496
2y5h_955	-6.7828574
2y5h_958	-7.0152583
2y5h_973	-5.665379
2y5h_ligand	-8.001822
