#code	score
2ymd_229	-7.4295273
2ymd_3	-7.4378443
2ymd_403	-7.4136906
2ymd_405	-6.819653
2ymd_410	-7.2548313
2ymd_416	-7.1715665
2ymd_426	-6.8818693
2ymd_427	-7.471009
2ymd_433	-7.511575
2ymd_434	-7.1047053
2ymd_435	-6.684583
2ymd_436	-6.701717
2ymd_439	-7.341339
2ymd_456	-6.414612
2ymd_458	-6.86422
2ymd_484	-6.408677
2ymd_486	-7.0193887
2ymd_489	-6.635817
2ymd_492	-6.6551566
2ymd_496	-6.960265
2ymd_497	-6.9780483
2ymd_510	-6.5400333
2ymd_521	-6.9679446
2ymd_533	-6.6380386
2ymd_539	-6.3869376
2ymd_547	-6.3973656
2ymd_555	-7.1004066
2ymd_557	-5.9832635
2ymd_561	-6.9504447
2ymd_567	-5.857903
2ymd_585	-6.638563
2ymd_587	-6.535045
2ymd_588	-6.7967863
2ymd_591	-5.614866
2ymd_593	-7.255668
2ymd_618	-6.7118816
2ymd_623	-6.169896
2ymd_626	-7.559349
2ymd_651	-6.4907947
2ymd_665	-5.874027
2ymd_670	-6.5275607
2ymd_672	-7.323361
2ymd_674	-7.0380983
2ymd_680	-7.3164434
2ymd_681	-6.670808
2ymd_687	-6.823363
2ymd_688	-5.6417403
2ymd_694	-5.80388
2ymd_695	-6.9678984
2ymd_773	-6.5820804
2ymd_889	-7.356974
2ymd_89	-7.1699014
2ymd_ligand	-7.404423
