#code	score
2zcr_187	-8.279661
2zcr_216	-8.512639
2zcr_273	-8.2697315
2zcr_283	-8.133602
2zcr_28	-7.474037
2zcr_294	-8.003949
2zcr_296	-8.444338
2zcr_318	-8.069277
2zcr_324	-8.260133
2zcr_33	-8.181133
2zcr_351	-8.427692
2zcr_358	-7.637384
2zcr_37	-8.617714
2zcr_383	-8.228659
2zcr_398	-7.7164197
2zcr_407	-7.278758
2zcr_409	-9.665883
2zcr_418	-6.607397
2zcr_422	-7.3169837
2zcr_423	-7.376054
2zcr_424	-8.263369
2zcr_429	-7.899043
2zcr_437	-7.527571
2zcr_438	-7.091925
2zcr_440	-7.5944476
2zcr_444	-8.236098
2zcr_447	-9.104039
2zcr_452	-7.51654
2zcr_453	-6.8677077
2zcr_460	-7.2524576
2zcr_464	-7.916078
2zcr_465	-8.944214
2zcr_466	-7.822335
2zcr_468	-7.400585
2zcr_474	-7.3154783
2zcr_475	-6.8158684
2zcr_495	-8.224056
2zcr_500	-6.923464
2zcr_52	-8.181017
2zcr_543	-7.4909062
2zcr_548	-7.7883716
2zcr_557	-6.6696444
2zcr_578	-7.134813
2zcr_580	-8.4169445
2zcr_589	-8.041166
2zcr_591	-9.085504
2zcr_603	-8.629289
2zcr_625	-7.805291
2zcr_634	-7.7176375
2zcr_636	-7.741603
2zcr_658	-8.624767
2zcr_664	-8.426831
2zcr_678	-7.9954314
2zcr_699	-8.385554
2zcr_709	-8.15906
2zcr_721	-6.7415605
2zcr_723	-8.251917
2zcr_730	-8.912901
2zcr_737	-7.9458227
2zcr_746	-9.193352
2zcr_75	-8.444661
2zcr_762	-6.4564424
2zcr_765	-9.521484
2zcr_767	-6.509647
2zcr_769	-7.958072
2zcr_772	-6.459127
2zcr_776	-7.408233
2zcr_777	-6.0368876
2zcr_778	-6.758447
2zcr_780	-7.875154
2zcr_781	-7.5118837
2zcr_782	-6.296128
2zcr_783	-6.5418057
2zcr_786	-6.264451
2zcr_787	-7.3758097
2zcr_788	-7.6035
2zcr_80	-8.650851
2zcr_834	-6.6164565
2zcr_846	-6.8856983
2zcr_869	-8.595406
2zcr_877	-9.442653
2zcr_882	-7.5784163
2zcr_883	-7.9024234
2zcr_8	-8.483862
2zcr_ligand	-8.396795
