#code	score
2zda_101	-6.436578
2zda_108	-7.2793384
2zda_116	-6.7894387
2zda_132	-7.016816
2zda_142	-9.684411
2zda_156	-7.331614
2zda_157	-7.5150743
2zda_167	-9.231367
2zda_170	-9.345138
2zda_174	-7.4372725
2zda_182	-7.7884526
2zda_192	-6.870519
2zda_196	-6.613756
2zda_205	-8.532669
2zda_212	-8.744982
2zda_218	-7.95606
2zda_224	-7.4048142
2zda_232	-9.468147
2zda_23	-9.093189
2zda_255	-9.655134
2zda_259	-9.169562
2zda_262	-8.889594
2zda_264	-10.211072
2zda_266	-10.206143
2zda_270	-9.520521
2zda_272	-9.441606
2zda_274	-9.718164
2zda_277	-9.710285
2zda_27	-8.506345
2zda_289	-9.336149
2zda_295	-8.120652
2zda_299	-9.902035
2zda_29	-9.260489
2zda_2	-9.276383
2zda_302	-5.8543353
2zda_311	-7.9970555
2zda_338	-8.096427
2zda_345	-6.4601674
2zda_379	-6.8954177
2zda_382	-6.0806127
2zda_391	-7.1903234
2zda_393	-7.095684
2zda_414	-10.377408
2zda_429	-7.4170446
2zda_434	-8.165403
2zda_435	-8.146588
2zda_442	-9.899014
2zda_447	-8.456669
2zda_45	-7.6717725
2zda_470	-8.220171
2zda_498	-8.3960705
2zda_500	-8.73879
2zda_506	-7.132161
2zda_525	-7.9772696
2zda_533	-8.402329
2zda_54	-7.7980404
2zda_558	-8.689376
2zda_561	-7.3427997
2zda_573	-8.953726
2zda_589	-7.6053343
2zda_5	-9.233553
2zda_615	-7.98888
2zda_627	-7.1251874
2zda_633	-8.931935
2zda_643	-7.2366776
2zda_664	-7.232507
2zda_671	-9.261567
2zda_677	-6.8541846
2zda_694	-8.220171
2zda_698	-8.349612
2zda_739	-8.993135
2zda_748	-8.674436
2zda_751	-8.250673
2zda_753	-8.402345
2zda_758	-7.815271
2zda_763	-8.510199
2zda_766	-9.193887
2zda_767	-7.7695374
2zda_772	-8.487176
2zda_773	-8.5193615
2zda_777	-7.7296095
2zda_80	-6.8692803
2zda_835	-9.668765
2zda_860	-9.033194
2zda_89	-6.8264866
2zda_ligand	-9.57574
