#code	score
3arq_117	-8.672897
3arq_197	-9.53339
3arq_206	-10.340349
3arq_209	-8.25556
3arq_221	-9.099606
3arq_227	-9.775314
3arq_228	-9.763369
3arq_231	-8.483932
3arq_236	-9.341987
3arq_242	-11.017711
3arq_245	-10.396786
3arq_256	-10.758373
3arq_258	-9.092004
3arq_265	-11.173873
3arq_287	-10.291815
3arq_293	-9.368846
3arq_314	-9.295299
3arq_328	-8.943586
3arq_338	-8.926779
3arq_339	-9.296172
3arq_346	-9.164422
3arq_358	-8.756707
3arq_392	-9.027848
3arq_404	-10.675923
3arq_406	-9.561934
3arq_422	-9.372994
3arq_426	-8.372211
3arq_430	-10.488682
3arq_432	-10.049704
3arq_443	-9.594319
3arq_444	-9.029341
3arq_445	-9.874894
3arq_449	-9.4759445
3arq_451	-8.328957
3arq_464	-9.592723
3arq_466	-10.173298
3arq_474	-9.329897
3arq_478	-10.383245
3arq_483	-9.261969
3arq_485	-9.839251
3arq_508	-9.066594
3arq_511	-7.8058224
3arq_513	-9.543803
3arq_515	-9.209083
3arq_529	-8.3492
3arq_534	-8.814805
3arq_535	-8.909877
3arq_543	-8.340202
3arq_545	-9.209546
3arq_550	-9.63387
3arq_556	-9.038977
3arq_565	-10.470053
3arq_566	-8.709483
3arq_571	-8.697094
3arq_575	-8.806899
3arq_577	-9.776777
3arq_581	-9.952567
3arq_584	-8.388937
3arq_587	-9.420201
3arq_596	-9.455644
3arq_601	-10.532662
3arq_606	-9.3475
3arq_607	-9.942268
3arq_611	-9.638096
3arq_620	-9.392289
3arq_625	-9.832389
3arq_626	-9.3109
3arq_639	-8.697456
3arq_643	-8.326953
3arq_645	-9.994281
3arq_647	-7.810882
3arq_648	-8.539806
3arq_651	-10.68858
3arq_654	-7.455884
3arq_655	-8.781756
3arq_673	-9.427687
3arq_680	-8.876612
3arq_698	-9.509101
3arq_721	-9.455407
3arq_742	-9.290677
3arq_743	-9.534765
3arq_748	-8.69463
3arq_755	-8.968816
3arq_758	-8.617082
3arq_760	-9.031557
3arq_762	-9.1927595
3arq_848	-8.626092
3arq_855	-9.770842
3arq_868	-10.062321
3arq_941	-8.691311
3arq_964	-8.709742
3arq_ligand	-8.520084
