#code	score
3ary_100	-5.8011465
3ary_147	-5.3187475
3ary_154	-5.7338448
3ary_162	-6.136193
3ary_187	-5.784378
3ary_195	-6.087323
3ary_206	-7.6480336
3ary_208	-7.4752865
3ary_222	-6.464004
3ary_230	-6.6317334
3ary_237	-6.5481005
3ary_240	-6.2134385
3ary_244	-6.2134986
3ary_252	-7.7890596
3ary_255	-6.46534
3ary_276	-7.524797
3ary_286	-6.8006983
3ary_290	-7.388526
3ary_292	-6.951768
3ary_298	-6.2314615
3ary_302	-6.3829207
3ary_304	-5.4052157
3ary_311	-5.224118
3ary_317	-5.6470494
3ary_383	-5.936854
3ary_418	-5.594134
3ary_466	-5.771404
3ary_487	-5.275027
3ary_499	-5.7282124
3ary_503	-5.254496
3ary_513	-5.207926
3ary_515	-6.621566
3ary_540	-5.6656747
3ary_547	-5.5115714
3ary_548	-5.45886
3ary_556	-6.377688
3ary_558	-6.2422156
3ary_561	-6.0088444
3ary_580	-5.055994
3ary_627	-6.2370324
3ary_648	-6.5257826
3ary_650	-6.6424065
3ary_663	-4.9193687
3ary_687	-5.541768
3ary_702	-5.418301
3ary_71	-5.874365
3ary_723	-5.387683
3ary_727	-5.191207
3ary_729	-5.536088
3ary_730	-4.853373
3ary_731	-6.3536105
3ary_735	-4.8823104
3ary_736	-5.688014
3ary_739	-5.3141484
3ary_740	-5.8309937
3ary_744	-6.032152
3ary_750	-5.5104885
3ary_751	-5.099006
3ary_754	-5.5313683
3ary_762	-5.044892
3ary_763	-4.9327254
3ary_765	-4.3498654
3ary_770	-5.002655
3ary_772	-5.1836514
3ary_773	-5.521468
3ary_774	-5.167717
3ary_775	-3.942274
3ary_778	-4.5365434
3ary_797	-5.1630497
3ary_799	-5.6834426
3ary_801	-6.4117393
3ary_805	-5.2655997
3ary_826	-5.463885
3ary_828	-5.2460475
3ary_832	-5.492336
3ary_837	-5.5388775
3ary_844	-5.360415
3ary_850	-5.2186255
3ary_858	-4.6038547
3ary_861	-5.392899
3ary_864	-4.343692
3ary_866	-5.6220293
3ary_880	-4.5959873
3ary_884	-5.955529
3ary_943	-5.396253
3ary_953	-5.594469
3ary_968	-4.7885036
3ary_976	-5.569228
3ary_979	-5.5718374
3ary_981	-5.893992
3ary_ligand	-5.707193
