#code	score
3b1m_100	-7.8646736
3b1m_116	-10.374801
3b1m_149	-9.554371
3b1m_15	-7.1991014
3b1m_175	-10.121812
3b1m_197	-8.38092
3b1m_206	-10.610647
3b1m_215	-10.462237
3b1m_218	-10.630135
3b1m_221	-10.606267
3b1m_225	-9.826731
3b1m_233	-9.941346
3b1m_238	-9.429084
3b1m_241	-9.62638
3b1m_260	-10.429081
3b1m_273	-10.550005
3b1m_290	-9.684445
3b1m_300	-9.846999
3b1m_31	-6.169396
3b1m_325	-10.200917
3b1m_335	-5.5137873
3b1m_33	-7.767091
3b1m_35	-7.067236
3b1m_365	-7.860881
3b1m_373	-10.579079
3b1m_388	-9.01861
3b1m_392	-7.1106267
3b1m_40	-9.160271
3b1m_412	-8.830798
3b1m_415	-8.721889
3b1m_416	-8.799766
3b1m_418	-9.320654
3b1m_419	-8.669694
3b1m_423	-9.530522
3b1m_451	-8.18818
3b1m_462	-8.31009
3b1m_464	-7.5515513
3b1m_467	-10.696905
3b1m_469	-9.785655
3b1m_47	-6.572905
3b1m_486	-9.07005
3b1m_496	-8.455248
3b1m_4	-9.532547
3b1m_500	-8.868729
3b1m_523	-9.560212
3b1m_526	-9.087667
3b1m_529	-8.342444
3b1m_531	-7.8279066
3b1m_540	-8.188887
3b1m_547	-8.205859
3b1m_553	-7.9571548
3b1m_565	-9.437467
3b1m_573	-8.669095
3b1m_594	-8.517034
3b1m_596	-8.19291
3b1m_607	-9.560873
3b1m_632	-8.847345
3b1m_636	-7.7061787
3b1m_640	-8.628893
3b1m_652	-8.469139
3b1m_657	-8.333763
3b1m_660	-8.836552
3b1m_66	-7.219696
3b1m_670	-7.4116106
3b1m_673	-9.303182
3b1m_675	-8.920622
3b1m_682	-8.89996
3b1m_695	-9.357672
3b1m_699	-7.373911
3b1m_723	-9.862495
3b1m_724	-9.703703
3b1m_736	-10.289328
3b1m_743	-9.996987
3b1m_750	-7.7694592
3b1m_755	-8.913606
3b1m_761	-9.20968
3b1m_765	-9.8361225
3b1m_770	-6.5717993
3b1m_774	-10.109314
3b1m_775	-10.331255
3b1m_777	-9.461525
3b1m_778	-10.186
3b1m_789	-6.677266
3b1m_790	-9.55104
3b1m_795	-10.197746
3b1m_7	-10.306647
3b1m_804	-10.349314
3b1m_820	-10.2026005
3b1m_830	-9.686499
3b1m_852	-10.459698
3b1m_873	-10.478404
3b1m_905	-10.762312
3b1m_90	-7.3253875
3b1m_913	-10.642386
3b1m_931	-10.562518
3b1m_949	-9.721296
3b1m_953	-10.46661
3b1m_963	-9.778857
3b1m_969	-9.983336
3b1m_98	-5.944918
3b1m_ligand	-10.519101
