#code	score
3b68_121	-9.554526
3b68_126	-9.870748
3b68_192	-9.241394
3b68_228	-9.839687
3b68_269	-10.020769
3b68_291	-9.879681
3b68_304	-10.433558
3b68_405	-9.896436
3b68_410	-8.665272
3b68_418	-11.324676
3b68_423	-9.644705
3b68_430	-9.366821
3b68_438	-9.842403
3b68_439	-8.771448
3b68_441	-9.013634
3b68_446	-9.67522
3b68_459	-7.414522
3b68_467	-8.439875
3b68_475	-10.541719
3b68_484	-10.678118
3b68_549	-10.360865
3b68_558	-11.225799
3b68_564	-8.853903
3b68_573	-8.44428
3b68_574	-7.158045
3b68_580	-9.820066
3b68_591	-8.51445
3b68_605	-8.291496
3b68_626	-10.448166
3b68_627	-7.197712
3b68_644	-7.6170125
3b68_665	-7.475547
3b68_678	-7.776547
3b68_683	-8.503878
3b68_685	-7.6230965
3b68_686	-7.811886
3b68_687	-7.846963
3b68_696	-8.018203
3b68_714	-9.541472
3b68_753	-9.925526
3b68_756	-9.770637
3b68_763	-9.763378
3b68_772	-9.420456
3b68_774	-9.0354805
3b68_776	-9.560171
3b68_778	-8.0787735
3b68_779	-9.001466
3b68_780	-8.108625
3b68_781	-8.463085
3b68_782	-8.058147
3b68_783	-8.535457
3b68_784	-9.3353815
3b68_865	-10.2272
3b68_884	-10.2478485
3b68_904	-10.05636
3b68_922	-9.87552
3b68_947	-10.060436
3b68_962	-9.779779
3b68_965	-10.114003
3b68_99	-10.008568
3b68_ligand	-10.290336
