#code	score
3coy_110	-8.433383
3coy_120	-8.164831
3coy_156	-8.203867
3coy_158	-7.465121
3coy_163	-8.289837
3coy_168	-7.4458838
3coy_16	-8.403356
3coy_185	-7.6040025
3coy_189	-8.257868
3coy_215	-7.8271155
3coy_224	-8.646685
3coy_235	-8.182927
3coy_252	-8.443269
3coy_254	-8.688911
3coy_258	-8.351698
3coy_262	-7.8049498
3coy_276	-7.9381104
3coy_280	-8.13188
3coy_291	-8.081459
3coy_293	-8.498953
3coy_305	-8.228329
3coy_31	-8.385695
3coy_339	-7.8037395
3coy_347	-8.059227
3coy_355	-8.246661
3coy_359	-7.8728194
3coy_373	-7.9078364
3coy_384	-8.490478
3coy_395	-8.605973
3coy_400	-7.7947044
3coy_416	-7.111557
3coy_417	-7.915996
3coy_422	-8.007133
3coy_425	-8.341944
3coy_444	-6.9098206
3coy_44	-8.62091
3coy_455	-7.6695943
3coy_458	-6.916521
3coy_460	-7.6117682
3coy_463	-7.519397
3coy_464	-7.5943108
3coy_467	-7.3430223
3coy_468	-7.3406806
3coy_472	-8.618058
3coy_476	-7.9083943
3coy_485	-8.155684
3coy_498	-7.5216966
3coy_4	-7.8523192
3coy_500	-7.3864193
3coy_510	-8.251726
3coy_513	-8.387635
3coy_522	-7.546686
3coy_525	-6.916927
3coy_528	-7.8148265
3coy_529	-8.13798
3coy_541	-8.524347
3coy_544	-7.851608
3coy_545	-7.9168963
3coy_546	-8.093152
3coy_547	-7.9564652
3coy_550	-7.57376
3coy_553	-7.906249
3coy_559	-8.422094
3coy_562	-7.2729464
3coy_563	-8.448916
3coy_566	-8.34014
3coy_581	-6.7539015
3coy_582	-8.057363
3coy_588	-9.313454
3coy_589	-8.09709
3coy_591	-8.224912
3coy_593	-8.1414585
3coy_600	-8.471331
3coy_610	-7.4896703
3coy_611	-6.7571516
3coy_619	-7.0426307
3coy_620	-8.170344
3coy_623	-8.570307
3coy_632	-7.54942
3coy_634	-7.2543902
3coy_640	-6.995126
3coy_650	-8.012923
3coy_667	-7.9505687
3coy_66	-8.664303
3coy_675	-7.752397
3coy_684	-6.41124
3coy_685	-6.715491
3coy_686	-7.2100654
3coy_693	-7.519561
3coy_695	-8.5654745
3coy_733	-8.550946
3coy_794	-8.9157095
3coy_834	-8.699335
3coy_ligand	-8.524332
