#code	score
3d4z_128	-7.7946353
3d4z_12	-7.5011463
3d4z_132	-7.788959
3d4z_233	-7.5229278
3d4z_250	-7.777146
3d4z_331	-7.855398
3d4z_340	-7.645441
3d4z_376	-7.732857
3d4z_403	-7.9388266
3d4z_410	-8.377927
3d4z_415	-8.189511
3d4z_434	-7.6407013
3d4z_435	-7.3741035
3d4z_447	-7.397242
3d4z_486	-7.6868415
3d4z_528	-7.305138
3d4z_540	-6.266529
3d4z_559	-6.461287
3d4z_563	-6.7430453
3d4z_564	-5.6702714
3d4z_580	-6.368146
3d4z_593	-6.3992186
3d4z_614	-5.541123
3d4z_618	-6.41667
3d4z_621	-6.57967
3d4z_622	-5.5643926
3d4z_623	-6.012666
3d4z_624	-5.575011
3d4z_627	-6.103387
3d4z_633	-5.756915
3d4z_638	-6.492356
3d4z_647	-5.6112075
3d4z_652	-6.1551085
3d4z_654	-6.895517
3d4z_656	-6.136936
3d4z_658	-6.0301423
3d4z_659	-6.577921
3d4z_673	-6.4271016
3d4z_675	-5.533599
3d4z_682	-6.101806
3d4z_689	-6.15337
3d4z_694	-5.895125
3d4z_703	-7.447958
3d4z_713	-6.8684897
3d4z_729	-7.4716306
3d4z_741	-5.8091846
3d4z_743	-7.1051264
3d4z_745	-5.4588623
3d4z_746	-7.0335956
3d4z_760	-7.4328046
3d4z_761	-7.3549204
3d4z_768	-5.378097
3d4z_770	-6.223822
3d4z_780	-7.194404
3d4z_784	-5.828353
3d4z_786	-7.021138
3d4z_787	-6.499036
3d4z_788	-7.9026775
3d4z_790	-5.3363724
3d4z_791	-5.8526964
3d4z_794	-6.0619674
3d4z_795	-7.239597
3d4z_797	-8.3034525
3d4z_804	-7.3242307
3d4z_840	-7.890981
3d4z_889	-6.48837
3d4z_932	-7.4470644
3d4z_955	-7.716121
3d4z_ligand	-8.002835
