#code	score
3g31_107	-3.8276153
3g31_109	-3.8190637
3g31_136	-4.1142426
3g31_210	-4.9565783
3g31_218	-5.13756
3g31_246	-4.4109073
3g31_288	-4.9726663
3g31_339	-4.1563253
3g31_362	-3.9363563
3g31_36	-4.380112
3g31_392	-4.184776
3g31_402	-4.6761107
3g31_405	-4.278053
3g31_413	-6.208993
3g31_416	-6.459354
3g31_437	-5.896063
3g31_442	-5.3353467
3g31_447	-4.930165
3g31_448	-4.442719
3g31_457	-5.6335416
3g31_461	-6.97156
3g31_469	-5.600554
3g31_472	-4.317834
3g31_473	-5.8373556
3g31_474	-6.3361006
3g31_475	-5.803747
3g31_478	-5.2583785
3g31_488	-6.003076
3g31_496	-6.009414
3g31_498	-5.5277896
3g31_499	-5.1499743
3g31_512	-4.053954
3g31_526	-3.4677422
3g31_531	-4.152627
3g31_532	-4.5595746
3g31_534	-4.381098
3g31_535	-3.9103067
3g31_537	-3.9620361
3g31_556	-4.678973
3g31_571	-4.083666
3g31_580	-3.3463435
3g31_581	-4.322216
3g31_582	-5.2579103
3g31_584	-4.0636425
3g31_585	-3.5738723
3g31_588	-5.035059
3g31_596	-4.472227
3g31_644	-3.6174757
3g31_648	-4.463437
3g31_652	-3.9530213
3g31_653	-4.926248
3g31_659	-5.687038
3g31_663	-4.3239846
3g31_670	-3.4800372
3g31_673	-3.322402
3g31_687	-4.178572
3g31_692	-4.652764
3g31_693	-5.441544
3g31_697	-5.10958
3g31_699	-4.6965003
3g31_700	-3.526224
3g31_740	-4.6864805
3g31_781	-4.330939
3g31_785	-3.1220834
3g31_786	-4.316923
3g31_791	-3.7982323
3g31_802	-4.836088
3g31_ligand	-4.0894976
