#code	score
3gnw_134	-9.618507
3gnw_136	-9.024667
3gnw_155	-9.103931
3gnw_179	-8.985084
3gnw_201	-10.664662
3gnw_205	-9.858235
3gnw_216	-10.643482
3gnw_218	-8.490741
3gnw_219	-10.375832
3gnw_220	-8.572866
3gnw_225	-9.6166935
3gnw_226	-10.740772
3gnw_236	-9.686097
3gnw_241	-8.4191675
3gnw_254	-10.509012
3gnw_259	-10.085208
3gnw_261	-9.386419
3gnw_266	-9.229677
3gnw_271	-9.905937
3gnw_273	-10.155565
3gnw_276	-10.701532
3gnw_277	-10.2550535
3gnw_278	-9.985281
3gnw_279	-10.338553
3gnw_284	-10.428206
3gnw_294	-10.323587
3gnw_299	-8.703464
3gnw_302	-10.371759
3gnw_310	-7.7754574
3gnw_315	-9.3898735
3gnw_316	-9.185705
3gnw_322	-8.907431
3gnw_323	-8.5272665
3gnw_325	-8.906993
3gnw_335	-8.693409
3gnw_337	-8.221589
3gnw_343	-8.8126955
3gnw_381	-8.544346
3gnw_387	-8.158172
3gnw_402	-9.254367
3gnw_411	-10.1167345
3gnw_417	-9.654448
3gnw_41	-8.944133
3gnw_423	-9.318779
3gnw_440	-9.716459
3gnw_448	-9.188898
3gnw_463	-9.515511
3gnw_493	-9.375251
3gnw_498	-8.460548
3gnw_49	-8.743458
3gnw_516	-9.388009
3gnw_527	-8.370622
3gnw_535	-8.7436905
3gnw_545	-9.226396
3gnw_549	-7.9807196
3gnw_552	-8.968875
3gnw_555	-11.049118
3gnw_569	-7.962306
3gnw_580	-9.029737
3gnw_581	-8.186413
3gnw_586	-8.326255
3gnw_587	-8.870872
3gnw_597	-7.952412
3gnw_634	-8.823943
3gnw_636	-8.592444
3gnw_639	-8.728216
3gnw_649	-9.708197
3gnw_659	-8.963252
3gnw_662	-8.85466
3gnw_667	-9.469887
3gnw_668	-8.706385
3gnw_694	-7.9547033
3gnw_700	-9.178675
3gnw_708	-10.638526
3gnw_712	-10.571103
3gnw_714	-10.410194
3gnw_718	-10.427338
3gnw_722	-9.387601
3gnw_729	-9.037291
3gnw_745	-9.696875
3gnw_779	-9.678454
3gnw_802	-10.727841
3gnw_842	-10.079915
3gnw_847	-10.190043
3gnw_848	-10.335405
3gnw_857	-10.270461
3gnw_867	-10.145834
3gnw_868	-9.136021
3gnw_873	-9.998331
3gnw_876	-9.991311
3gnw_877	-10.118571
3gnw_87	-9.84599
3gnw_939	-9.894411
3gnw_94	-9.127237
3gnw_950	-9.963096
3gnw_959	-10.207428
3gnw_95	-9.085003
3gnw_961	-10.528166
3gnw_965	-10.009021
3gnw_982	-10.396018
3gnw_ligand	-10.5132675
