#code	score
3l7b_163	-7.3717046
3l7b_203	-7.235779
3l7b_207	-7.015736
3l7b_217	-7.279537
3l7b_22	-7.1798015
3l7b_256	-6.661532
3l7b_30	-7.176002
3l7b_38	-7.361989
3l7b_402	-7.4798813
3l7b_416	-7.3616543
3l7b_426	-6.792594
3l7b_439	-7.0879703
3l7b_446	-7.471692
3l7b_447	-7.63876
3l7b_450	-7.520087
3l7b_458	-6.715517
3l7b_462	-7.587609
3l7b_463	-7.199553
3l7b_468	-6.893666
3l7b_47	-7.378167
3l7b_485	-6.9184685
3l7b_491	-6.7455916
3l7b_500	-7.250288
3l7b_509	-7.541541
3l7b_521	-6.739985
3l7b_523	-7.5328045
3l7b_526	-7.8484488
3l7b_527	-6.8591137
3l7b_531	-7.3638406
3l7b_542	-7.8176813
3l7b_545	-7.0983953
3l7b_550	-7.809879
3l7b_554	-7.4378552
3l7b_557	-7.523254
3l7b_560	-7.21804
3l7b_561	-6.9508376
3l7b_566	-7.124539
3l7b_568	-7.2798834
3l7b_576	-7.2926917
3l7b_578	-6.9662414
3l7b_579	-7.7740464
3l7b_582	-7.060034
3l7b_584	-7.345942
3l7b_586	-6.679733
3l7b_588	-7.065971
3l7b_592	-6.804149
3l7b_604	-7.164853
3l7b_612	-6.5372705
3l7b_616	-7.7837996
3l7b_621	-8.11582
3l7b_627	-7.128415
3l7b_628	-7.5324836
3l7b_631	-6.9398384
3l7b_633	-7.268409
3l7b_638	-7.7143474
3l7b_643	-7.540001
3l7b_656	-7.271045
3l7b_657	-7.3276825
3l7b_658	-6.705252
3l7b_659	-6.9359274
3l7b_660	-6.884607
3l7b_665	-7.5086737
3l7b_66	-7.5077662
3l7b_683	-7.8122473
3l7b_685	-8.000928
3l7b_686	-7.693914
3l7b_687	-7.511567
3l7b_690	-7.758576
3l7b_694	-7.3192506
3l7b_696	-7.279769
3l7b_719	-7.42322
3l7b_72	-7.26512
3l7b_730	-7.466024
3l7b_750	-7.7013245
3l7b_844	-7.026642
3l7b_93	-7.201894
3l7b_9	-7.3580327
3l7b_ligand	-7.2458644
