#code	score
3ozs_103	-8.11706
3ozs_107	-6.808724
3ozs_10	-7.7572865
3ozs_110	-7.456437
3ozs_113	-6.926162
3ozs_11	-8.528408
3ozs_120	-7.540241
3ozs_123	-8.109305
3ozs_130	-7.366806
3ozs_136	-6.7933125
3ozs_149	-7.507299
3ozs_14	-8.047815
3ozs_162	-7.8212
3ozs_201	-9.082408
3ozs_221	-8.700876
3ozs_224	-8.684133
3ozs_24	-7.3718433
3ozs_251	-9.016748
3ozs_255	-9.081892
3ozs_269	-9.086078
3ozs_273	-9.7664175
3ozs_275	-9.873401
3ozs_28	-7.6893
3ozs_307	-8.675708
3ozs_318	-7.799403
3ozs_339	-7.993625
3ozs_345	-8.448845
3ozs_346	-8.145446
3ozs_353	-7.5904584
3ozs_373	-8.947011
3ozs_379	-7.492539
3ozs_389	-8.236091
3ozs_406	-9.401524
3ozs_413	-8.900417
3ozs_417	-9.626538
3ozs_430	-9.213585
3ozs_431	-8.987629
3ozs_432	-8.876729
3ozs_439	-8.728013
3ozs_442	-7.7978554
3ozs_443	-7.4550543
3ozs_446	-8.114211
3ozs_44	-8.72262
3ozs_451	-8.179058
3ozs_465	-8.451818
3ozs_46	-8.74384
3ozs_478	-7.2860217
3ozs_479	-8.416393
3ozs_480	-8.86009
3ozs_484	-7.829737
3ozs_487	-8.322623
3ozs_48	-8.090467
3ozs_494	-9.020451
3ozs_496	-8.106898
3ozs_505	-7.974486
3ozs_517	-8.7131195
3ozs_529	-7.7239146
3ozs_531	-8.007834
3ozs_536	-8.525436
3ozs_537	-7.769045
3ozs_542	-7.4464436
3ozs_546	-6.994637
3ozs_550	-7.5379505
3ozs_554	-6.650852
3ozs_558	-6.7977076
3ozs_559	-8.005883
3ozs_560	-8.331827
3ozs_567	-8.1718235
3ozs_574	-6.3942566
3ozs_575	-7.0688705
3ozs_585	-7.74732
3ozs_586	-6.9791927
3ozs_593	-7.6926517
3ozs_596	-7.9065413
3ozs_60	-8.294563
3ozs_611	-8.011384
3ozs_63	-7.3131433
3ozs_646	-7.3474874
3ozs_649	-7.5454063
3ozs_656	-8.235436
3ozs_659	-8.695075
3ozs_664	-7.590919
3ozs_666	-7.45586
3ozs_682	-8.542049
3ozs_6	-8.768298
3ozs_72	-8.520496
3ozs_756	-7.8863616
3ozs_758	-8.446115
3ozs_761	-8.239219
3ozs_764	-8.008129
3ozs_768	-7.3431087
3ozs_778	-8.585478
3ozs_821	-7.948599
3ozs_83	-8.479155
3ozs_842	-8.889405
3ozs_854	-8.497449
3ozs_870	-7.9418607
3ozs_882	-7.9902635
3ozs_899	-8.327055
3ozs_91	-7.056925
3ozs_ligand	-9.020577
