#code	score
4bkt_11	-6.521919
4bkt_140	-7.4108663
4bkt_161	-6.8245616
4bkt_178	-6.792527
4bkt_17	-6.613032
4bkt_283	-7.481157
4bkt_32	-6.941352
4bkt_369	-6.544931
4bkt_405	-6.4256997
4bkt_439	-5.4893374
4bkt_442	-5.907144
4bkt_478	-6.1572266
4bkt_484	-7.1233096
4bkt_486	-7.2829585
4bkt_507	-5.852755
4bkt_523	-4.974076
4bkt_537	-4.7262406
4bkt_538	-4.527893
4bkt_539	-4.0030413
4bkt_540	-5.3802733
4bkt_541	-7.1311836
4bkt_542	-5.7013345
4bkt_560	-5.127513
4bkt_568	-6.5923486
4bkt_581	-5.2212577
4bkt_586	-5.110884
4bkt_614	-7.6812143
4bkt_62	-7.5287023
4bkt_664	-6.4900155
4bkt_695	-5.8440433
4bkt_710	-6.3091683
4bkt_713	-7.270678
4bkt_716	-6.822761
4bkt_735	-5.3533096
4bkt_737	-7.140943
4bkt_741	-6.8998528
4bkt_743	-5.631659
4bkt_744	-6.550271
4bkt_746	-5.582039
4bkt_750	-5.1378503
4bkt_751	-5.756242
4bkt_752	-6.095835
4bkt_753	-6.294929
4bkt_759	-4.510907
4bkt_760	-6.5543804
4bkt_761	-3.9863334
4bkt_766	-3.999475
4bkt_767	-4.245578
4bkt_768	-5.0630794
4bkt_769	-5.4567704
4bkt_773	-4.203027
4bkt_774	-5.4869356
4bkt_775	-4.7281203
4bkt_778	-5.5253596
4bkt_779	-3.361194
4bkt_782	-3.54367
4bkt_784	-3.9793508
4bkt_791	-4.7390685
4bkt_797	-4.231053
4bkt_800	-4.018668
4bkt_826	-6.7870736
4bkt_838	-5.066833
4bkt_849	-6.164405
4bkt_853	-7.1938553
4bkt_862	-5.7021694
4bkt_863	-7.1958795
4bkt_865	-4.285268
4bkt_869	-5.4849076
4bkt_871	-5.5686607
4bkt_874	-5.959742
4bkt_876	-6.4909463
4bkt_877	-5.81225
4bkt_880	-6.029564
4bkt_883	-4.0801888
4bkt_885	-5.8212667
4bkt_890	-5.619786
4bkt_891	-5.767092
4bkt_893	-5.7071404
4bkt_898	-4.451488
4bkt_931	-6.6248326
4bkt_932	-6.4073105
4bkt_953	-6.588915
4bkt_969	-6.671021
4bkt_983	-6.369831
4bkt_984	-6.2471123
4bkt_ligand	-7.2297473
