#code	score
4cra_102	-7.0997567
4cra_113	-9.191017
4cra_119	-9.198833
4cra_124	-8.316971
4cra_126	-8.933691
4cra_130	-8.903242
4cra_151	-8.792626
4cra_155	-9.600306
4cra_175	-9.770867
4cra_201	-10.6808815
4cra_204	-10.374618
4cra_214	-10.925674
4cra_219	-10.944121
4cra_224	-10.99343
4cra_230	-11.219476
4cra_240	-10.080366
4cra_24	-8.161635
4cra_250	-9.275971
4cra_258	-10.894088
4cra_270	-9.485526
4cra_276	-9.614052
4cra_281	-10.927468
4cra_283	-11.165627
4cra_292	-10.655715
4cra_296	-10.996573
4cra_302	-8.900707
4cra_307	-8.469883
4cra_318	-9.916701
4cra_354	-10.179753
4cra_358	-8.919659
4cra_364	-10.693222
4cra_375	-8.5183115
4cra_378	-9.51945
4cra_383	-8.600098
4cra_413	-10.14623
4cra_422	-9.243969
4cra_439	-9.845403
4cra_441	-9.397293
4cra_444	-9.191625
4cra_448	-9.52639
4cra_456	-8.5767355
4cra_470	-10.085662
4cra_472	-9.26474
4cra_477	-10.017052
4cra_479	-10.616047
4cra_496	-8.538675
4cra_4	-10.216191
4cra_504	-8.109902
4cra_523	-7.5525546
4cra_525	-8.256929
4cra_533	-8.703215
4cra_538	-8.597416
4cra_540	-8.823527
4cra_541	-11.097219
4cra_547	-10.3705845
4cra_548	-9.660757
4cra_549	-8.172467
4cra_564	-8.452431
4cra_566	-8.794862
4cra_569	-7.4831123
4cra_572	-8.169843
4cra_576	-10.584047
4cra_578	-8.961146
4cra_579	-9.533949
4cra_580	-8.5014305
4cra_584	-7.343195
4cra_589	-7.866752
4cra_590	-9.950631
4cra_591	-7.313566
4cra_595	-8.073058
4cra_596	-8.244594
4cra_604	-9.933391
4cra_610	-9.809844
4cra_61	-8.507134
4cra_624	-9.804344
4cra_636	-8.767788
4cra_644	-8.423344
4cra_656	-8.170148
4cra_658	-7.9330416
4cra_680	-8.672052
4cra_689	-8.127613
4cra_695	-9.389249
4cra_716	-9.492882
4cra_719	-9.444472
4cra_720	-9.15626
4cra_748	-7.726532
4cra_795	-8.278474
4cra_81	-7.8096356
4cra_827	-7.665307
4cra_828	-7.972688
4cra_830	-8.911553
4cra_855	-8.639288
4cra_861	-7.91076
4cra_893	-10.493732
4cra_905	-8.46247
4cra_918	-9.185853
4cra_941	-9.554738
4cra_953	-10.052946
4cra_967	-9.669721
4cra_972	-8.041634
4cra_ligand	-10.320813
