#code	score
4dld_109	-7.267256
4dld_178	-7.551378
4dld_198	-7.5722127
4dld_199	-7.612035
4dld_207	-8.174414
4dld_208	-8.227977
4dld_211	-8.143887
4dld_249	-8.099022
4dld_252	-8.1788845
4dld_260	-7.806562
4dld_261	-7.814138
4dld_262	-7.9161215
4dld_282	-8.282858
4dld_285	-8.047103
4dld_293	-8.138162
4dld_300	-8.055087
4dld_313	-7.600223
4dld_314	-8.311867
4dld_369	-7.4688897
4dld_408	-8.428974
4dld_410	-7.697979
4dld_422	-8.604538
4dld_425	-7.5784936
4dld_427	-8.326731
4dld_428	-7.606335
4dld_438	-7.925262
4dld_441	-8.285738
4dld_455	-7.296907
4dld_457	-7.9220543
4dld_464	-7.8874345
4dld_466	-6.9584336
4dld_473	-7.6339927
4dld_474	-7.419406
4dld_478	-7.695188
4dld_490	-8.204418
4dld_497	-7.7226033
4dld_499	-7.786563
4dld_500	-7.366985
4dld_501	-6.987009
4dld_506	-7.186485
4dld_517	-7.551328
4dld_535	-7.56125
4dld_539	-6.601522
4dld_540	-7.851298
4dld_545	-7.457897
4dld_548	-6.7965536
4dld_557	-8.020987
4dld_567	-7.408322
4dld_568	-6.87837
4dld_573	-7.24844
4dld_576	-6.9869986
4dld_577	-6.7747316
4dld_581	-7.627329
4dld_583	-7.4427795
4dld_598	-7.2955475
4dld_631	-7.933427
4dld_636	-7.811055
4dld_649	-7.4681244
4dld_653	-7.791192
4dld_659	-7.9480653
4dld_677	-8.098609
4dld_709	-8.035994
4dld_728	-7.8567805
4dld_740	-7.772541
4dld_747	-7.650166
4dld_752	-7.6118913
4dld_79	-8.002757
4dld_811	-7.9647317
4dld_826	-7.8977294
4dld_873	-8.099137
4dld_900	-8.022014
4dld_947	-8.017171
4dld_ligand	-8.05094
