#code	score
4f3c_101	-5.991156
4f3c_104	-5.669608
4f3c_140	-7.052508
4f3c_150	-5.4150243
4f3c_178	-7.4788775
4f3c_190	-5.7834206
4f3c_21	-8.346988
4f3c_251	-9.743225
4f3c_28	-7.9148464
4f3c_301	-5.7402096
4f3c_308	-7.18324
4f3c_323	-8.915852
4f3c_362	-9.438124
4f3c_363	-8.656344
4f3c_382	-9.470899
4f3c_390	-6.9755106
4f3c_394	-5.922013
4f3c_400	-7.1419277
4f3c_403	-8.222191
4f3c_404	-9.391405
4f3c_409	-7.9124284
4f3c_420	-7.9154983
4f3c_429	-7.249557
4f3c_430	-8.03821
4f3c_434	-7.928281
4f3c_445	-7.8688593
4f3c_447	-7.8753886
4f3c_450	-7.810411
4f3c_451	-8.018698
4f3c_452	-7.7168107
4f3c_458	-8.253249
4f3c_463	-7.571559
4f3c_465	-8.255462
4f3c_470	-7.8481865
4f3c_472	-7.978276
4f3c_474	-7.1908216
4f3c_479	-8.283097
4f3c_480	-8.340046
4f3c_481	-7.694543
4f3c_490	-8.273303
4f3c_496	-8.070326
4f3c_497	-7.4426537
4f3c_507	-8.515406
4f3c_513	-7.5664835
4f3c_514	-6.4131403
4f3c_516	-7.1980953
4f3c_523	-7.7561035
4f3c_524	-7.434688
4f3c_525	-7.212304
4f3c_530	-6.589131
4f3c_538	-6.8861
4f3c_542	-7.5283213
4f3c_544	-7.0317216
4f3c_545	-7.173004
4f3c_54	-7.740866
4f3c_553	-6.5723433
4f3c_556	-8.160759
4f3c_558	-7.385924
4f3c_559	-6.835052
4f3c_561	-7.3633604
4f3c_563	-5.9919376
4f3c_568	-7.5275664
4f3c_569	-6.970254
4f3c_573	-6.46421
4f3c_577	-6.277816
4f3c_57	-8.142175
4f3c_585	-7.0062575
4f3c_587	-7.151858
4f3c_592	-6.560463
4f3c_595	-7.0567584
4f3c_600	-6.8832297
4f3c_612	-7.616925
4f3c_61	-9.36485
4f3c_642	-7.3059726
4f3c_643	-7.5011797
4f3c_646	-8.430539
4f3c_667	-8.055736
4f3c_680	-6.508817
4f3c_682	-5.8182936
4f3c_685	-7.2560773
4f3c_687	-6.9939723
4f3c_688	-6.679249
4f3c_689	-7.099643
4f3c_693	-7.90995
4f3c_696	-7.5811706
4f3c_6	-7.5439324
4f3c_72	-7.6852593
4f3c_744	-9.407822
4f3c_755	-9.624227
4f3c_773	-9.422147
4f3c_833	-9.360514
4f3c_871	-9.266086
4f3c_885	-9.251982
4f3c_926	-9.319189
4f3c_ligand	-9.808672
