#code	score
4ih7_129	-5.15901
4ih7_12	-5.3712716
4ih7_133	-5.1553884
4ih7_159	-5.3452992
4ih7_212	-5.5739465
4ih7_219	-5.9779844
4ih7_241	-5.8558636
4ih7_302	-5.4604287
4ih7_307	-5.39697
4ih7_341	-5.671634
4ih7_351	-5.3434014
4ih7_378	-5.37363
4ih7_405	-6.153994
4ih7_412	-5.073198
4ih7_414	-5.667189
4ih7_415	-5.358855
4ih7_438	-5.439332
4ih7_459	-5.988616
4ih7_461	-5.280674
4ih7_477	-5.19034
4ih7_481	-4.678197
4ih7_483	-5.657595
4ih7_501	-5.533091
4ih7_504	-5.7285414
4ih7_519	-5.4210353
4ih7_522	-4.9087906
4ih7_523	-5.091207
4ih7_527	-4.793754
4ih7_529	-5.4754586
4ih7_539	-5.1844044
4ih7_548	-4.8930445
4ih7_552	-5.6891994
4ih7_555	-5.8331094
4ih7_560	-5.2267694
4ih7_561	-6.5433755
4ih7_563	-5.373398
4ih7_564	-5.0559816
4ih7_565	-5.497701
4ih7_567	-5.290594
4ih7_570	-5.2131734
4ih7_572	-6.034861
4ih7_577	-5.692166
4ih7_583	-5.371855
4ih7_591	-5.395759
4ih7_596	-4.6645117
4ih7_597	-5.9519343
4ih7_598	-5.8810215
4ih7_600	-5.680179
4ih7_632	-4.554556
4ih7_645	-5.016662
4ih7_650	-6.062325
4ih7_661	-5.1607437
4ih7_671	-5.320188
4ih7_704	-6.29341
4ih7_729	-5.228463
4ih7_72	-5.814534
4ih7_734	-6.3702807
4ih7_739	-4.7320566
4ih7_742	-5.4994926
4ih7_743	-4.812355
4ih7_748	-4.8784776
4ih7_749	-6.2338486
4ih7_755	-6.022332
4ih7_760	-5.974006
4ih7_777	-5.558867
4ih7_788	-5.613195
4ih7_789	-5.5367737
4ih7_794	-6.274019
4ih7_796	-5.336413
4ih7_822	-6.4221005
4ih7_829	-5.2073746
4ih7_877	-5.8429694
4ih7_880	-5.4949765
4ih7_885	-4.9536424
4ih7_937	-5.6718745
4ih7_940	-5.6473923
4ih7_980	-5.583672
4ih7_ligand	-5.687921
