#code	score
4w9l_100	-10.153239
4w9l_10	-7.4359455
4w9l_12	-10.350235
4w9l_136	-6.5247493
4w9l_141	-5.9172935
4w9l_143	-7.2244787
4w9l_151	-6.2062535
4w9l_170	-9.036239
4w9l_177	-9.6943035
4w9l_180	-8.851471
4w9l_192	-6.2637377
4w9l_19	-9.980746
4w9l_204	-10.124631
4w9l_215	-9.918143
4w9l_250	-10.195676
4w9l_261	-9.518964
4w9l_264	-10.477967
4w9l_273	-9.620369
4w9l_27	-9.271894
4w9l_287	-9.351001
4w9l_309	-6.2818174
4w9l_323	-7.7258077
4w9l_326	-8.2593975
4w9l_341	-7.342924
4w9l_358	-6.327867
4w9l_35	-10.12071
4w9l_368	-9.8882475
4w9l_379	-7.878316
4w9l_382	-6.4358144
4w9l_393	-7.9855123
4w9l_400	-6.8312454
4w9l_402	-8.524588
4w9l_403	-8.077773
4w9l_406	-8.781002
4w9l_407	-7.0719724
4w9l_410	-7.7298136
4w9l_411	-8.272355
4w9l_430	-8.172256
4w9l_437	-8.253871
4w9l_441	-8.219685
4w9l_448	-6.1788874
4w9l_450	-8.474564
4w9l_452	-6.1714478
4w9l_456	-6.9532485
4w9l_457	-8.589137
4w9l_462	-8.241263
4w9l_466	-7.682134
4w9l_475	-7.763039
4w9l_480	-7.664963
4w9l_481	-8.322423
4w9l_482	-8.238805
4w9l_486	-5.770219
4w9l_492	-7.3483367
4w9l_493	-4.811262
4w9l_519	-5.4000945
4w9l_522	-6.2104607
4w9l_527	-6.2196455
4w9l_53	-9.39861
4w9l_545	-6.7467427
4w9l_550	-5.2996054
4w9l_556	-4.9062324
4w9l_557	-5.4536715
4w9l_572	-6.4009943
4w9l_573	-6.387142
4w9l_577	-6.770187
4w9l_579	-8.299381
4w9l_591	-7.3515954
4w9l_594	-7.1133485
4w9l_596	-5.4630504
4w9l_5	-7.1618977
4w9l_604	-6.5030026
4w9l_612	-7.1983976
4w9l_616	-5.3779864
4w9l_642	-5.796857
4w9l_655	-7.2238803
4w9l_657	-6.604585
4w9l_659	-6.0770884
4w9l_675	-6.7747545
4w9l_681	-5.4554696
4w9l_691	-7.0124283
4w9l_696	-5.4366217
4w9l_699	-5.4836574
4w9l_704	-9.502632
4w9l_708	-10.119583
4w9l_709	-9.433835
4w9l_715	-9.041625
4w9l_719	-9.303981
4w9l_732	-8.367413
4w9l_759	-8.755688
4w9l_762	-8.167223
4w9l_770	-8.129026
4w9l_779	-8.115799
4w9l_787	-8.885343
4w9l_822	-8.733319
4w9l_84	-5.718856
4w9l_871	-8.434907
4w9l_886	-8.395371
4w9l_906	-9.799383
4w9l_933	-9.622391
4w9l_93	-7.234596
4w9l_ligand	-9.728872
