#code	score
5aba_220	-6.547735
5aba_247	-6.631472
5aba_261	-6.5415874
5aba_263	-6.392938
5aba_284	-6.8130784
5aba_297	-6.82963
5aba_36	-5.8738074
5aba_38	-6.3044453
5aba_408	-7.4674067
5aba_40	-4.8842573
5aba_410	-7.39122
5aba_412	-7.7910404
5aba_455	-7.1087537
5aba_460	-6.8897357
5aba_470	-7.113372
5aba_472	-6.8330994
5aba_47	-4.846251
5aba_490	-6.909211
5aba_492	-6.5178003
5aba_517	-6.283551
5aba_525	-6.763293
5aba_527	-5.947819
5aba_555	-7.0581436
5aba_558	-6.543187
5aba_559	-6.270868
5aba_570	-6.394415
5aba_575	-6.7072306
5aba_584	-6.56018
5aba_596	-5.5223145
5aba_598	-6.111508
5aba_599	-5.3743763
5aba_5	-4.788621
5aba_618	-6.0678406
5aba_620	-6.6752095
5aba_623	-5.5443664
5aba_625	-6.38676
5aba_628	-5.8883123
5aba_632	-6.544799
5aba_640	-6.527507
5aba_641	-6.94319
5aba_647	-6.516311
5aba_653	-5.9829593
5aba_654	-6.6415744
5aba_655	-6.0936837
5aba_657	-6.456346
5aba_661	-6.7753344
5aba_663	-7.3721423
5aba_666	-6.374827
5aba_668	-6.197829
5aba_669	-6.126553
5aba_674	-5.729515
5aba_676	-6.1283545
5aba_677	-6.5787053
5aba_679	-6.9850826
5aba_680	-6.306038
5aba_690	-6.5871954
5aba_697	-5.979949
5aba_698	-5.3042574
5aba_701	-5.4518213
5aba_702	-6.308801
5aba_703	-6.3029323
5aba_704	-4.750505
5aba_712	-6.0550466
5aba_71	-5.487078
5aba_728	-5.0095377
5aba_749	-4.8894057
5aba_751	-5.0860353
5aba_760	-4.623634
5aba_772	-5.7250223
5aba_786	-5.9632053
5aba_78	-5.1890554
5aba_792	-5.478363
5aba_799	-4.5000987
5aba_820	-5.77354
5aba_850	-4.7442265
5aba_858	-5.4935474
5aba_859	-5.6927767
5aba_864	-5.5259395
5aba_865	-5.676101
5aba_880	-5.769349
5aba_882	-5.999931
5aba_898	-5.6239305
5aba_899	-5.0759296
5aba_956	-5.3888755
5aba_962	-5.237018
5aba_966	-5.7945356
5aba_96	-5.4402685
5aba_ligand	-5.8915963
