#code	score
1k1i_108	-7.490768
1k1i_115	-8.900225
1k1i_159	-5.9396467
1k1i_167	-8.493143
1k1i_171	-8.0792885
1k1i_172	-6.640118
1k1i_201	-8.2933445
1k1i_204	-7.669143
1k1i_207	-7.904833
1k1i_214	-8.566313
1k1i_247	-9.746523
1k1i_250	-9.543536
1k1i_252	-7.5658975
1k1i_253	-7.966823
1k1i_258	-10.004951
1k1i_260	-9.212712
1k1i_273	-9.012765
1k1i_275	-8.779499
1k1i_282	-8.562582
1k1i_287	-8.426219
1k1i_295	-9.321693
1k1i_306	-7.5046515
1k1i_308	-7.5565586
1k1i_355	-7.0919952
1k1i_357	-6.432885
1k1i_358	-7.797808
1k1i_36	-8.247361
1k1i_377	-7.245376
1k1i_379	-7.2950616
1k1i_37	-7.8563805
1k1i_384	-8.948958
1k1i_385	-6.706495
1k1i_401	-8.305806
1k1i_404	-9.294698
1k1i_406	-8.46107
1k1i_40	-7.610759
1k1i_430	-8.049273
1k1i_434	-8.145649
1k1i_447	-7.6904583
1k1i_45	-8.248326
1k1i_464	-7.307157
1k1i_475	-8.262733
1k1i_495	-8.044191
1k1i_496	-6.690288
1k1i_513	-7.508901
1k1i_521	-6.2213607
1k1i_523	-8.196799
1k1i_550	-6.837916
1k1i_55	-7.3495755
1k1i_563	-7.089124
1k1i_565	-6.433563
1k1i_567	-7.1640215
1k1i_571	-8.093137
1k1i_576	-7.0104237
1k1i_581	-6.983222
1k1i_600	-6.158799
1k1i_620	-7.330723
1k1i_650	-8.337478
1k1i_666	-7.8072805
1k1i_675	-7.4114704
1k1i_68	-8.082747
1k1i_692	-8.8765335
1k1i_693	-6.174751
1k1i_698	-6.0390573
1k1i_69	-8.575049
1k1i_701	-8.792797
1k1i_702	-8.843551
1k1i_703	-9.184252
1k1i_71	-8.671686
1k1i_723	-8.660978
1k1i_79	-8.867075
1k1i_826	-8.291345
1k1i_871	-8.258449
1k1i_896	-8.35321
1k1i_900	-8.428717
1k1i_919	-7.7497106
1k1i_938	-8.534494
1k1i_942	-8.59212
1k1i_97	-8.092077
