#code	score
1nc1_103	-5.2370443
1nc1_121	-5.013828
1nc1_126	-5.2398763
1nc1_133	-5.0010934
1nc1_13	-8.7976
1nc1_142	-4.9951816
1nc1_144	-8.427874
1nc1_152	-4.7871246
1nc1_161	-5.062044
1nc1_172	-4.7481647
1nc1_18	-8.597142
1nc1_207	-8.644465
1nc1_275	-8.482773
1nc1_410	-8.426725
1nc1_422	-7.013019
1nc1_427	-8.673548
1nc1_431	-8.6215725
1nc1_437	-7.5726066
1nc1_441	-8.073445
1nc1_443	-7.951045
1nc1_449	-7.2056103
1nc1_473	-7.4949355
1nc1_480	-7.638158
1nc1_495	-8.006369
1nc1_498	-7.158527
1nc1_513	-7.400751
1nc1_526	-6.445492
1nc1_527	-6.775196
1nc1_529	-6.930489
1nc1_536	-8.091857
1nc1_538	-7.0433435
1nc1_539	-7.850008
1nc1_546	-7.267634
1nc1_550	-7.9781127
1nc1_551	-7.0784554
1nc1_552	-7.1933227
1nc1_558	-8.130871
1nc1_566	-6.5521817
1nc1_570	-6.9687495
1nc1_573	-6.577937
1nc1_575	-7.160842
1nc1_576	-7.304093
1nc1_585	-7.273585
1nc1_587	-6.74019
1nc1_591	-8.041918
1nc1_596	-6.4682293
1nc1_597	-6.7891517
1nc1_598	-7.416293
1nc1_612	-6.697588
1nc1_615	-8.635511
1nc1_624	-7.443695
1nc1_62	-6.6021676
1nc1_634	-7.2973533
1nc1_643	-7.4972835
1nc1_648	-7.018807
1nc1_659	-7.689162
1nc1_661	-6.7553477
1nc1_663	-6.680341
1nc1_664	-6.660692
1nc1_665	-7.762928
1nc1_667	-6.9331717
1nc1_670	-6.1430864
1nc1_685	-6.8557734
1nc1_690	-6.468835
1nc1_692	-7.560084
1nc1_695	-6.6525407
1nc1_696	-7.1679893
1nc1_6	-8.681807
1nc1_724	-8.707793
1nc1_739	-8.600902
1nc1_75	-8.751634
1nc1_763	-8.631839
1nc1_853	-8.490351
1nc1_865	-8.751535
