#code	score
1q8t_142	-8.00568
1q8t_151	-7.9838367
1q8t_152	-7.967932
1q8t_262	-8.114514
1q8t_281	-8.001648
1q8t_411	-7.8412066
1q8t_450	-6.6117787
1q8t_459	-8.038447
1q8t_479	-6.5803666
1q8t_504	-5.8841047
1q8t_505	-6.5554266
1q8t_507	-6.693682
1q8t_513	-5.8781643
1q8t_514	-5.6254835
1q8t_534	-6.0199485
1q8t_538	-5.951396
1q8t_539	-6.9405494
1q8t_540	-5.9122705
1q8t_547	-6.008586
1q8t_548	-6.6294527
1q8t_553	-6.23075
1q8t_564	-6.1890564
1q8t_567	-6.45423
1q8t_576	-5.733126
1q8t_579	-6.1289988
1q8t_582	-6.6086926
1q8t_598	-8.08821
1q8t_601	-6.138746
1q8t_60	-7.994574
1q8t_610	-6.321456
1q8t_612	-7.9415436
1q8t_633	-6.3198104
1q8t_635	-6.394167
1q8t_636	-6.103632
1q8t_638	-6.6661315
1q8t_640	-7.470728
1q8t_651	-6.4650187
1q8t_653	-6.2114205
1q8t_656	-6.156943
1q8t_658	-7.4943805
1q8t_661	-6.7183094
1q8t_677	-5.3832183
1q8t_678	-5.613978
1q8t_686	-6.6501784
1q8t_687	-7.325016
1q8t_692	-7.220965
1q8t_701	-7.964289
1q8t_705	-7.8057847
1q8t_706	-7.8676376
1q8t_709	-7.446152
1q8t_70	-7.9599676
1q8t_718	-6.444647
1q8t_727	-7.297958
1q8t_734	-7.1138263
1q8t_739	-6.207424
1q8t_741	-6.5536485
1q8t_744	-7.2973304
1q8t_747	-7.844776
1q8t_749	-7.4327493
1q8t_751	-7.80564
1q8t_752	-7.2997384
1q8t_753	-8.083125
1q8t_754	-6.3217354
1q8t_756	-6.4673696
1q8t_761	-6.4880137
1q8t_762	-7.18427
1q8t_766	-6.8823733
1q8t_767	-6.8202114
1q8t_768	-6.568947
1q8t_770	-6.1768074
1q8t_774	-6.196558
1q8t_775	-6.917638
1q8t_778	-5.960442
1q8t_798	-6.1265774
1q8t_810	-6.1737485
1q8t_813	-6.8820057
1q8t_816	-6.5099792
1q8t_831	-6.4262056
1q8t_832	-6.748548
1q8t_844	-6.8496585
1q8t_874	-5.7708826
1q8t_879	-8.009368
1q8t_887	-8.048333
1q8t_891	-7.9666886
1q8t_895	-7.686702
1q8t_897	-7.7731075
1q8t_898	-7.678272
1q8t_900	-7.869988
1q8t_902	-6.05764
1q8t_903	-8.128951
1q8t_916	-7.5263143
1q8t_927	-6.2788854
1q8t_943	-6.7219787
1q8t_946	-5.9883194
1q8t_962	-7.0965676
