#code	score
1q8u_140	-8.647938
1q8u_202	-7.10055
1q8u_203	-7.584104
1q8u_214	-8.460957
1q8u_227	-6.8620324
1q8u_237	-7.0284944
1q8u_238	-7.349237
1q8u_23	-7.8277497
1q8u_246	-5.698232
1q8u_24	-5.6876783
1q8u_264	-6.3417964
1q8u_268	-8.463272
1q8u_270	-5.7336135
1q8u_277	-8.398216
1q8u_342	-7.5029793
1q8u_34	-7.858295
1q8u_410	-6.4157877
1q8u_454	-6.082871
1q8u_497	-7.5720315
1q8u_501	-8.391118
1q8u_504	-7.323087
1q8u_509	-5.654716
1q8u_512	-7.8956785
1q8u_514	-7.6683984
1q8u_53	-8.632839
1q8u_547	-6.8813167
1q8u_553	-6.985726
1q8u_555	-6.717948
1q8u_571	-5.971752
1q8u_581	-6.4411564
1q8u_582	-6.6435347
1q8u_592	-8.32674
1q8u_593	-5.9587436
1q8u_595	-7.9894476
1q8u_599	-7.885449
1q8u_59	-7.8566227
1q8u_605	-7.327108
1q8u_611	-5.8385787
1q8u_617	-8.098438
1q8u_623	-7.3712573
1q8u_646	-7.790246
1q8u_652	-6.3511596
1q8u_653	-6.9102354
1q8u_660	-6.600321
1q8u_664	-8.627585
1q8u_668	-6.2224593
1q8u_669	-7.464001
1q8u_672	-7.0768867
1q8u_678	-6.10786
1q8u_688	-8.259639
1q8u_693	-5.895574
1q8u_701	-8.328249
1q8u_702	-8.371719
1q8u_704	-6.8031936
1q8u_726	-6.106984
1q8u_728	-7.504944
1q8u_732	-6.0282345
1q8u_734	-6.614317
1q8u_735	-6.51032
1q8u_739	-5.789515
1q8u_741	-6.5933485
1q8u_747	-6.077681
1q8u_748	-6.1370463
1q8u_757	-7.4276733
1q8u_76	-6.1976357
1q8u_777	-6.841902
1q8u_782	-7.77494
1q8u_790	-7.0591173
1q8u_796	-8.465873
1q8u_822	-5.940533
1q8u_866	-6.1433706
1q8u_875	-6.3073516
1q8u_886	-6.0327516
1q8u_891	-6.368632
1q8u_8	-7.1701427
1q8u_901	-8.301764
1q8u_902	-8.331717
1q8u_904	-8.338036
1q8u_909	-8.390483
1q8u_913	-8.102331
1q8u_91	-7.648503
1q8u_923	-5.500949
1q8u_975	-6.7351303
