#code	score
1uto_10	-4.905212
1uto_203	-4.2356052
1uto_24	-4.1103926
1uto_290	-4.239852
1uto_36	-4.1110654
1uto_414	-4.005436
1uto_428	-3.8798542
1uto_451	-4.0946956
1uto_494	-4.6045055
1uto_495	-4.5134263
1uto_521	-3.770757
1uto_547	-4.4642434
1uto_549	-4.367712
1uto_563	-3.9472883
1uto_564	-3.804907
1uto_569	-3.7297823
1uto_577	-3.7093768
1uto_580	-3.808944
1uto_593	-3.8422346
1uto_594	-3.7710257
1uto_640	-4.2334228
1uto_686	-4.0257554
1uto_688	-3.7527065
1uto_698	-4.018937
1uto_738	-3.6906204
1uto_743	-3.920421
1uto_752	-3.4515002
1uto_757	-3.4515483
1uto_762	-3.877482
1uto_765	-3.472439
1uto_768	-3.574489
1uto_770	-3.5075316
1uto_772	-3.5126343
1uto_774	-3.600586
1uto_775	-3.4976015
1uto_777	-3.5686793
1uto_783	-3.5272243
1uto_784	-3.6940718
1uto_785	-3.6924615
1uto_786	-3.6399226
1uto_789	-3.6423838
1uto_790	-3.6479979
1uto_791	-3.5207152
1uto_792	-3.594377
1uto_823	-4.3270025
1uto_826	-3.9945455
1uto_834	-4.077214
1uto_837	-3.913502
1uto_841	-3.8838181
1uto_877	-3.587649
1uto_878	-4.532361
1uto_885	-3.5595539
1uto_887	-3.577379
1uto_918	-3.9733217
1uto_962	-4.0213532
1uto_965	-3.9924083
1uto_966	-4.0428166
1uto_971	-4.1716495
1uto_972	-4.035965
1uto_991	-4.1135755
