#code	score
1ydr_100	-7.133384
1ydr_11	-5.7301655
1ydr_132	-7.3246703
1ydr_136	-6.8470445
1ydr_13	-6.923859
1ydr_164	-8.225493
1ydr_18	-8.631481
1ydr_204	-7.8016057
1ydr_214	-8.276931
1ydr_240	-7.7433624
1ydr_268	-7.888021
1ydr_26	-8.65483
1ydr_291	-7.1043324
1ydr_315	-6.773583
1ydr_332	-6.739551
1ydr_348	-6.8535967
1ydr_368	-6.6646457
1ydr_369	-8.203203
1ydr_418	-7.757341
1ydr_423	-7.741974
1ydr_430	-6.757771
1ydr_452	-7.939725
1ydr_464	-6.8815866
1ydr_466	-8.226163
1ydr_46	-8.743396
1ydr_470	-6.5935693
1ydr_482	-6.9153724
1ydr_485	-5.824692
1ydr_487	-6.0031214
1ydr_490	-6.666418
1ydr_495	-6.20064
1ydr_4	-8.579681
1ydr_517	-5.3386545
1ydr_518	-5.6121373
1ydr_524	-5.7836437
1ydr_537	-6.801442
1ydr_541	-6.5446067
1ydr_546	-5.2883515
1ydr_554	-5.402653
1ydr_557	-5.8620143
1ydr_558	-5.457601
1ydr_566	-6.0881987
1ydr_570	-5.1647863
1ydr_582	-5.7055173
1ydr_586	-7.8757744
1ydr_587	-5.2848277
1ydr_593	-6.4332886
1ydr_595	-6.650106
1ydr_599	-5.6577153
1ydr_609	-5.6316123
1ydr_613	-6.574427
1ydr_614	-5.951403
1ydr_615	-6.834863
1ydr_616	-5.863397
1ydr_622	-6.034074
1ydr_626	-5.40357
1ydr_629	-5.906517
1ydr_636	-5.2442155
1ydr_63	-8.739795
1ydr_641	-5.66381
1ydr_646	-5.7138677
1ydr_648	-4.9873023
1ydr_649	-5.9141703
1ydr_651	-6.2709126
1ydr_659	-4.851217
1ydr_689	-6.0930047
1ydr_693	-8.331413
1ydr_697	-5.5329795
1ydr_69	-6.9640484
1ydr_701	-8.215954
1ydr_715	-6.5382915
1ydr_723	-6.841868
1ydr_726	-6.1227098
1ydr_739	-5.9232244
1ydr_741	-8.080456
1ydr_746	-5.4473515
1ydr_754	-7.8703547
1ydr_759	-5.652052
1ydr_761	-6.008505
1ydr_771	-6.0338955
1ydr_775	-7.2784066
1ydr_779	-7.6398973
1ydr_784	-6.3796487
1ydr_785	-7.373041
1ydr_786	-6.470907
1ydr_789	-7.3968472
1ydr_78	-6.82964
1ydr_791	-5.884496
1ydr_801	-8.282378
1ydr_804	-7.961079
1ydr_80	-8.289013
1ydr_824	-7.4551635
1ydr_848	-6.6634493
1ydr_856	-6.5224175
1ydr_858	-5.2872086
1ydr_894	-5.8375654
1ydr_902	-8.308624
1ydr_934	-6.56272
1ydr_95	-8.059444
1ydr_984	-7.6285644
