#code	score
2c3i_16	-10.399949
2c3i_32	-7.7360883
2c3i_338	-9.585292
2c3i_382	-10.046269
2c3i_387	-10.172024
2c3i_389	-9.554165
2c3i_403	-9.1461
2c3i_412	-8.230782
2c3i_424	-8.236608
2c3i_435	-9.418478
2c3i_441	-7.695497
2c3i_444	-8.645578
2c3i_453	-8.614656
2c3i_456	-7.925728
2c3i_45	-9.802835
2c3i_482	-9.057511
2c3i_491	-9.845412
2c3i_494	-8.382286
2c3i_503	-9.291644
2c3i_506	-7.8678
2c3i_507	-7.987305
2c3i_521	-8.485352
2c3i_522	-9.925021
2c3i_556	-8.608012
2c3i_559	-7.502475
2c3i_560	-6.8729844
2c3i_56	-9.427128
2c3i_571	-6.2413673
2c3i_573	-8.237704
2c3i_574	-7.1757746
2c3i_580	-9.234713
2c3i_590	-8.037044
2c3i_592	-7.8072634
2c3i_603	-7.0957823
2c3i_609	-8.793875
2c3i_619	-9.080279
2c3i_62	-9.782475
2c3i_637	-9.5619335
2c3i_650	-8.447877
2c3i_658	-7.200114
2c3i_659	-9.352406
2c3i_663	-8.471276
2c3i_675	-8.775265
2c3i_680	-8.576811
2c3i_687	-7.8113003
2c3i_690	-7.8611445
2c3i_693	-9.181483
2c3i_696	-8.2136545
2c3i_699	-7.2568574
2c3i_719	-7.5713453
2c3i_720	-10.260434
2c3i_729	-9.831284
2c3i_734	-9.98756
2c3i_743	-7.433533
2c3i_746	-8.5833
2c3i_749	-8.9768715
2c3i_799	-9.741186
2c3i_818	-8.538075
2c3i_823	-9.9883585
2c3i_846	-9.557066
2c3i_857	-10.126725
2c3i_861	-10.004036
2c3i_895	-10.042276
2c3i_917	-9.982341
2c3i_954	-10.16994
