#code	score
2p15_133	-8.069336
2p15_155	-7.8688498
2p15_216	-9.013568
2p15_262	-9.090391
2p15_290	-9.031636
2p15_331	-9.404274
2p15_344	-9.330573
2p15_402	-9.414714
2p15_404	-8.632631
2p15_407	-8.890119
2p15_414	-8.99156
2p15_415	-9.092576
2p15_425	-9.615445
2p15_427	-8.457588
2p15_435	-8.585953
2p15_437	-7.967629
2p15_446	-8.0914545
2p15_453	-8.396976
2p15_456	-9.189606
2p15_460	-8.808736
2p15_466	-8.713286
2p15_471	-9.2474
2p15_478	-7.77018
2p15_479	-9.68868
2p15_480	-9.27021
2p15_481	-9.392239
2p15_489	-9.583358
2p15_493	-9.413148
2p15_496	-8.971312
2p15_546	-7.299543
2p15_550	-7.748373
2p15_557	-7.4607263
2p15_567	-6.981976
2p15_568	-7.0465884
2p15_569	-9.283927
2p15_578	-8.37779
2p15_579	-7.718531
2p15_582	-7.112899
2p15_589	-6.8038373
2p15_590	-6.9322963
2p15_591	-7.604608
2p15_592	-7.1027293
2p15_598	-7.610483
2p15_600	-6.546423
2p15_645	-8.155882
2p15_678	-6.8013988
2p15_687	-7.584711
2p15_699	-8.633292
2p15_700	-7.74828
2p15_765	-7.7332454
2p15_801	-9.432643
2p15_850	-9.312248
2p15_87	-8.9830675
