#code	score
2p4y_100	-10.010192
2p4y_103	-10.113803
2p4y_127	-9.3345785
2p4y_146	-9.993319
2p4y_152	-10.140926
2p4y_169	-9.816986
2p4y_202	-10.003513
2p4y_208	-10.16276
2p4y_223	-10.46699
2p4y_240	-9.812498
2p4y_247	-10.378381
2p4y_253	-9.554451
2p4y_25	-10.713029
2p4y_268	-9.676286
2p4y_275	-10.791692
2p4y_293	-10.190337
2p4y_297	-10.364492
2p4y_305	-10.047336
2p4y_309	-7.7571254
2p4y_314	-9.45956
2p4y_350	-8.091571
2p4y_38	-9.949171
2p4y_407	-9.44201
2p4y_409	-9.253267
2p4y_412	-11.757537
2p4y_419	-10.246763
2p4y_423	-10.306815
2p4y_424	-9.749955
2p4y_435	-9.566867
2p4y_445	-9.463285
2p4y_446	-7.280439
2p4y_456	-9.401518
2p4y_461	-8.916271
2p4y_472	-8.76696
2p4y_509	-9.274506
2p4y_53	-9.71424
2p4y_549	-8.362874
2p4y_564	-7.6262293
2p4y_570	-9.338557
2p4y_581	-8.893511
2p4y_582	-8.35424
2p4y_587	-8.638939
2p4y_588	-9.587474
2p4y_591	-9.393207
2p4y_595	-10.512905
2p4y_596	-8.523966
2p4y_600	-10.432195
2p4y_618	-8.146443
2p4y_649	-7.821234
2p4y_665	-7.4187727
2p4y_669	-8.846796
2p4y_679	-9.231712
2p4y_685	-8.485978
2p4y_700	-10.375877
2p4y_703	-10.15762
2p4y_714	-9.748137
2p4y_718	-9.551999
2p4y_748	-10.639302
2p4y_749	-10.264241
2p4y_74	-10.033465
2p4y_751	-9.066412
2p4y_752	-9.49213
2p4y_757	-9.595728
2p4y_758	-10.124984
2p4y_761	-9.496987
2p4y_762	-9.685449
2p4y_765	-9.647733
2p4y_767	-9.264915
2p4y_772	-9.673011
2p4y_773	-9.653349
2p4y_775	-10.75102
2p4y_778	-9.416283
2p4y_77	-10.003572
2p4y_781	-10.784523
2p4y_782	-9.251616
2p4y_784	-10.928997
2p4y_785	-9.836906
2p4y_842	-10.969015
2p4y_856	-10.148396
2p4y_859	-9.741226
2p4y_899	-9.552256
2p4y_908	-9.850959
2p4y_932	-9.35725
2p4y_938	-9.783207
2p4y_951	-9.299339
2p4y_961	-9.664627
2p4y_979	-9.736654
