#code	score
2xb8_133	-8.467091
2xb8_268	-8.498209
2xb8_282	-8.287628
2xb8_285	-8.315493
2xb8_28	-8.717812
2xb8_35	-8.78121
2xb8_408	-8.345489
2xb8_423	-7.922043
2xb8_428	-8.49228
2xb8_433	-8.278881
2xb8_435	-8.053334
2xb8_436	-8.46123
2xb8_437	-8.650347
2xb8_439	-8.02681
2xb8_451	-8.313617
2xb8_452	-7.6633353
2xb8_459	-8.610307
2xb8_462	-8.6815405
2xb8_464	-8.155375
2xb8_465	-8.135065
2xb8_473	-8.106298
2xb8_478	-8.231656
2xb8_481	-8.27373
2xb8_483	-7.9125485
2xb8_484	-8.635581
2xb8_486	-8.534781
2xb8_487	-7.794871
2xb8_490	-8.08102
2xb8_523	-7.9871936
2xb8_525	-8.344677
2xb8_537	-8.182317
2xb8_542	-7.9232554
2xb8_546	-8.144674
2xb8_556	-7.836611
2xb8_558	-7.9830475
2xb8_560	-8.016476
2xb8_568	-8.124495
2xb8_572	-7.8629727
2xb8_573	-8.152132
2xb8_574	-7.4896374
2xb8_576	-8.530509
2xb8_585	-7.657068
2xb8_587	-8.348543
2xb8_590	-7.8057375
2xb8_597	-8.26766
2xb8_616	-8.207735
2xb8_617	-8.438038
2xb8_620	-8.982093
2xb8_635	-7.971765
2xb8_647	-7.8922772
2xb8_650	-7.318957
2xb8_657	-7.907682
2xb8_673	-8.318579
2xb8_675	-8.214024
2xb8_676	-8.769411
2xb8_679	-8.133426
2xb8_682	-8.986359
2xb8_684	-8.74998
2xb8_691	-7.783505
2xb8_695	-8.205212
2xb8_697	-7.903602
2xb8_735	-8.363905
2xb8_760	-8.524184
2xb8_761	-8.303847
2xb8_765	-8.1891575
2xb8_767	-8.481021
2xb8_768	-8.571342
2xb8_775	-8.322835
2xb8_776	-8.614062
