#code	score
2xdl_176	-6.6298623
2xdl_192	-6.4230757
2xdl_215	-6.349761
2xdl_265	-6.4164157
2xdl_268	-6.4931164
2xdl_273	-6.766721
2xdl_329	-6.615917
2xdl_339	-6.340403
2xdl_348	-6.6422896
2xdl_396	-6.7032695
2xdl_3	-6.8346057
2xdl_414	-5.7539573
2xdl_417	-5.9952965
2xdl_420	-6.3394227
2xdl_435	-5.8207273
2xdl_446	-6.1442046
2xdl_484	-5.7605047
2xdl_486	-6.106283
2xdl_489	-6.771691
2xdl_495	-5.532517
2xdl_496	-5.1233854
2xdl_500	-6.398658
2xdl_509	-5.6482534
2xdl_522	-5.376672
2xdl_525	-6.0808463
2xdl_534	-7.0909677
2xdl_537	-5.683166
2xdl_539	-5.512642
2xdl_540	-6.1798744
2xdl_547	-5.806217
2xdl_549	-5.6705637
2xdl_559	-4.8971033
2xdl_55	-6.626808
2xdl_560	-6.1718493
2xdl_565	-5.714401
2xdl_570	-5.2012277
2xdl_574	-6.3432136
2xdl_586	-5.448023
2xdl_593	-6.1822886
2xdl_595	-5.8122816
2xdl_596	-5.3149395
2xdl_5	-6.3633504
2xdl_611	-5.72491
2xdl_612	-5.410124
2xdl_615	-6.306161
2xdl_623	-6.350992
2xdl_628	-6.3853264
2xdl_646	-5.8658824
2xdl_650	-5.4432063
2xdl_660	-6.723784
2xdl_674	-5.6452827
2xdl_685	-5.1729393
2xdl_691	-5.9604506
2xdl_692	-6.317675
2xdl_693	-5.702799
2xdl_739	-5.844848
2xdl_742	-6.798778
2xdl_746	-5.5415473
2xdl_747	-5.730306
2xdl_755	-4.999167
2xdl_763	-5.2939777
2xdl_768	-5.235373
2xdl_769	-5.1618223
2xdl_775	-5.075722
2xdl_776	-6.6896844
2xdl_778	-5.044272
2xdl_779	-4.9899216
2xdl_783	-6.2181697
2xdl_788	-5.1068544
2xdl_790	-5.901984
2xdl_99	-6.8520274
