#code	score
2yfe_115	-9.012169
2yfe_123	-9.127252
2yfe_176	-9.023794
2yfe_232	-8.504766
2yfe_236	-8.930329
2yfe_23	-9.193684
2yfe_240	-8.483837
2yfe_257	-9.185659
2yfe_286	-8.683096
2yfe_414	-7.265642
2yfe_426	-8.867558
2yfe_437	-7.2553997
2yfe_450	-8.500313
2yfe_453	-7.4593267
2yfe_458	-6.5503063
2yfe_461	-7.1331205
2yfe_462	-8.207278
2yfe_464	-8.070094
2yfe_466	-8.293609
2yfe_467	-7.029886
2yfe_470	-7.739905
2yfe_473	-6.9738574
2yfe_487	-7.9077
2yfe_489	-8.62345
2yfe_490	-8.396606
2yfe_491	-7.496674
2yfe_492	-8.534057
2yfe_493	-8.429169
2yfe_496	-7.8404813
2yfe_4	-9.203757
2yfe_502	-8.433166
2yfe_504	-7.3804097
2yfe_517	-8.013505
2yfe_523	-7.685811
2yfe_52	-9.045065
2yfe_538	-7.121957
2yfe_53	-9.24938
2yfe_545	-7.869056
2yfe_547	-7.6927958
2yfe_548	-7.7181926
2yfe_552	-6.3492537
2yfe_561	-8.202005
2yfe_564	-8.319854
2yfe_565	-7.451582
2yfe_572	-8.442387
2yfe_574	-7.633302
2yfe_591	-8.4095745
2yfe_597	-7.1970997
2yfe_599	-7.142449
2yfe_601	-7.9865313
2yfe_603	-8.336014
2yfe_608	-7.303273
2yfe_618	-6.618543
2yfe_627	-8.171531
2yfe_637	-8.049624
2yfe_641	-5.849257
2yfe_656	-8.118272
2yfe_657	-6.3937902
2yfe_659	-8.130345
2yfe_660	-6.910882
2yfe_667	-6.1980896
2yfe_680	-8.182395
2yfe_682	-8.129555
2yfe_688	-7.62974
2yfe_694	-6.941569
2yfe_71	-9.367452
2yfe_722	-8.920348
2yfe_724	-8.785362
2yfe_732	-7.725714
2yfe_737	-8.571566
2yfe_745	-7.447314
2yfe_748	-7.3887796
2yfe_753	-6.9442506
2yfe_774	-7.2291255
2yfe_784	-7.9916377
2yfe_800	-7.9648027
2yfe_809	-7.939489
2yfe_813	-7.936061
2yfe_815	-7.9468775
2yfe_81	-9.130888
2yfe_851	-9.089388
2yfe_931	-7.802084
2yfe_943	-6.76069
2yfe_950	-7.8581195
2yfe_960	-8.861775
2yfe_965	-7.837503
2yfe_969	-7.9409575
2yfe_971	-8.566688
2yfe_973	-7.066086
2yfe_985	-8.360802
