#code	score
2yki_239	-11.550168
2yki_363	-11.291233
2yki_401	-11.371253
2yki_407	-11.111254
2yki_408	-10.676715
2yki_441	-11.382761
2yki_455	-10.590563
2yki_464	-10.524191
2yki_476	-10.467624
2yki_483	-10.419396
2yki_486	-10.139088
2yki_496	-10.840672
2yki_515	-10.421199
2yki_525	-11.200542
2yki_529	-10.7299385
2yki_537	-10.819512
2yki_549	-10.233212
2yki_569	-9.385266
2yki_573	-10.337341
2yki_577	-10.213231
2yki_57	-11.413193
2yki_588	-9.980352
2yki_592	-10.023632
2yki_594	-9.37705
2yki_656	-8.815519
2yki_660	-10.217439
2yki_676	-10.221783
2yki_678	-10.241883
2yki_695	-9.796615
2yki_701	-11.177387
2yki_716	-11.315739
2yki_719	-11.127605
2yki_723	-11.0231
2yki_725	-11.182714
2yki_729	-8.2735615
2yki_734	-11.303937
2yki_736	-7.84849
2yki_739	-7.4194365
2yki_742	-8.53438
2yki_743	-7.324151
2yki_747	-10.594106
2yki_748	-11.725991
2yki_749	-8.043126
2yki_750	-7.12773
2yki_751	-7.6492586
2yki_753	-8.241613
2yki_755	-7.9983273
2yki_756	-7.8626823
2yki_757	-7.994977
2yki_758	-9.937201
2yki_759	-7.8824267
2yki_760	-11.467589
2yki_761	-7.583179
2yki_762	-9.287441
2yki_764	-9.2112
2yki_765	-10.924972
2yki_766	-10.379508
2yki_768	-10.8859415
2yki_770	-10.152306
2yki_771	-10.3292265
2yki_773	-10.445805
2yki_776	-10.551062
2yki_777	-10.020393
2yki_778	-9.173284
2yki_780	-10.512702
2yki_783	-10.371905
2yki_787	-9.73178
2yki_796	-11.263489
2yki_814	-11.143578
2yki_816	-11.23716
2yki_818	-11.381635
2yki_828	-11.561604
2yki_830	-11.348
2yki_841	-11.323638
2yki_864	-11.483615
2yki_866	-11.325071
2yki_869	-8.5151825
2yki_877	-10.025772
2yki_879	-11.069648
2yki_880	-9.162762
2yki_886	-9.154608
2yki_893	-11.183634
2yki_933	-11.40604
2yki_982	-10.779233
2yki_985	-11.181585
