#code	score
3acw_145	-8.013265
3acw_281	-8.633635
3acw_411	-8.393837
3acw_432	-8.578007
3acw_435	-8.130337
3acw_445	-8.204894
3acw_451	-8.122936
3acw_455	-8.297222
3acw_465	-8.439415
3acw_467	-7.8942566
3acw_480	-8.296654
3acw_486	-7.693994
3acw_492	-8.960908
3acw_500	-8.134806
3acw_525	-8.110034
3acw_531	-8.1654
3acw_537	-6.7516856
3acw_542	-7.38778
3acw_547	-7.0264497
3acw_552	-7.4990444
3acw_559	-7.3215814
3acw_562	-7.567424
3acw_566	-6.9485726
3acw_578	-6.6957774
3acw_592	-8.295426
3acw_608	-6.9556465
3acw_612	-7.469643
3acw_624	-8.45199
3acw_625	-7.2844377
3acw_629	-8.339404
3acw_635	-6.9211
3acw_636	-8.502832
3acw_642	-6.773697
3acw_644	-8.019032
3acw_645	-6.4461813
3acw_659	-7.2570295
3acw_661	-7.1769032
3acw_664	-7.483583
3acw_667	-7.6401668
3acw_676	-7.398722
3acw_678	-7.7929673
3acw_681	-6.784181
3acw_697	-8.223817
3acw_700	-8.015193
3acw_720	-6.463647
3acw_721	-8.908942
3acw_722	-6.4037094
3acw_723	-7.8234754
3acw_730	-6.1307
3acw_732	-8.695616
3acw_735	-6.6627817
3acw_737	-6.8944273
3acw_738	-6.927157
3acw_740	-7.9362025
3acw_741	-6.7697544
3acw_743	-7.0843654
3acw_744	-7.125481
3acw_745	-7.126531
3acw_746	-6.8185015
3acw_749	-7.3470044
3acw_750	-7.7382274
3acw_757	-7.8180313
3acw_760	-7.2887397
3acw_763	-7.961257
3acw_776	-7.168337
3acw_780	-7.1820006
3acw_781	-7.923167
3acw_791	-8.179717
3acw_797	-8.050472
3acw_809	-8.519933
3acw_860	-8.28828
3acw_861	-7.0562677
3acw_865	-6.903603
3acw_866	-6.45804
3acw_870	-6.1601405
3acw_872	-6.9515076
3acw_877	-7.2804317
3acw_879	-8.549471
3acw_883	-7.013549
3acw_888	-7.2192626
3acw_905	-8.519868
3acw_939	-8.219501
3acw_951	-8.402862
3acw_968	-7.3264747
3acw_977	-7.4996705
3acw_998	-8.626691
3acw_99	-8.395117
