#code	score
3ag9_1001	-10.331486
3ag9_1002	-10.111383
3ag9_1003	-10.402566
3ag9_1004	-9.687049
3ag9_1005	-10.109134
3ag9_1006	-10.326554
3ag9_1007	-9.784218
3ag9_1008	-9.675385
3ag9_1009	-9.788066
3ag9_1010	-10.040241
3ag9_123	-9.160317
3ag9_14	-10.315129
3ag9_159	-9.267443
3ag9_163	-10.338189
3ag9_184	-8.459979
3ag9_189	-8.323329
3ag9_19	-10.590931
3ag9_203	-10.652725
3ag9_209	-10.032645
3ag9_210	-8.2791815
3ag9_213	-9.209102
3ag9_21	-9.477461
3ag9_220	-9.688093
3ag9_234	-10.146917
3ag9_240	-9.805909
3ag9_24	-10.505496
3ag9_251	-8.268202
3ag9_254	-10.675556
3ag9_264	-10.0100355
3ag9_270	-9.340544
3ag9_278	-9.631455
3ag9_283	-10.285831
3ag9_287	-10.503928
3ag9_28	-9.924392
3ag9_292	-10.647864
3ag9_304	-9.566875
3ag9_305	-9.066031
3ag9_306	-9.6190605
3ag9_337	-10.135428
3ag9_340	-10.219829
3ag9_352	-9.9736185
3ag9_357	-9.336602
3ag9_365	-9.925068
3ag9_378	-9.845487
3ag9_387	-9.566323
3ag9_38	-10.19158
3ag9_392	-9.494326
3ag9_399	-9.894378
3ag9_3	-10.081651
3ag9_413	-8.112871
3ag9_489	-8.193422
3ag9_495	-13.296227
3ag9_498	-8.003132
3ag9_49	-10.042536
3ag9_520	-8.324424
3ag9_543	-7.9062996
3ag9_569	-9.212284
3ag9_62	-10.1647215
3ag9_667	-8.505957
3ag9_679	-8.599086
3ag9_685	-8.8490305
3ag9_69	-10.62437
3ag9_712	-10.275671
3ag9_720	-10.475032
3ag9_724	-10.07199
3ag9_734	-10.455478
3ag9_735	-10.63243
3ag9_738	-10.377905
3ag9_741	-10.588249
3ag9_746	-9.6720295
3ag9_754	-8.946991
3ag9_762	-9.658083
3ag9_764	-9.564382
3ag9_772	-9.132054
3ag9_77	-9.187385
3ag9_828	-9.654343
3ag9_841	-10.480345
3ag9_850	-10.595668
3ag9_891	-10.147661
3ag9_934	-10.190205
3ag9_951	-9.665474
3ag9_968	-9.91614
3ag9_97	-9.546789
3ag9_9	-10.058303
