#code	score
3cj4_115	-6.412168
3cj4_125	-6.794192
3cj4_128	-6.2443366
3cj4_137	-6.125756
3cj4_140	-7.015157
3cj4_157	-5.9464474
3cj4_164	-6.702917
3cj4_166	-6.503849
3cj4_168	-6.6949377
3cj4_179	-6.4798174
3cj4_206	-6.7232304
3cj4_233	-6.735966
3cj4_235	-6.526941
3cj4_239	-6.5615234
3cj4_273	-6.814209
3cj4_294	-6.9734044
3cj4_30	-6.78148
3cj4_324	-7.342387
3cj4_331	-5.9122796
3cj4_333	-5.344979
3cj4_338	-6.5706086
3cj4_367	-5.4005976
3cj4_384	-6.794505
3cj4_391	-6.79762
3cj4_407	-7.6099544
3cj4_40	-5.777772
3cj4_41	-5.600423
3cj4_42	-6.7219853
3cj4_43	-6.4873037
3cj4_449	-5.599509
3cj4_501	-6.8304486
3cj4_509	-6.923907
3cj4_50	-6.0434575
3cj4_528	-6.0082483
3cj4_532	-7.4232574
3cj4_536	-6.3208723
3cj4_542	-6.4733152
3cj4_545	-6.3492627
3cj4_549	-6.846308
3cj4_557	-6.1588464
3cj4_558	-6.098206
3cj4_55	-5.961666
3cj4_560	-7.05473
3cj4_573	-6.645186
3cj4_574	-5.9792285
3cj4_576	-5.5063524
3cj4_577	-6.9919586
3cj4_582	-6.1736465
3cj4_585	-6.8439054
3cj4_587	-6.7557683
3cj4_588	-6.0931106
3cj4_58	-6.601977
3cj4_591	-5.8539505
3cj4_597	-5.735088
3cj4_600	-6.339555
3cj4_604	-6.610446
3cj4_610	-6.198175
3cj4_614	-7.317414
3cj4_619	-6.0117216
3cj4_622	-7.1239333
3cj4_634	-7.1092095
3cj4_647	-5.19865
3cj4_672	-6.27921
3cj4_676	-6.0988617
3cj4_687	-6.279902
3cj4_742	-6.2386184
3cj4_746	-6.269444
3cj4_762	-7.0454364
3cj4_768	-5.8787007
3cj4_775	-7.057004
3cj4_780	-6.5977383
3cj4_781	-6.259405
3cj4_782	-6.235747
3cj4_786	-6.3510113
3cj4_788	-5.6480517
3cj4_812	-6.470449
3cj4_84	-5.320909
3cj4_866	-6.110527
3cj4_878	-6.430497
3cj4_87	-7.244848
3cj4_88	-6.2572155
3cj4_8	-5.9835534
3cj4_93	-6.01028
3cj4_987	-6.135655
